rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
1,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,706787,,,80,0.995,0.882,0.92,,0.7,C,
2,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,3038923,,,76.2,1,0.992,0.643,,0.7,C,
3,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,800009,,,75.3,0.998,0.828,0.722,,0.7,C,
4,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,920034,,,71.4,0.999,0.99,0.904,,0.2,C,
5,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,560235,,,68.5,0.973,0.822,0.425,,0.7,C,
6,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,649508,,,68.4,0.994,0.82,0.387,,0.7,C,
7,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,single,,,536259,,,67.9,0.97,0.797,0.42,,0.7,C,
8,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,357748,,,67.8,0.91,0.525,0.706,,0.7,C,
9,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,single,,,535184,,,67.5,0.967,0.793,0.404,,0.7,C,
10,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,,475315,1120765,67.3,0.999,,0.832,0.809,0.2,B,
11,azure-cloud-migrate,skills.sh,microsoft,microsoft/azure-skills,,single,,,467934,,,65.3,0.955,0.807,,,0.7,C,
12,azure-aigateway,skills.sh,microsoft,microsoft/azure-skills,,single,,,534398,,,65.1,0.962,0.785,,,0.7,C,
13,azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,single,,,534320,,,65.1,0.961,0.787,,,0.7,C,
14,microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,single,,,542667,,,65,0.972,0.805,0.263,,0.7,C,
15,azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,single,,,524051,,,65,0.961,0.78,,,0.7,C,
16,azure-compute,skills.sh,microsoft,microsoft/azure-skills,,single,,,478118,,,64.8,0.956,0.777,,,0.7,C,
17,azure-quotas,skills.sh,microsoft,microsoft/azure-skills,,single,,,404369,,,64,0.928,0.778,,,0.7,C,
18,azure-upgrade,skills.sh,microsoft,microsoft/azure-skills,,single,,,396539,,,63.7,0.922,0.772,,,0.7,C,
19,azure-kubernetes,skills.sh,microsoft,microsoft/azure-skills,,single,,,363841,,,63.6,0.912,0.782,,,0.7,C,
20,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,783136,,,63.5,0.997,0.987,0.514,,0.2,C,
21,azure-enterprise-infra-planner,skills.sh,microsoft,microsoft/azure-skills,,single,,,370675,,,63.5,0.916,0.77,,,0.7,C,
22,prisma-database-setup,skills.sh,prisma,prisma/skills,,single,,,212971,,,63.5,0.844,0.913,,,0.7,C,
23,prisma-client-api,skills.sh,prisma,prisma/skills,,single,,,212329,,,63.5,0.843,0.917,,,0.7,C,
24,prisma-cli,skills.sh,prisma,prisma/skills,,single,,,210292,,,63.5,0.841,0.915,,,0.7,C,
25,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,,207496,382611,63.5,0.996,,0.923,0.442,0.2,B,
26,prisma-postgres,skills.sh,prisma,prisma/skills,,single,,,206580,,,63.4,0.839,0.912,,,0.7,C,
27,remotion-best-practices,skills.sh,remotion-dev,remotion-dev/skills,,single,,,487860,,,63.3,0.958,0.67,,,0.7,C,
28,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,670028,,,63.2,0.994,0.975,0.512,,0.2,C,
29,prisma-driver-adapter-implementation,skills.sh,prisma,prisma/skills,,single,,,202297,,,63.2,0.835,0.908,,,0.7,C,
30,prisma-upgrade-v7,skills.sh,prisma,prisma/skills,,single,,,202170,,,63.1,0.834,0.907,,,0.7,C,
31,prisma-postgres-setup,skills.sh,prisma,prisma/skills,,single,,,201009,,,63.1,0.833,0.91,,,0.7,C,
32,azure-cost,skills.sh,microsoft,microsoft/azure-skills,,single,,,339053,,,63,0.896,0.773,,,0.7,C,
33,prisma-compute,skills.sh,prisma,prisma/skills,,single,,,197572,,,63,0.832,0.905,,,0.7,C,
34,prisma-mongodb-upgrade,skills.sh,prisma,prisma/skills,,single,,,196337,,,63,0.83,0.903,,,0.7,C,
35,supabase-postgres-best-practices,skills.sh,supabase,supabase/agent-skills,,single,,,360179,,,62.5,0.911,0.712,,,0.7,C,
36,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,754865,,,62.4,0.997,0.985,0.461,,0.2,C,
