rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,trending_rank_skillssh,weekly_recent,weekly_prev,growth_pct,data_source
1,ai-video-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,259192,1,158346,14114,,skills.sh-trending
2,twitter-automation,skills.sh,skills-101,skills-101/superpowers,,single,,,258810,2,158049,14114,,skills.sh-trending
3,ai-avatar-video,skills.sh,skills-101,skills-101/superpowers,,single,,,258918,3,158150,14114,,skills.sh-trending
4,ai-image-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,258993,4,158213,14124,,skills.sh-trending
5,anti-ui-slop,skills.sh,uizze.com,uizze.com,,single,,,401045,5,119426,106826,11.8,skills.sh-trending
6,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,3038923,6,93130,96861,-3.9,skills.sh-trending
7,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,920034,7,65802,75922,-13.3,skills.sh-trending
8,grilling,skills.sh,mattpocock,mattpocock/skills,,single,,,497955,8,57496,69023,-16.7,skills.sh-trending
9,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,783136,9,55776,66362,-16,skills.sh-trending
10,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,754865,10,54240,63780,-15,skills.sh-trending
11,domain-modeling,skills.sh,mattpocock,mattpocock/skills,,single,,,456468,11,52076,60145,-13.4,skills.sh-trending
12,tdd,skills.sh,mattpocock,mattpocock/skills,,single,,,729288,12,52249,63627,-17.9,skills.sh-trending
13,codebase-design,skills.sh,mattpocock,mattpocock/skills,,single,,,443304,13,50766,60375,-15.9,skills.sh-trending
14,code-review,skills.sh,mattpocock,mattpocock/skills,,single,,,377382,14,50927,61595,-17.3,skills.sh-trending
15,diagnosing-bugs,skills.sh,mattpocock,mattpocock/skills,,single,,,437252,15,49914,59214,-15.7,skills.sh-trending
16,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,670028,16,49250,61714,-20.2,skills.sh-trending
