rank,skill,skill_key,platform,vendor,source_skillssh,slug_clawhub,url,repo_url,install,match,description,description_zh,x_mentions_7d,x_truncated,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_engagement_7d,buzz_score,buzz_shared,category,flags
1,agent-browser,ss:vercel-labs/agent-browser/agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,https://www.skills.sh/vercel-labs/agent-browser/agent-browser,https://github.com/vercel-labs/agent-browser,npx skills add https://github.com/vercel-labs/agent-browser --skill agent-browser,single,,,77,true,5,6,10,11,29,136,0.948,true,ai-agent,
2,grill-me,ss:mattpocock/skills/grill-me,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-me,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill grill-me,single,,,73,false,5,6,4,13,27,2552,0.928,true,dev-programming,
3,self-improving,ch:self-improving,clawhub,,,self-improving,https://clawhub.ai/ivangdavila/skills/self-improving,,openclaw skills install @ivangdavila/self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,62,true,1,6,30,149,8,4789,0.897,false,ai-agent,
4,frontend-design,ss:anthropics/skills/frontend-design,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/frontend-design,https://github.com/anthropics/skills,npx skills add https://github.com/anthropics/skills --skill frontend-design,single,,,36,false,2,3,2,8,55,2090,0.872,true,design-media,
5,nano-banana-pro,ch:nano-banana-pro,clawhub,steipete,,nano-banana-pro,https://clawhub.ai/steipete/skills/nano-banana-pro,,openclaw skills install @steipete/nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,15,false,1,1,5,8,1,264,0.785,false,design-media,
6,skill-creator,ss:anthropics/skills/skill-creator,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/skill-creator,https://github.com/anthropics/skills,npx skills add https://github.com/anthropics/skills --skill skill-creator,single,,,48,false,0,0,1,4,113,1960,0.713,true,ai-agent,
7,browser-use,ss:browser-use/browser-use/browser-use,skills.sh,browser-use,browser-use/browser-use,,https://www.skills.sh/browser-use/browser-use/browser-use,https://github.com/browser-use/browser-use,npx skills add https://github.com/browser-use/browser-use --skill browser-use,single,,,,false,5,8,27,34,6,,0.652,true,ai-agent,
8,find-skills,ss:vercel-labs/skills/find-skills,skills.sh,vercel-labs,vercel-labs/skills,,https://www.skills.sh/vercel-labs/skills/find-skills,https://github.com/vercel-labs/skills,npx skills add https://github.com/vercel-labs/skills --skill find-skills,single,,,5,false,0,1,1,1,149,10,0.648,true,ai-agent,
9,self-improving-agent,ch:self-improving-agent,clawhub,,,self-improving-agent,https://clawhub.ai/pskoett/skills/self-improving-agent,,openclaw skills install @pskoett/self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,43,false,0,0,1,1,2,2674,0.643,true,ai-agent,
10,grill-with-docs,ss:mattpocock/skills/grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-with-docs,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill grill-with-docs,single,,,15,false,0,0,1,1,11,518,0.623,false,dev-programming,
11,proactive-agent,ch:proactive-agent,clawhub,,,proactive-agent,https://clawhub.ai/halthelobster/skills/proactive-agent,,openclaw skills install @halthelobster/proactive-agent,upstream,"Transform AI agents from task-followers into proactive partners that anticipate needs and continuously improve. Now with WAL Protocol, Working Buffer, Autonomous Crons, and battle-tested patterns. Par",将 AI 代理从任务执行者转变为能够预见需求、持续优化的主动伙伴。现已支持 WAL Protocol、Working Buffer、Autonomous Crons 及经过实战验证的模式。属于 Hal Stack 🦞。,37,false,0,0,0,0,1,137,0.494,true,ai-agent,
12,ai-video-generation,ss:genmedia-labs/skills/ai-video-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/ai-video-generation,https://github.com/genmedia-labs/skills,npx skills add https://github.com/genmedia-labs/skills --skill ai-video-generation,single,,,,false,1,1,17,66,0,,0.446,true,design-media,
13,image-to-video,ss:genmedia-labs/skills/image-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/image-to-video,https://github.com/genmedia-labs/skills,npx skills add https://github.com/genmedia-labs/skills --skill image-to-video,single,,,,false,0,0,20,23,1,,0.424,true,design-media,
14,automation-workflows,ch:automation-workflows,clawhub,,,automation-workflows,https://clawhub.ai/jk-0001/skills/automation-workflows,,openclaw skills install @jk-0001/automation-workflows,upstream,"Design and implement automation workflows to save time and scale operations as a solopreneur. Use when identifying repetitive tasks to automate, building workflows across tools, setting up triggers an",设计和实施自动化工作流，帮助个体创业者节省时间并扩展业务。用于识别可自动化的重复性任务、跨工具构建工作流、设置触发器和操作，或优化现有自动化。涵盖自动化机会识别、工作流设计、工具选择（Zapier、Make、n8n）、测试及维护。,,false,0,0,1,27,2,,0.417,false,business-ops,
