skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered
find-skills,"""find-skills""",0,0,1,2,132,21,false,2,1539,true
self-improving-agent,"""self-improving-agent""",1,1,3,4,1,32,false,2,858,true
grill-me,"""grill-me""",0,1,6,15,26,100,true,5,6600,true
skill-vetter,"""skill-vetter""",0,0,0,0,0,2,false,1,15,false
grill-with-docs,"""grill-with-docs""",0,0,1,1,5,19,false,1,1707,true
self-improving,"""self-improving""",6,10,97,123,2,100,true,5,3578,true
improve-codebase-architecture,"""improve-codebase-architecture""",0,0,1,1,3,3,false,1,10,true
ontology,"""ontology"" skill",0,0,0,0,13,100,true,5,1356,false
frontend-design,"""frontend-design""",0,1,6,18,51,77,false,4,2394,true
github,"""github"" skill",0,206,68,91,710,100,true,5,522,true
tdd,"""tdd"" skill",0,5,1,1,39,100,true,5,5859,true
gog,"""gog"" skill",0,3,0,0,0,7,false,1,13,true
agent-browser,"""agent-browser""",0,1,4,5,24,100,true,5,2690,true
skillscan,"""skillscan"" skill",0,0,0,0,0,1,false,1,0,false
setup-matt-pocock-skills,"""setup-matt-pocock-skills""",0,0,0,0,5,2,false,1,408,false
proactive-agent,"""proactive-agent""",0,1,0,1,0,30,false,2,664,true
handoff,"""handoff"" skill",0,4,2,4,151,100,true,5,1275,true
weather,"""weather"" skill",0,13,0,15,7,100,true,5,4953,true
triage,"""triage"" skill",1,5,0,0,150,100,true,5,2318,true
multi-search-engine,"""multi-search-engine""",0,0,0,0,0,0,false,1,0,false
prototype,"""prototype"" skill",1,6,3,4,27,100,true,5,1552,true
agent-browser-clawdbot,"""agent-browser-clawdbot""",0,0,0,0,0,0,false,1,0,false
vercel-react-best-practices,"""vercel-react-best-practices""",0,0,0,0,3,2,false,1,4,false
admapix,"""admapix"" skill",0,0,0,0,0,0,false,1,0,false
anti-ui-slop,"""anti-ui-slop""",0,0,0,0,0,0,false,1,0,false
humanizer,"""humanizer"" skill",0,0,3,3,20,97,false,5,5841,true
lark-doc,"""lark-doc""",0,0,0,0,1,0,false,1,0,false
nano-pdf,"""nano-pdf""",0,0,0,0,0,0,false,1,0,false
lark-base,"""lark-base""",0,0,0,0,1,1,false,1,5,false
obsidian,"""obsidian"" skill",0,4,2,5,18,60,false,4,606,true
lark-drive,"""lark-drive""",0,0,0,0,0,0,false,1,0,false
nano-banana-pro,"""nano-banana-pro""",0,0,7,7,3,48,false,3,1216,true
lark-approval,"""lark-approval""",0,0,0,0,0,0,false,1,0,false
