skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered
find-skills,"""find-skills""",0,0,0,1,95,25,false,2,954,true
self-improving-agent,"""self-improving-agent""",0,0,2,2,1,50,false,3,1987,true
grill-me,"""grill-me""",0,4,9,15,19,100,true,5,4128,true
skill-vetter,"""skill-vetter""",0,0,0,0,3,0,false,1,0,false
grill-with-docs,"""grill-with-docs""",0,0,2,4,9,21,false,2,3178,true
self-improving,"""self-improving""",10,20,183,383,4,20,false,2,140,true
improve-codebase-architecture,"""improve-codebase-architecture""",0,0,0,0,4,3,false,1,22,false
ontology,"""ontology"" skill",0,2,1,1,7,100,true,5,3879,true
tdd,"""tdd"" skill",0,2,0,2,43,100,true,5,4642,true
github,"""github"" skill",0,223,54,84,645,80,false,5,192,true
frontend-design,"""frontend-design""",0,3,3,9,62,20,false,2,364,true
gog,"""gog"" skill",0,0,0,1,6,17,false,1,146,true
agent-browser,"""agent-browser""",0,1,10,12,29,0,false,1,0,true
skillscan,"""skillscan"" skill",0,0,0,0,3,0,false,1,0,false
setup-matt-pocock-skills,"""setup-matt-pocock-skills""",0,0,0,0,10,0,false,1,0,false
proactive-agent,"""proactive-agent""",0,0,1,1,1,30,false,2,495,true
handoff,"""handoff"" skill",0,3,2,3,185,80,false,5,723,true
weather,"""weather"" skill",2,17,2,12,14,100,true,5,2462,true
triage,"""triage"" skill",0,1,1,1,118,0,false,1,0,true
multi-search-engine,"""multi-search-engine""",0,0,2,2,5,2,false,1,20,true
prototype,"""prototype"" skill",0,14,0,2,31,99,true,5,3361,true
agent-browser-clawdbot,"""agent-browser-clawdbot""",0,0,0,0,0,0,false,1,0,false
grilling,"""grilling"" skill",0,0,0,1,28,27,false,2,37,true
admapix,"""admapix"" skill",0,0,0,0,0,0,false,1,0,false
vercel-react-best-practices,"""vercel-react-best-practices""",0,0,0,0,2,8,false,1,1030,false
humanizer,"""humanizer"" skill",0,1,2,2,41,20,false,2,904,true
lark-doc,"""lark-doc""",0,0,0,0,0,1,false,1,5,false
nano-pdf,"""nano-pdf""",0,0,0,0,0,0,false,1,0,false
lark-base,"""lark-base""",0,0,0,0,0,0,false,1,0,false
obsidian,"""obsidian"" skill",0,6,1,2,29,100,true,5,1078,true
lark-drive,"""lark-drive""",0,0,0,0,0,0,false,1,0,false
nano-banana-pro,"""nano-banana-pro""",0,0,8,11,3,28,false,2,2243,true
lark-shared,"""lark-shared""",0,0,0,0,0,0,false,1,0,false
openclaw-tavily-search,"""openclaw-tavily-search""",0,0,0,0,0,0,false,1,0,false
