rank,skill,platform,vendor,source_skillssh,slug_clawhub,url,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
1,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,https://www.skills.sh/vercel-labs/skills/find-skills,single,,,3332825,,,79.6,1,0.983,0.82,,0.7,C,
2,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,https://www.skills.sh/vercel-labs/agent-browser/agent-browser,single,,,821156,,,76.6,0.995,0.937,0.713,,0.7,C,
3,frontend-design,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/frontend-design,single,,,871683,,,75.3,0.995,0.823,0.727,,0.7,C,
4,grill-me,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-me,single,,,1104249,,,71.2,0.999,0.97,0.911,,0.2,C,
5,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,https://www.skills.sh/vercel-labs/agent-skills/vercel-react-best-practices,single,,,701811,,,68.7,0.99,0.812,0.416,,0.7,C,
6,microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/microsoft-foundry,single,,,580392,,,68.7,0.964,0.817,0.454,,0.7,C,
7,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-ai,single,,,571918,,,68,0.96,0.807,0.429,,0.7,C,
8,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,https://www.skills.sh/vercel-labs/agent-skills/web-design-guidelines,single,,,621595,,,66,0.968,0.813,0.311,,0.7,C,
9,entra-app-registration,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/entra-app-registration,single,,,570520,,,65.2,0.957,0.798,,,0.7,C,
10,appinsights-instrumentation,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/appinsights-instrumentation,single,,,570264,,,65.2,0.956,0.8,,,0.7,C,
11,azure-resource-lookup,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-resource-lookup,single,,,570182,,,65.2,0.955,0.802,,,0.7,C,
12,azure-compliance,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-compliance,single,,,570162,,,65.2,0.954,0.808,,,0.7,C,
13,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-storage,single,,,570780,,,65.1,0.958,0.792,,,0.7,C,
14,azure-resource-visualizer,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-resource-visualizer,single,,,570202,,,65.1,0.955,0.797,,,0.7,C,
15,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-with-docs,single,,,942349,,,65,0.998,0.96,0.609,,0.2,C,
16,azure-aigateway,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-aigateway,single,,,569955,,,65,0.953,0.793,,,0.7,C,
17,azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-kusto,single,,,569877,,,64.9,0.952,0.79,,,0.7,C,
18,azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-messaging,single,,,559599,,,64.9,0.951,0.788,,,0.7,C,
19,self-improving-agent,clawhub,,,self-improving-agent,https://clawhub.ai/pskoett/skills/self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,,478504,1183196,64.9,0.999,,0.828,0.656,0.2,B,
20,azure-compute,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-compute,single,,,513601,,,64.7,0.946,0.785,,,0.7,C,
21,azure-cloud-migrate,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-cloud-migrate,single,,,503626,,,64.7,0.945,0.787,,,0.7,C,
22,azure-quotas,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-quotas,single,,,439774,,,64.1,0.929,0.78,,,0.7,C,
23,skill-creator,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/skill-creator,single,,,377069,,,63.9,0.89,0.465,0.586,,0.7,C,
24,azure-upgrade,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-upgrade,single,,,431891,,,63.6,0.916,0.777,,,0.7,C,
25,self-improving,clawhub,,,self-improving,https://clawhub.ai/ivangdavila/skills/self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,,209028,398797,63.3,0.995,,0.936,0.418,0.2,B,
26,azure-enterprise-infra-planner,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-enterprise-infra-planner,single,,,406414,,,63.2,0.899,0.782,,,0.7,C,
27,azure-kubernetes,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-kubernetes,single,,,399273,,,63.2,0.899,0.783,,,0.7,C,
28,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/improve-codebase-architecture,single,,,902094,,,63,0.997,0.945,0.523,,0.2,C,
29,azure-cost,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-cost,single,,,374500,,,62.9,0.889,0.778,,,0.7,C,
