rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,first_seen_days,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score
1,lingyi-copy-de-ai-human-eval,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】：文案去AI味·真人评估（付费版）。把小红书/视频号/公众号/抖音文案改写得像真人写、消除 AI 痕迹降 AI 率，并模拟真实人群画像的读者逐段评估「哪里还像 AI、哪里不像人写」，给出人味打分与残留痕迹定位。别人只改不验，本品改完让真人评估把关。触发词：文案去AI味、社媒文案去AI、去AI味、降AI率、AI去痕、过AI检测、人味改写、真人评估、读者验收、真人试读。,【零一数科·出品】：文案去AI味·真人评估（付费版）。把小红书/视频号/公众号/抖音文案改写得像真人写、消除 AI 痕迹降 AI 率，并模拟真实人群画像的读者逐段评估「哪里还像 AI、哪里不像人写」，给出人味打分与残留痕迹定位。别人只改不验，本品改完让真人评估把关。触发词：文案去AI味、社媒文案去AI、去AI味、降AI率、AI去痕、过AI检测、人味改写、真人评估、读者验收、真人试读。,29,,,18417,0.696
2,heilongjiang-bid-analysis-shibo,skillhub-cn,,,,single,,黑龙江省招投标分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含黑龙江、黑龙江省、黑、哈尔滨、齐齐哈尔、鸡西、鹤岗、双鸭山、大庆、哈尔滨新区、哈大齐工业走廊、自贸试验区黑龙江片区、对俄合作区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖黑龙江省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业,3,,,17964,0.69
3,paperless-business-system-from-files,skillhub-cn,,,,single,将 Excel、CSV、Word、PDF、JSON、TXT、ZIP、表单或已有 Python/Web 源码，转换或升级为可本地/局域网部署的中文业务系统。用于“根据报表或附件生成系统”“把 Excel 做成系统”“生成可运行 ZIP/完整部署包”“做成类似 V1.5.11 的局域网包”“生成服务端和 Windows 填写客户端”，以及诊断、修复、验收本技能生成的系统。先只读盘点证据与资料完整度，再,读取用户提示词和上传的业务附件，自动识别业务类型、字段、公式、流程、权限和报表规则，生成对应的完整本地部署 Python Web 系统。支持能源、点工、生产、质量、设备、库存、审批及组合业务，并交付完整源码、SQLite 数据库、导入导出、权限审计、备份恢复和 Windows EXE 打包代码。 生产日报与班报系统 质量问题与整改闭环系统 设备点检、保养与维修系统 库存管理与采购预警系统 考勤与交,16,,,14978,0.607
4,ai-toolbox,skillhub-cn,,,,single,,你的 AI 电商助手。竞品监控、爆款文案、客服话术、数据日报——一个 Skill 搞定开店全流程。,25,,,12828,0.531
5,1688-diagnosis,skillhub-cn,,,,single,1688店铺全面诊断报告生成。通过 Python 直连 1688 生意参谋 + 工作台 API 采集数据，生成覆盖店铺概况、流量诊断、商品诊断、客户诊断、服务体验、平台配置 7 大维度的 Markdown 诊断报告。当用户提到 1688 诊断、店铺诊断、1688 数据分析、诊断报告、店铺分析、1688 体检 时触发。,AI一键生成1688店铺多维度专业诊断报告，精准定位问题并给出可执行的优化建议。,18,,,12548,0.518
6,construction-industry-bid-analysis-shibo,skillhub-cn,,,,single,建筑业招标采购分析【世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含建筑、工程、建设、施工、EPC、设计、监理、勘察、造价、市政、道路、桥梁、管网、园区、厂房、装饰装修等内容时触发，基于世舶科技全行业招投标数据 API，重点提取建设单位、施工/设计/监理中标方、预算/中标/合同金额，并分析业主客户、Top承包商体系、合同公告、拟在建项目和企业画像。,建筑业招标采购分析【世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含建筑、工程、建设、施工、EPC、设计、监理、勘察、造价、市政、道路、桥梁、管网、园区、厂房、装饰装修等内容时触发，基于世舶科技全行业招投标数据 API，重点提取建设单位、施工/设计/监理中标方、预算/中标/合同金额，并分析业主客户、Top承包商体系、合同公告、拟在建项目和企业画像。,4,,,10772,0.418
7,alibabacloud-migration-mas-cloud-migration-survey,clawhub,sdk-team,,alibabacloud-migration-mas-cloud-migration-survey,single,当用户提供迁云调研材料（Excel/Word/文本/CSV文件）并要求生成结构化调研报告时，自动分析汇总并输出 .docx 文档。涵盖客户画像、架构现状、云产品映射、版本兼容性风险、迁移风险、待确认事项。支持 AWS/Azure/GCP/华为云/腾讯云/百度云/IDC 到阿里云的迁移评估。适用于阿里云迁云项目售前...,,26,,8048,,0.401
8,hubei-bid-analysis-shibo,skillhub-cn,,,,single,,湖北省招投标分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含湖北、湖北省、鄂、武汉、黄石、十堰、宜昌、襄阳、鄂州、武汉都市圈、光谷、东湖高新区、长江中游城市群、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖湖北省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业采购和拟在建项目信息，分析采购方,3,,,8763,0.272
9,gansu-bid-analysis-shibo,skillhub-cn,,,,single,,甘肃省招投标分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含甘肃、甘肃省、陇、兰州、嘉峪关、金昌、白银、天水、武威、兰州新区、河西走廊、丝绸之路经济带甘肃段、兰白科技创新改革试验区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖甘肃省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业采购和拟在,3,,,8612,0.262
10,hebei-bid-analysis-shibo,skillhub-cn,,,,single,,河北省招投标分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含河北、河北省、冀、京津冀、石家庄、唐山、秦皇岛、邯郸、邢台、保定、雄安新区、京津冀协同发展区、曹妃甸区、北戴河新区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖河北省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业采购和拟在建项目,3,,,8571,0.258
