rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
1,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,680941,,,80.8,0.995,0.923,0.931,,0.7,C,
2,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,781189,,,76.3,0.998,0.893,0.722,,0.7,C,
3,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,2966935,,,74.4,1,0.973,0.566,,0.7,C,
4,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,866562,,,71.6,0.999,0.972,0.926,,0.2,C,
5,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,352714,,,68.3,0.911,0.553,0.706,,0.7,C,
6,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,545038,,,66.5,0.973,0.835,0.314,,0.7,C,
7,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,737142,,,65.5,0.997,0.968,0.627,,0.2,C,
8,nano-banana-pro,clawhub,steipete,,nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,,106145,125352,64.8,0.978,,0.631,0.292,0.7,B,
9,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,711023,,,64.5,0.997,0.967,0.581,,0.2,C,
10,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,634952,,,64.3,0.994,0.813,0.186,,0.7,C,
11,remotion-best-practices,skills.sh,remotion-dev,remotion-dev/skills,,single,,,480255,,,64.2,0.957,0.73,,,0.7,C,
12,prisma-database-setup,skills.sh,prisma,prisma/skills,,single,,,183303,,,63.9,0.832,0.962,,,0.7,C,
13,prisma-client-api,skills.sh,prisma,prisma/skills,,single,,,182621,,,63.9,0.831,0.963,,,0.7,C,
14,prisma-cli,skills.sh,prisma,prisma/skills,,single,,,180638,,,63.8,0.829,0.96,,,0.7,C,
15,prisma-postgres,skills.sh,prisma,prisma/skills,,single,,,177025,,,63.6,0.826,0.957,,,0.7,C,
16,prisma-driver-adapter-implementation,skills.sh,prisma,prisma/skills,,single,,,172843,,,63.6,0.825,0.955,,,0.7,C,
17,supabase-postgres-best-practices,skills.sh,supabase,supabase/agent-skills,,single,,,349852,,,63.5,0.91,0.782,,,0.7,C,
18,prisma-upgrade-v7,skills.sh,prisma,prisma/skills,,single,,,172723,,,63.5,0.824,0.952,,,0.7,C,
19,prisma-postgres-setup,skills.sh,prisma,prisma/skills,,single,,,171483,,,63.5,0.821,0.958,,,0.7,C,
20,prisma-compute,skills.sh,prisma,prisma/skills,,single,,,168149,,,63.4,0.819,0.953,,,0.7,C,
21,prisma-mongodb-upgrade,skills.sh,prisma,prisma/skills,,single,,,166951,,,63.2,0.816,0.95,,,0.7,C,
22,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,,207142,373009,63,0.996,,0.892,0.45,0.2,B,
23,microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,single,,,531648,,,62.6,0.971,0.653,0.258,,0.7,C,
24,azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,single,,,513465,,,62.3,0.96,0.598,,,0.7,C,
25,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,single,,,525641,,,62.2,0.97,0.62,0.263,,0.7,C,
26,azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,single,,,523733,,,62.2,0.962,0.602,0.289,,0.7,C,
27,azure-resource-visualizer,skills.sh,microsoft,microsoft/azure-skills,,single,,,523692,,,62.2,0.961,0.593,,,0.7,C,
28,azure-compute,skills.sh,microsoft,microsoft/azure-skills,,single,,,467544,,,62.1,0.957,0.595,,,0.7,C,
29,supabase,skills.sh,supabase,supabase/agent-skills,,single,,,219791,,,62.1,0.854,0.797,,,0.7,C,
30,azure-cloud-migrate,skills.sh,microsoft,microsoft/azure-skills,,single,,,457210,,,62,0.955,0.592,,,0.7,C,
31,handoff,skills.sh,mattpocock,mattpocock/skills,,single,,,595443,,,61.9,0.993,0.943,0.471,,0.2,C,
32,tdd,skills.sh,mattpocock,mattpocock/skills,,single,,,687207,,,61.7,0.996,0.948,0.454,,0.2,C,
33,vercel-composition-patterns,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,290434,,,61.7,0.882,0.713,,,0.7,C,
34,triage,skills.sh,mattpocock,mattpocock/skills,,single,,,592857,,,61.6,0.992,0.932,0.469,,0.2,C,
35,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,single,,,524583,,,61.5,0.967,0.608,0.244,,0.7,C,
36,prototype,skills.sh,mattpocock,mattpocock/skills,,single,,,581276,,,61.4,0.991,0.933,0.456,,0.2,C,
37,azure-quotas,skills.sh,microsoft,microsoft/azure-skills,,single,,,393792,,,61.4,0.923,0.613,,,0.7,C,
38,github,clawhub,steipete,,github,upstream,"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries.",使用 `gh` CLI 与 GitHub 交互，通过 `gh issue`、`gh pr`、`gh run` 和 `gh api` 管理议题、PR、CI 运行及高级查询。,,195670,358615,61.3,0.995,,0.474,0.232,0.7,B,
39,azure-kubernetes,skills.sh,microsoft,microsoft/azure-skills,,single,,,353260,,,61.1,0.912,0.615,,,0.7,C,
40,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,632871,,,60.9,0.993,0.938,0.425,,0.2,C,
41,azure-upgrade,skills.sh,microsoft,microsoft/azure-skills,,single,,,386014,,,60.9,0.922,0.583,,,0.7,C,
42,azure-enterprise-infra-planner,skills.sh,microsoft,microsoft/azure-skills,,single,,,360143,,,60.7,0.913,0.587,,,0.7,C,
43,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,,474363,1103045,60.5,0.999,,0.458,0.859,0.2,B,
44,brave-search,clawhub,steipete,,brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,,61098,71167,60.3,0.954,,0.447,0.28,0.7,B,
45,azure-cost,skills.sh,microsoft,microsoft/azure-skills,,single,,,328512,,,60.2,0.894,0.59,,,0.7,C,
46,airunway-aks-setup,skills.sh,microsoft,microsoft/azure-skills,,single,,,272676,,,59.6,0.88,0.58,,,0.7,C,
47,azure-diagnostics,skills.sh,microsoft,microsoft/azure-skills,,single,,,525912,,,59.5,0.97,0.632,0.12,,0.7,C,
48,azure-deploy,skills.sh,microsoft,microsoft/azure-skills,,single,,,525558,,,59.5,0.969,0.633,0.12,,0.7,C,
49,neon-postgres,skills.sh,neondatabase,neondatabase/agent-skills,,single,,,91044,,,59.5,0.764,0.808,,,0.7,C,
50,azure-prepare,skills.sh,microsoft,microsoft/azure-skills,,single,,,525362,,,59.4,0.968,0.628,0.12,,0.7,C,
