rank,skill,platform,vendor,source_skillssh,slug_clawhub,url,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
1,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,https://www.skills.sh/vercel-labs/agent-browser/agent-browser,single,,,871512,,,76.6,0.995,0.913,0.728,,0.7,C,
2,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,https://www.skills.sh/vercel-labs/skills/find-skills,single,,,3436674,,,74.2,1,0.985,0.548,,0.7,C,
3,frontend-design,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/frontend-design,single,,,894676,,,72.9,0.996,0.768,0.651,,0.7,C,
4,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,https://www.skills.sh/vercel-labs/agent-skills/vercel-react-best-practices,single,,,720750,,,68.4,0.992,0.767,0.43,,0.7,C,
5,weather,clawhub,steipete,,weather,https://clawhub.ai/steipete/skills/weather,upstream,Get current weather and forecasts (no API key required).,获取当前天气和预报（无需API密钥）,,169702,248945,66.7,0.987,,0.428,0.667,0.7,B,
6,grill-me,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-me,single,,,1160200,,,66.6,0.999,0.917,0.718,,0.2,C,
7,gog,clawhub,steipete,,gog,https://clawhub.ai/steipete/skills/gog,upstream,"Google Workspace CLI for Gmail, Calendar, Drive, Contacts, Sheets, and Docs.",Google Workspace 命令行工具，支持 Gmail、日历、云端硬盘、通讯录、表格和文档。,,193942,201301,66.3,0.987,,0.41,0.667,0.7,B,
8,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-ai,single,,,586071,,,66.1,0.966,0.678,0.425,,0.7,C,
9,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,https://www.skills.sh/vercel-labs/agent-skills/web-design-guidelines,single,,,641972,,,65.4,0.971,0.77,0.311,,0.7,C,
10,slack,clawhub,steipete,,slack,https://clawhub.ai/steipete/skills/slack,upstream,"Use when you need to control Slack from Clawdbot via the slack tool, including reacting to messages or pinning/unpinning items in Slack channels or DMs.",当需要通过 slack 工具从 Clawdbot 控制 Slack 时使用，包括在频道或私信中回复消息或置顶/取消置顶项目。,,53739,59108,64.9,0.925,,0.434,0.667,0.7,B,
11,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-with-docs,single,,,990540,,,63.9,0.998,0.908,0.593,,0.2,C,
12,nano-banana-pro,clawhub,steipete,,nano-banana-pro,https://clawhub.ai/steipete/skills/nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,,106853,132344,63.9,0.975,,0.62,0.249,0.7,B,
13,azure-compliance,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-compliance,single,,,584452,,,63.7,0.962,0.692,,,0.7,C,
14,microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/microsoft-foundry,single,,,595411,,,63.5,0.968,0.718,0.261,,0.7,C,
15,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-storage,single,,,584902,,,63.5,0.964,0.672,,,0.7,C,
16,entra-app-registration,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/entra-app-registration,single,,,584640,,,63.4,0.963,0.67,,,0.7,C,
17,appinsights-instrumentation,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/appinsights-instrumentation,single,,,584389,,,63.4,0.961,0.673,,,0.7,C,
18,azure-resource-visualizer,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-resource-visualizer,single,,,584319,,,63.3,0.961,0.665,,,0.7,C,
19,azure-aigateway,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-aigateway,single,,,584063,,,63.3,0.959,0.667,,,0.7,C,
20,azure-resource-lookup,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-resource-lookup,single,,,584304,,,63.2,0.96,0.663,,,0.7,C,
21,azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-kusto,single,,,583985,,,63.2,0.958,0.662,,,0.7,C,
22,azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-messaging,single,,,573701,,,63.1,0.957,0.66,,,0.7,C,
23,skill-creator,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/skill-creator,single,,,383428,,,63.1,0.904,0.377,0.591,,0.7,C,
24,self-improving,clawhub,,,self-improving,https://clawhub.ai/ivangdavila/skills/self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,,209596,405577,63,0.995,,0.921,0.412,0.2,B,
25,azure-compute,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-compute,single,,,527681,,,62.9,0.952,0.657,,,0.7,C,
26,azure-cloud-migrate,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-cloud-migrate,single,,,517706,,,62.8,0.948,0.655,,,0.7,C,
27,azure-deploy,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-deploy,single,,,586000,,,62.7,0.965,0.675,0.258,,0.7,C,
28,azure-validate,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-validate,single,,,585444,,,62.6,0.964,0.668,0.258,,0.7,C,
29,azure-quotas,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-quotas,single,,,453819,,,62.4,0.94,0.65,,,0.7,C,
30,azure-upgrade,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-upgrade,single,,,445933,,,62.2,0.932,0.648,,,0.7,C,
31,remotion-best-practices,skills.sh,remotion-dev,remotion-dev/skills,,https://www.skills.sh/remotion-dev/skills/remotion-best-practices,single,,,527904,,,61.8,0.953,0.578,,,0.7,C,
32,azure-enterprise-infra-planner,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-enterprise-infra-planner,single,,,420469,,,61.7,0.918,0.647,,,0.7,C,
33,prisma-database-setup,skills.sh,prisma,prisma/skills,,https://www.skills.sh/prisma/skills/prisma-database-setup,single,,,292440,,,61.7,0.859,0.76,,,0.7,C,
34,prisma-client-api,skills.sh,prisma,prisma/skills,,https://www.skills.sh/prisma/skills/prisma-client-api,single,,,292037,,,61.7,0.859,0.762,,,0.7,C,
35,trello,clawhub,steipete,,trello,https://clawhub.ai/steipete/skills/trello,upstream,"Manage Trello boards, lists, and cards via the Trello REST API.",使用 Trello REST API 管理看板、列表和卡片,,43596,51616,61.7,0.907,,,0.667,0.7,B,
36,prisma-cli,skills.sh,prisma,prisma/skills,,https://www.skills.sh/prisma/skills/prisma-cli,single,,,289711,,,61.6,0.857,0.758,,,0.7,C,
37,prisma-postgres,skills.sh,prisma,prisma/skills,,https://www.skills.sh/prisma/skills/prisma-postgres,single,,,285434,,,61.5,0.855,0.753,,,0.7,C,
38,azure-kubernetes,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-kubernetes,single,,,413320,,,61.4,0.909,0.645,,,0.7,C,
39,azure-cost,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-cost,single,,,388553,,,61.4,0.905,0.652,,,0.7,C,
40,vercel-composition-patterns,skills.sh,vercel-labs,vercel-labs/agent-skills,,https://www.skills.sh/vercel-labs/agent-skills/vercel-composition-patterns,single,,,341411,,,61.4,0.877,0.703,,,0.7,C,
41,handoff,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/handoff,single,,,818753,,,61.3,0.994,0.903,0.471,,0.2,C,
