rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
1,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,810316,,,79.9,0.998,0.883,0.912,,0.7,C,
2,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,717687,,,76.2,0.995,0.885,0.73,,0.7,C,
3,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,3077512,,,76,1,0.982,0.637,,0.7,C,
4,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,656624,,,70.9,0.993,0.793,0.537,,0.7,C,
5,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,360315,,,68.6,0.905,0.595,0.701,,0.7,C,
6,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,945420,,,67.9,0.999,0.98,0.735,,0.2,C,
7,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,568640,,,67.1,0.971,0.877,0.318,,0.7,C,
8,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,,475845,1128495,66.8,0.999,,0.828,0.782,0.2,B,
9,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,single,,,539894,,,64.8,0.968,0.585,0.424,,0.7,C,
10,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,single,,,538822,,,64.3,0.965,0.58,0.408,,0.7,C,
11,remotion-best-practices,skills.sh,remotion-dev,remotion-dev/skills,,single,,,491845,,,64.1,0.956,0.728,,,0.7,C,
12,api-gateway,clawhub,,,api-gateway,upstream,"Call third-party APIs through the Maton gateway, which injects the credential for an app the user has already connected. Use this skill when the user names a connected app and a concrete action in it ",通过 Maton 管理的 API 路由连接外部服务；仅在用户指定目标应用、账户和任务后使用；以读取/列...,,85944,116899,64,0.971,,0.61,0.946,0.2,B,
13,prisma-database-setup,skills.sh,prisma,prisma/skills,,single,,,228085,,,63.7,0.842,0.932,,,0.7,C,
14,prisma-client-api,skills.sh,prisma,prisma/skills,,single,,,227490,,,63.7,0.84,0.933,,,0.7,C,
15,prisma-cli,skills.sh,prisma,prisma/skills,,single,,,225399,,,63.6,0.839,0.93,,,0.7,C,
16,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,,207716,384655,63.5,0.996,,0.929,0.438,0.2,B,
17,prisma-postgres,skills.sh,prisma,prisma/skills,,single,,,221613,,,63.4,0.835,0.927,,,0.7,C,
18,prisma-driver-adapter-implementation,skills.sh,prisma,prisma/skills,,single,,,217255,,,63.4,0.833,0.925,,,0.7,C,
19,prisma-postgres-setup,skills.sh,prisma,prisma/skills,,single,,,216039,,,63.4,0.832,0.928,,,0.7,C,
20,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,805365,,,63.3,0.997,0.977,0.514,,0.2,C,
21,prisma-upgrade-v7,skills.sh,prisma,prisma/skills,,single,,,217122,,,63.3,0.832,0.922,,,0.7,C,
22,prisma-compute,skills.sh,prisma,prisma/skills,,single,,,212518,,,63.2,0.83,0.923,,,0.7,C,
23,prisma-mongodb-upgrade,skills.sh,prisma,prisma/skills,,single,,,211266,,,63.2,0.829,0.92,,,0.7,C,
24,supabase-postgres-best-practices,skills.sh,supabase,supabase/agent-skills,,single,,,365269,,,63,0.906,0.753,,,0.7,C,
25,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,776418,,,62.3,0.996,0.975,0.465,,0.2,C,
26,handoff,skills.sh,mattpocock,mattpocock/skills,,single,,,654588,,,62.2,0.993,0.967,0.471,,0.2,C,
27,tdd,skills.sh,mattpocock,mattpocock/skills,,single,,,750053,,,62,0.996,0.972,0.455,,0.2,C,
28,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,689840,,,61.9,0.994,0.962,0.458,,0.2,C,
29,triage,skills.sh,mattpocock,mattpocock/skills,,single,,,649815,,,61.9,0.992,0.952,0.469,,0.2,C,
30,azure-aigateway,skills.sh,microsoft,microsoft/azure-skills,,single,,,538021,,,61.9,0.96,0.57,,,0.7,C,
31,azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,single,,,537946,,,61.9,0.96,0.575,,,0.7,C,
32,azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,single,,,527676,,,61.9,0.959,0.577,,,0.7,C,
33,azure-cloud-migrate,skills.sh,microsoft,microsoft/azure-skills,,single,,,471628,,,61.9,0.952,0.588,,,0.7,C,
34,microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,single,,,546365,,,61.8,0.97,0.597,0.263,,0.7,C,
35,prototype,skills.sh,mattpocock,mattpocock/skills,,single,,,638687,,,61.7,0.991,0.96,0.455,,0.2,C,
36,azure-compute,skills.sh,microsoft,microsoft/azure-skills,,single,,,481733,,,61.6,0.954,0.567,,,0.7,C,
37,supabase,skills.sh,supabase,supabase/agent-skills,,single,,,234557,,,61.4,0.847,0.768,,,0.7,C,
38,nano-banana-pro,clawhub,steipete,,nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,,106315,130046,61.2,0.98,,0.456,0.278,0.7,B,
39,vercel-composition-patterns,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,301582,,,61.1,0.868,0.7,,,0.7,C,
40,github,clawhub,steipete,,github,upstream,"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries.",使用 `gh` CLI 与 GitHub 交互，通过 `gh issue`、`gh pr`、`gh run` 和 `gh api` 管理议题、PR、CI 运行及高级查询。,,196390,365893,61,0.995,,0.474,0.21,0.7,B,
41,azure-quotas,skills.sh,microsoft,microsoft/azure-skills,,single,,,407981,,,60.7,0.926,0.565,,,0.7,C,
42,azure-upgrade,skills.sh,microsoft,microsoft/azure-skills,,single,,,400143,,,60.4,0.917,0.56,,,0.7,C,
43,azure-enterprise-infra-planner,skills.sh,microsoft,microsoft/azure-skills,,single,,,374278,,,60.3,0.912,0.562,,,0.7,C,
44,azure-kubernetes,skills.sh,microsoft,microsoft/azure-skills,,single,,,367456,,,60.3,0.908,0.568,,,0.7,C,
45,brave-search,clawhub,steipete,,brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,,61239,75323,59.7,0.954,,0.428,0.269,0.7,B,
46,azure-cost,skills.sh,microsoft,microsoft/azure-skills,,single,,,342691,,,59.6,0.889,0.563,,,0.7,C,
47,neon-postgres,skills.sh,neondatabase,neondatabase/agent-skills,,single,,,107970,,,59.6,0.772,0.797,,,0.7,C,
48,obsidian,clawhub,steipete,,obsidian,upstream,Work with Obsidian vaults (plain Markdown notes) and automate via obsidian-cli.,操作 Obsidian 仓库（纯 Markdown 笔记）并通过 obsidian-cli 自动化。,,108158,133447,59.2,0.981,,0.445,0.16,0.7,B,
49,azure-diagnostics,skills.sh,microsoft,microsoft/azure-skills,,single,,,540457,,,58.8,0.969,0.592,0.12,,0.7,C,
50,azure-prepare,skills.sh,microsoft,microsoft/azure-skills,,single,,,539888,,,58.8,0.967,0.593,0.12,,0.7,C,
51,airunway-aks-setup,skills.sh,microsoft,microsoft/azure-skills,,single,,,286756,,,58.8,0.865,0.557,,,0.7,C,
52,notion,clawhub,steipete,,notion,upstream,"Notion API for creating and managing pages, databases, and blocks.",用于创建和管理页面、数据库及块的 Notion API。,,101513,106258,58.8,0.975,,0.44,0.151,0.7,B,
53,azure-validate,skills.sh,microsoft,microsoft/azure-skills,,single,,,539358,,,58.7,0.966,0.587,0.12,,0.7,C,
54,weather,clawhub,steipete,,weather,upstream,Get current weather and forecasts (no API key required).,获取当前天气和预报（无需API密钥）,,167633,244073,58.7,0.99,,0.41,0.151,0.7,B,
55,azure-deploy,skills.sh,microsoft,microsoft/azure-skills,,single,,,539852,,,58.6,0.967,0.583,0.12,,0.7,C,
56,entra-app-registration,skills.sh,microsoft,microsoft/azure-skills,,single,,,538556,,,58.6,0.964,0.582,0.12,,0.7,C,
57,azure-resource-visualizer,skills.sh,microsoft,microsoft/azure-skills,,single,,,538134,,,58.6,0.961,0.59,0.12,,0.7,C,
58,entra-agent-id,skills.sh,microsoft,microsoft/azure-skills,,single,,,260916,,,58.6,0.861,0.553,,,0.7,C,
59,azure-resource-lookup,skills.sh,microsoft,microsoft/azure-skills,,single,,,538232,,,58.5,0.963,0.578,0.12,,0.7,C,
60,appinsights-instrumentation,skills.sh,microsoft,microsoft/azure-skills,,single,,,538313,,,58.4,0.963,0.572,0.12,,0.7,C,
61,azure-compliance,skills.sh,microsoft,microsoft/azure-skills,,single,,,538187,,,58.4,0.962,0.573,0.12,,0.7,C,
62,playwright-cli,skills.sh,microsoft,microsoft/playwright-cli,,single,,,129154,,,58.4,0.784,0.692,,,0.7,C,
63,slack,clawhub,steipete,,slack,upstream,"Use when you need to control Slack from Clawdbot via the slack tool, including reacting to messages or pinning/unpinning items in Slack channels or DMs.",当需要通过 slack 工具从 Clawdbot 控制 Slack 时使用，包括在频道或私信中回复消息或置顶/取消置顶项目。,,53331,58751,58,0.942,,0.449,0.151,0.7,B,
64,grilling,skills.sh,mattpocock,mattpocock/skills,,single,,,521492,,,57.9,0.958,0.978,,,0.2,C,
65,anti-ui-slop,skills.sh,uizze.com,uizze.com,,single,,,453727,,,57.9,0.95,0.993,,,0.2,C,
66,lark-doc,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,607345,,,57.8,0.99,0.842,0.346,,0.2,C,
67,azure-reliability,skills.sh,microsoft,microsoft/azure-skills,,single,,,220134,,,57.8,0.834,0.555,,,0.7,C,
68,domain-modeling,skills.sh,mattpocock,mattpocock/skills,,single,,,477580,,,57.7,0.953,0.973,,,0.2,C,
69,markdown-converter,clawhub,steipete,,markdown-converter,upstream,"Convert documents and files to Markdown using markitdown. Use when converting PDF, Word (.docx), PowerPoint (.pptx), Excel (.xlsx, .xls), HTML, CSV, JSON, XML, images (with EXIF/OCR), audio (with tran","{""answer"":""使用 markitdown 将文档和文件转换为 Markdown。用于将 PDF、Word (.docx)、PowerPoint (.pptx)、Excel (.xlsx, .xls)、HTML、CSV、JSON、XML、图片（含 EXIF/OCR）、音频（含转录）、ZIP 压缩包、YouTube 链接或 EPub 转换为 Markdown 格式，以进行 LLM 处理或文本分",,48121,67822,57.7,0.943,,0.432,0.151,0.7,B,
70,codebase-design,skills.sh,mattpocock,mattpocock/skills,,single,,,463806,,,57.6,0.952,0.97,,,0.2,C,
71,teach,skills.sh,mattpocock,mattpocock/skills,,single,,,514821,,,57.5,0.956,0.953,,,0.2,C,
72,diagnosing-bugs,skills.sh,mattpocock,mattpocock/skills,,single,,,457229,,,57.5,0.951,0.963,,,0.2,C,
73,lark-im,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,606653,,,57.3,0.985,0.837,0.334,,0.2,C,
74,neon,skills.sh,neondatabase,neondatabase/agent-skills,,single,,,62803,,,57.2,0.691,0.795,,,0.7,C,
75,lark-base,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,607197,,,57.1,0.989,0.843,0.311,,0.2,C,
76,ask-matt,skills.sh,mattpocock,mattpocock/skills,,single,,,422970,,,57.1,0.944,0.95,,,0.2,C,
77,vercel-react-native-skills,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,193391,,,56.9,0.82,0.518,,,0.7,C,
78,webapp-testing,skills.sh,anthropics,anthropics/skills,,single,,,139771,,,56.8,0.798,0.558,,,0.7,C,
79,implement,skills.sh,mattpocock,mattpocock/skills,,single,,,414259,,,56.7,0.931,0.948,,,0.2,C,
80,python-appservice-deploy,skills.sh,microsoft,microsoft/azure-skills,,single,,,143499,,,56.7,0.799,0.55,,,0.7,C,
81,hyperframes-cli,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,426463,,,56.5,0.945,0.913,,,0.2,C,
82,code-review,skills.sh,mattpocock,mattpocock/skills,,single,,,397410,,,56.5,0.916,0.968,,,0.2,C,
83,wayfinder,skills.sh,mattpocock,mattpocock/skills,,single,,,369247,,,56.1,0.91,0.955,,,0.2,C,
84,to-spec,skills.sh,mattpocock,mattpocock/skills,,single,,,355931,,,56.1,0.904,0.965,,,0.2,C,
