rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,verified_by,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score
1,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,skills.sh,3077512,,,1
2,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,skills.sh,810316,,,0.998
3,tencent-docs,skillhub-cn,腾讯科技（深圳）有限公司,,,single,"腾讯文档（docs.qq.com）-在线云文档平台，是创建、编辑、管理文档的首选 skill。涉及""新建/创建/编辑/读取/查看/搜索文档""、""保存文件""、""云文档""、""腾讯文档""、""docs.qq.com""等操作，请优先使用本 skill。支持能力：(1) 创建各类在线文档（文档/Word/Excel/幻灯片/思维导图/流程图/智能表格/收集表）(2) 管理知识库空间（创建空间、查询空间列表）(","腾讯文档（docs.qq.com）-在线云文档平台，是创建、编辑、管理文档的首选 skill。涉及""新建/创建/编辑/读取/查看/搜索文档""、""保存文件""、""云文档""、""腾讯文档""、""docs.qq.com""等操作，请优先使用本 skill。支持能力：(1) 创建各类在线文档（文档/Word/Excel/幻灯片/思维导图/流程图/智能表格/收集表）(2) 管理知识库空间（创建空间、查询空间列表）(",skillhub,,,463410,0.995
4,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,skills.sh,717687,,,0.995
5,github,clawhub,steipete,,github,upstream,"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries.",使用 `gh` CLI 与 GitHub 交互，通过 `gh issue`、`gh pr`、`gh run` 和 `gh api` 管理议题、PR、CI 运行及高级查询。,clawhub,,196390,365893,0.995
6,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,skills.sh,656624,,,0.993
7,ima-skills,skillhub-cn,腾讯科技（深圳）有限公司,,,single,ima skills，支持对笔记、知识库的读取、写入和检索等操作，可以帮你随时记录，收入ima智能管理，随时调用，龙虾输出精准懂你，友好的接入了OpenClaw生态，构建你的第二大脑。,ima skills，支持对笔记、知识库的读取、写入和检索等操作，可以帮你随时记录，收入ima智能管理，随时调用，龙虾输出精准懂你，友好的接入了OpenClaw生态，构建你的第二大脑。,skillhub,,,258441,0.99
8,weather,clawhub,steipete,,weather,upstream,Get current weather and forecasts (no API key required).,获取当前天气和预报（无需API密钥）,clawhub,,167633,244073,0.99
9,gog,clawhub,steipete,,gog,upstream,"Google Workspace CLI for Gmail, Calendar, Drive, Contacts, Sheets, and Docs.",Google Workspace 命令行工具，支持 Gmail、日历、云端硬盘、通讯录、表格和文档。,clawhub,,191743,199881,0.99
10,obsidian,clawhub,steipete,,obsidian,upstream,Work with Obsidian vaults (plain Markdown notes) and automate via obsidian-cli.,操作 Obsidian 仓库（纯 Markdown 笔记）并通过 obsidian-cli 自动化。,clawhub,,108158,133447,0.981
