rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,verified_by,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score
1,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,skills.sh,3093773,,,1
2,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,skills.sh,814337,,,0.997
3,tencent-docs,skillhub-cn,腾讯科技（深圳）有限公司,,,single,"腾讯文档（docs.qq.com）-在线云文档平台，是创建、编辑、管理文档的首选 skill。涉及""新建/创建/编辑/读取/查看/搜索文档""、""保存文件""、""云文档""、""腾讯文档""、""docs.qq.com""等操作，请优先使用本 skill。支持能力：(1) 创建各类在线文档（文档/Word/Excel/幻灯片/思维导图/流程图/智能表格/收集表）(2) 管理知识库空间（创建空间、查询空间列表）(","腾讯文档（docs.qq.com）-在线云文档平台，是创建、编辑、管理文档的首选 skill。涉及""新建/创建/编辑/读取/查看/搜索文档""、""保存文件""、""云文档""、""腾讯文档""、""docs.qq.com""等操作，请优先使用本 skill。支持能力：(1) 创建各类在线文档（文档/Word/Excel/幻灯片/思维导图/流程图/智能表格/收集表）(2) 管理知识库空间（创建空间、查询空间列表）(",skillhub,,,488562,0.995
4,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,skills.sh,723944,,,0.995
5,github,clawhub,steipete,,github,upstream,"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries.",使用 `gh` CLI 与 GitHub 交互，通过 `gh issue`、`gh pr`、`gh run` 和 `gh api` 管理议题、PR、CI 运行及高级查询。,clawhub,,196482,366178,0.995
6,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,skills.sh,660014,,,0.993
7,ima-skills,skillhub-cn,腾讯科技（深圳）有限公司,,,single,ima skills，支持对笔记、知识库的读取、写入和检索等操作，可以帮你随时记录，收入ima智能管理，随时调用，龙虾输出精准懂你，友好的接入了OpenClaw生态，构建你的第二大脑。,ima skills，支持对笔记、知识库的读取、写入和检索等操作，可以帮你随时记录，收入ima智能管理，随时调用，龙虾输出精准懂你，友好的接入了OpenClaw生态，构建你的第二大脑。,skillhub,,,262684,0.99
8,weather,clawhub,steipete,,weather,upstream,Get current weather and forecasts (no API key required).,获取当前天气和预报（无需API密钥）,clawhub,,167716,244237,0.99
9,gog,clawhub,steipete,,gog,upstream,"Google Workspace CLI for Gmail, Calendar, Drive, Contacts, Sheets, and Docs.",Google Workspace 命令行工具，支持 Gmail、日历、云端硬盘、通讯录、表格和文档。,clawhub,,191817,199934,0.99
10,obsidian,clawhub,steipete,,obsidian,upstream,Work with Obsidian vaults (plain Markdown notes) and automate via obsidian-cli.,操作 Obsidian 仓库（纯 Markdown 笔记）并通过 obsidian-cli 自动化。,clawhub,,108237,137665,0.981
11,nano-pdf,clawhub,steipete,,nano-pdf,upstream,Edit PDFs with natural-language instructions using the nano-pdf CLI.,使用nano-pdf CLI通过自然语言指令编辑PDF,clawhub,,120562,128912,0.981
12,nano-banana-pro,clawhub,steipete,,nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,clawhub,,106346,130141,0.98
13,notion,clawhub,steipete,,notion,upstream,"Notion API for creating and managing pages, databases, and blocks.",用于创建和管理页面、数据库及块的 Notion API。,clawhub,,101582,106294,0.974
14,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,skills.sh,572520,,,0.973
15,microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,548765,,,0.972
16,azure-diagnostics,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,542819,,,0.971
17,azure-prepare,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,542247,,,0.97
18,openai-whisper,clawhub,steipete,,openai-whisper,upstream,Local speech-to-text with the Whisper CLI (no API key).,使用 Whisper CLI 进行本地语音转文字（无需 API 密钥）,clawhub,,87473,105812,0.969
19,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,542217,,,0.969
20,sonoscli,clawhub,steipete,,sonoscli,upstream,Control Sonos speakers (discover/status/play/volume/group).,控制Sonos音箱（发现/状态/播放/音量/分组）,clawhub,,88434,95855,0.969
21,azure-deploy,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,542179,,,0.969
22,azure-validate,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,541679,,,0.968
