rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
1,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,814337,,,79.1,0.997,0.835,0.906,,0.7,C,
2,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,723944,,,77,0.995,0.935,0.731,,0.7,C,
3,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,3093773,,,76.2,1,0.982,0.648,,0.7,C,
4,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,660014,,,70.7,0.993,0.832,0.497,,0.7,C,
5,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,361427,,,68.1,0.91,0.532,0.716,,0.7,C,
6,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,956585,,,68,0.999,0.98,0.741,,0.2,C,
7,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,single,,,542217,,,67.8,0.969,0.778,0.428,,0.7,C,
8,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,single,,,541139,,,67.6,0.967,0.765,0.432,,0.7,C,
9,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,572520,,,66.3,0.973,0.833,0.308,,0.7,C,
10,azure-aigateway,skills.sh,microsoft,microsoft/azure-skills,,single,,,540339,,,64.9,0.963,0.77,,,0.7,C,
11,azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,single,,,540264,,,64.9,0.962,0.768,,,0.7,C,
12,azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,single,,,529995,,,64.9,0.961,0.773,,,0.7,C,
13,azure-cloud-migrate,skills.sh,microsoft,microsoft/azure-skills,,single,,,473983,,,64.9,0.955,0.783,,,0.7,C,
14,microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,single,,,548765,,,64.8,0.972,0.793,0.264,,0.7,C,
15,appinsights-instrumentation,skills.sh,microsoft,microsoft/azure-skills,,single,,,540629,,,64.6,0.966,0.763,0.286,,0.7,C,
16,azure-compute,skills.sh,microsoft,microsoft/azure-skills,,single,,,484048,,,64.6,0.956,0.758,,,0.7,C,
17,prisma-database-setup,skills.sh,prisma,prisma/skills,,single,,,233852,,,64.1,0.853,0.933,,,0.7,C,
18,prisma-client-api,skills.sh,prisma,prisma/skills,,single,,,233254,,,64,0.852,0.932,,,0.7,C,
19,prisma-cli,skills.sh,prisma,prisma/skills,,single,,,231146,,,64,0.852,0.93,,,0.7,C,
20,prisma-postgres,skills.sh,prisma,prisma/skills,,single,,,227351,,,63.9,0.848,0.928,,,0.7,C,
21,api-gateway,clawhub,,,api-gateway,upstream,"Call third-party APIs through the Maton gateway, which injects the credential for an app the user has already connected. Use this skill when the user names a connected app and a concrete action in it ",通过 Maton 管理的 API 路由连接外部服务；仅在用户指定目标应用、账户和任务后使用；以读取/列...,,85968,116947,63.9,0.971,,0.615,0.933,0.2,B,
22,azure-quotas,skills.sh,microsoft,microsoft/azure-skills,,single,,,410295,,,63.8,0.931,0.757,,,0.7,C,
23,prisma-driver-adapter-implementation,skills.sh,prisma,prisma/skills,,single,,,222969,,,63.7,0.844,0.923,,,0.7,C,
24,prisma-upgrade-v7,skills.sh,prisma,prisma/skills,,single,,,222836,,,63.7,0.843,0.925,,,0.7,C,
25,prisma-postgres-setup,skills.sh,prisma,prisma/skills,,single,,,221766,,,63.7,0.842,0.927,,,0.7,C,
26,prisma-compute,skills.sh,prisma,prisma/skills,,single,,,218222,,,63.6,0.841,0.922,,,0.7,C,
27,remotion-best-practices,skills.sh,remotion-dev,remotion-dev/skills,,single,,,493397,,,63.5,0.958,0.68,,,0.7,C,
28,prisma-mongodb-upgrade,skills.sh,prisma,prisma/skills,,single,,,216968,,,63.5,0.84,0.92,,,0.7,C,
29,azure-upgrade,skills.sh,microsoft,microsoft/azure-skills,,single,,,402448,,,63.4,0.922,0.753,,,0.7,C,
30,azure-kubernetes,skills.sh,microsoft,microsoft/azure-skills,,single,,,369772,,,63.4,0.914,0.767,,,0.7,C,
31,azure-enterprise-infra-planner,skills.sh,microsoft,microsoft/azure-skills,,single,,,376591,,,63.3,0.916,0.755,,,0.7,C,
32,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,,207792,385484,63.3,0.996,,0.921,0.436,0.2,B,
33,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,814999,,,63,0.998,0.977,0.498,,0.2,C,
34,azure-cost,skills.sh,microsoft,microsoft/azure-skills,,single,,,345012,,,63,0.894,0.777,,,0.7,C,
35,supabase-postgres-best-practices,skills.sh,supabase,supabase/agent-skills,,single,,,367291,,,62.8,0.913,0.727,,,0.7,C,
36,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,785530,,,62.6,0.997,0.975,0.478,,0.2,C,
37,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,,476007,1132437,62.6,0.999,,0.624,0.773,0.2,B,
38,handoff,skills.sh,mattpocock,mattpocock/skills,,single,,,663034,,,62.2,0.994,0.962,0.471,,0.2,C,
39,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,698285,,,62.1,0.994,0.963,0.466,,0.2,C,
40,tdd,skills.sh,mattpocock,mattpocock/skills,,single,,,758912,,,62,0.996,0.972,0.454,,0.2,C,
41,triage,skills.sh,mattpocock,mattpocock/skills,,single,,,657878,,,62,0.992,0.955,0.469,,0.2,C,
42,airunway-aks-setup,skills.sh,microsoft,microsoft/azure-skills,,single,,,289056,,,62,0.874,0.752,,,0.7,C,
43,prototype,skills.sh,mattpocock,mattpocock/skills,,single,,,647034,,,61.8,0.992,0.96,0.456,,0.2,C,
44,azure-diagnostics,skills.sh,microsoft,microsoft/azure-skills,,single,,,542819,,,61.8,0.971,0.787,0.12,,0.7,C,
