skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered
find-skills,"""find-skills""",0,0,0,0,161,26,false,2,2050,false
self-improving-agent,"""self-improving-agent""",0,0,1,1,1,45,false,3,1569,true
grill-me,"""grill-me""",1,4,11,14,27,100,true,5,10168,true
skill-vetter,"""skill-vetter""",0,0,0,0,1,0,false,1,0,false
grill-with-docs,"""grill-with-docs""",0,0,0,0,8,15,false,1,408,false
self-improving,"""self-improving""",4,7,105,114,3,100,true,5,4641,true
frontend-design,"""frontend-design""",1,4,4,32,50,81,false,5,11329,true
ontology,"""ontology"" skill",1,1,0,0,11,100,true,5,1317,true
improve-codebase-architecture,"""improve-codebase-architecture""",0,0,0,0,2,5,false,1,12,false
github,"""github"" skill",6,182,68,89,778,100,true,5,306,true
tdd,"""tdd"" skill",0,2,0,1,45,99,true,5,2849,true
gog,"""gog"" skill",0,2,0,1,0,15,false,1,66,true
agent-browser,"""agent-browser""",1,1,4,4,27,100,true,5,3085,true
skillscan,"""skillscan"" skill",0,0,0,0,1,1,false,1,0,false
setup-matt-pocock-skills,"""setup-matt-pocock-skills""",0,0,0,0,11,1,false,1,161,false
proactive-agent,"""proactive-agent""",0,0,1,2,0,33,false,2,1199,true
handoff,"""handoff"" skill",1,3,2,4,138,100,true,5,516,true
weather,"""weather"" skill",0,15,0,8,9,100,true,5,4015,true
triage,"""triage"" skill",0,2,4,5,136,100,true,5,1434,true
multi-search-engine,"""multi-search-engine""",0,0,0,0,0,1,false,1,20,false
prototype,"""prototype"" skill",0,11,0,4,34,100,true,5,1681,true
agent-browser-clawdbot,"""agent-browser-clawdbot""",0,0,0,0,0,0,false,1,0,false
vercel-react-best-practices,"""vercel-react-best-practices""",0,0,0,0,1,3,false,1,0,false
admapix,"""admapix"" skill",0,0,0,0,0,0,false,1,0,false
lark-doc,"""lark-doc""",0,0,0,0,3,1,false,1,0,false
humanizer,"""humanizer"" skill",0,0,1,1,24,72,false,4,11662,true
lark-base,"""lark-base""",0,0,0,0,0,3,false,1,615,false
nano-pdf,"""nano-pdf""",0,0,0,0,0,0,false,1,0,false
lark-drive,"""lark-drive""",0,0,0,0,1,1,false,1,0,false
obsidian,"""obsidian"" skill",0,11,2,3,25,100,true,5,638,true
lark-approval,"""lark-approval""",0,0,0,0,0,1,false,2,612,false
nano-banana-pro,"""nano-banana-pro""",0,0,3,4,1,36,false,2,1133,true
lark-shared,"""lark-shared""",0,0,0,0,0,1,false,1,0,false
openclaw-tavily-search,"""openclaw-tavily-search""",0,0,0,0,0,0,false,1,0,false
lark-im,"""lark-im""",0,0,0,0,1,1,false,1,0,false
notion,"""notion"" skill",0,21,0,0,19,100,true,5,1734,true
lark-calendar,"""lark-calendar""",0,0,0,0,1,1,false,1,0,false
pollyreach,"""pollyreach"" skill",0,0,0,0,0,0,false,1,0,false
lark-contact,"""lark-contact""",0,0,0,0,0,0,false,1,0,false
skill-creator,"""skill-creator""",0,0,1,3,118,74,false,4,4824,true
lark-sheets,"""lark-sheets""",0,0,0,0,1,0,false,1,0,false
auto-updater,"""auto-updater""",0,0,0,8,1,1,false,1,5,true
lark-minutes,"""lark-minutes""",0,0,0,0,0,0,false,1,0,false
baidu-search,"""baidu-search""",0,0,0,0,0,0,false,1,0,false
lark-wiki,"""lark-wiki""",0,0,0,0,0,1,false,1,19,false
word-docx,"""word-docx""",0,0,1,2,2,2,false,1,3,true
lark-event,"""lark-event""",0,0,0,0,0,0,false,1,0,false
sonoscli,"""sonoscli"" skill",0,0,0,0,0,0,false,1,0,false
lark-attendance,"""lark-attendance""",0,0,0,0,0,0,false,1,0,false
openai-whisper,"""openai-whisper""",0,1,1,2,0,4,false,1,112,true
lark-whiteboard,"""lark-whiteboard""",0,0,0,0,0,,false,,,false
evolver,"""evolver"" skill",0,0,0,0,0,,false,,,false
lark-task,"""lark-task""",0,0,0,0,0,,false,,,false
api-gateway,"""api-gateway""",0,5,22,43,1,,false,,,true
lark-slides,"""lark-slides""",0,0,0,0,0,,false,,,false
prismfy-search,"""prismfy-search""",0,0,0,0,0,,false,,,false
lark-openapi-explorer,"""lark-openapi-explorer""",0,0,0,0,0,,false,,,false
automation-workflows,"""automation-workflows""",0,1,9,17,0,,false,,,true
lark-mail,"""lark-mail""",0,0,0,0,0,,false,,,false
excel-xlsx,"""excel-xlsx""",0,0,0,0,0,,false,,,false
lark-vc,"""lark-vc""",0,0,0,0,0,,false,,,false
feishu-evolver-wrapper,"""feishu-evolver-wrapper""",0,0,0,0,0,,false,,,false
lark-skill-maker,"""lark-skill-maker""",0,0,0,0,0,,false,,,false
browser-use,"""browser-use""",1,4,22,28,9,,false,,,true
lark-workflow-meeting-summary,"""lark-workflow-meeting-summary""",0,0,0,0,0,,false,,,false
agent-phone-call,"""agent-phone-call""",0,0,0,0,0,,false,,,false
lark-workflow-standup-report,"""lark-workflow-standup-report""",0,0,0,0,0,,false,,,false
free-ride,"""free-ride""",0,3,10,232,0,,false,,,true
lark-okr,"""lark-okr""",0,0,0,0,0,,false,,,false
mcporter,"""mcporter"" skill",0,0,0,0,1,,false,,,false
lark-markdown,"""lark-markdown""",0,0,0,0,1,,false,,,false
elite-longterm-memory,"""elite-longterm-memory""",0,0,0,0,0,,false,,,false
web-design-guidelines,"""web-design-guidelines""",0,0,0,0,2,,false,,,false
desktop-control,"""desktop-control""",0,1,0,3,0,,false,,,true
lark-vc-agent,"""lark-vc-agent""",0,0,0,0,0,,false,,,false
brave-search,"""brave-search""",0,0,85,89,0,,false,,,true
grilling,"""grilling"" skill",0,0,2,5,18,,false,,,true
stock-analysis,"""stock-analysis""",0,1,57,356,2,,false,,,true
anti-ui-slop,"""anti-ui-slop""",0,0,0,0,0,,false,,,false
find-skills-skill,"""find-skills-skill""",0,0,0,0,160,,false,,,false
microsoft-foundry,"""microsoft-foundry""",0,0,54,59,0,,false,,,true
video-frames,"""video-frames""",0,2,2,8,2,,false,,,true
teach,"""teach"" skill",1,25,7,62,151,,false,,,true
youtube-watcher,"""youtube-watcher""",0,0,0,1,0,,false,,,true
azure-diagnostics,"""azure-diagnostics""",0,0,0,0,0,,false,,,false
powerpoint-pptx,"""powerpoint-pptx""",0,0,0,0,0,,false,,,false
azure-prepare,"""azure-prepare""",0,0,0,0,0,,false,,,false
slack,"""slack"" skill",1,14,0,7,15,,false,,,true
azure-ai,"""azure-ai""",0,0,44,46,5,,false,,,true
himalaya,"""himalaya"" skill",0,0,0,0,3,,false,,,false
azure-deploy,"""azure-deploy""",0,0,0,0,0,,false,,,false
imap-smtp-email,"""imap-smtp-email""",0,0,0,0,0,,false,,,false
azure-validate,"""azure-validate""",0,0,0,0,0,,false,,,false
news-summary,"""news-summary""",0,1,128,139,1,,false,,,true
azure-storage,"""azure-storage""",0,1,3,7,3,,false,,,true
xiucheng-self-improving-agent,"""xiucheng-self-improving-agent""",0,0,0,0,0,,false,,,false
entra-app-registration,"""entra-app-registration""",0,0,0,0,0,,false,,,false
atxp,"""atxp"" skill",0,0,0,0,0,,false,,,false
appinsights-instrumentation,"""appinsights-instrumentation""",0,0,0,0,1,,false,,,false
markdown-converter,"""markdown-converter""",1,1,1,1,0,,false,,,true
