skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered
find-skills,"""find-skills""",2,7,0,1,133,15,false,1,1861,true
self-improving-agent,"""self-improving-agent""",0,0,3,3,5,49,false,3,2609,true
grill-me,"""grill-me""",5,6,4,10,17,100,true,5,2635,true
skill-vetter,"""skill-vetter""",0,0,0,0,1,0,false,1,0,false
grill-with-docs,"""grill-with-docs""",0,0,1,3,10,22,false,2,120,true
self-improving,"""self-improving""",7,21,544,755,12,100,true,5,5699,true
improve-codebase-architecture,"""improve-codebase-architecture""",0,0,0,0,4,7,false,1,50,false
ontology,"""ontology"" skill",0,0,1,1,5,100,true,5,1730,true
tdd,"""tdd"" skill",4,5,2,3,60,100,true,5,1913,true
github,"""github"" skill",0,204,32,79,905,100,true,5,335,true
frontend-design,"""frontend-design""",0,3,2,50,62,53,false,3,1993,true
gog,"""gog"" skill",0,2,0,0,8,0,false,1,0,true
agent-browser,"""agent-browser""",0,2,6,8,28,100,true,5,1723,true
skillscan,"""skillscan"" skill",0,0,0,0,1,0,false,1,0,false
setup-matt-pocock-skills,"""setup-matt-pocock-skills""",0,0,0,0,11,0,false,1,0,false
proactive-agent,"""proactive-agent""",0,0,1,1,5,20,false,2,350,true
handoff,"""handoff"" skill",0,3,2,3,162,20,false,2,36,true
weather,"""weather"" skill",5,22,2,12,8,100,true,5,1779,true
triage,"""triage"" skill",0,3,1,2,155,100,true,5,2957,true
multi-search-engine,"""multi-search-engine""",0,0,1,1,1,0,false,1,0,true
prototype,"""prototype"" skill",1,9,0,3,43,20,false,2,18,true
agent-browser-clawdbot,"""agent-browser-clawdbot""",0,0,0,0,0,0,false,1,0,false
vercel-react-best-practices,"""vercel-react-best-practices""",0,0,0,0,3,2,false,1,7,false
admapix,"""admapix"" skill",0,0,0,0,0,0,false,1,0,false
grilling,"""grilling"" skill",0,0,1,4,30,20,false,2,18,true
humanizer,"""humanizer"" skill",0,2,5,5,33,67,false,4,4856,true
lark-doc,"""lark-doc""",0,0,0,0,2,0,false,1,0,false
nano-pdf,"""nano-pdf""",0,0,0,0,0,0,false,1,0,false
lark-base,"""lark-base""",0,0,0,0,1,1,false,1,5,false
obsidian,"""obsidian"" skill",0,4,1,3,25,100,true,5,1440,true
lark-drive,"""lark-drive""",0,0,0,0,0,0,false,1,0,false
nano-banana-pro,"""nano-banana-pro""",0,0,9,14,0,20,false,2,167,true
lark-shared,"""lark-shared""",0,0,0,1,0,0,false,1,0,true
openclaw-tavily-search,"""openclaw-tavily-search""",0,0,0,0,0,0,false,1,0,false
lark-approval,"""lark-approval""",0,0,0,0,0,0,false,1,0,false
notion,"""notion"" skill",0,22,0,2,21,100,true,5,1359,true
lark-im,"""lark-im""",0,0,0,0,0,0,false,1,0,false
pollyreach,"""pollyreach"" skill",0,0,0,0,0,0,false,1,0,false
lark-calendar,"""lark-calendar""",0,0,0,0,0,0,false,1,0,false
skill-creator,"""skill-creator""",0,1,0,1,75,48,false,3,3301,true
lark-sheets,"""lark-sheets""",0,0,0,0,0,0,false,1,0,false
auto-updater,"""auto-updater""",0,0,8,11,0,2,false,1,293,true
lark-wiki,"""lark-wiki""",0,0,0,0,0,0,false,1,0,false
baidu-search,"""baidu-search""",0,0,0,0,0,0,false,1,0,false
lark-contact,"""lark-contact""",0,0,0,0,0,0,false,1,0,false
word-docx,"""word-docx""",0,0,1,1,0,1,false,1,1,true
lark-minutes,"""lark-minutes""",0,0,0,0,0,0,false,1,0,false
sonoscli,"""sonoscli"" skill",0,0,0,0,0,0,false,1,0,false
lark-event,"""lark-event""",0,0,0,0,0,0,false,1,0,false
evolver,"""evolver"" skill",0,0,0,0,1,4,false,1,243,false
lark-slides,"""lark-slides""",0,0,0,0,0,,false,,,false
openai-whisper,"""openai-whisper""",0,0,2,4,0,,false,,,true
lark-mail,"""lark-mail""",0,0,0,0,0,,false,,,false
api-gateway,"""api-gateway""",0,3,52,76,3,,false,,,true
lark-task,"""lark-task""",0,0,0,0,0,,false,,,false
