skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered
find-skills,"""find-skills""",0,0,0,1,136,23,false,2,2321,true
self-improving-agent,"""self-improving-agent""",0,0,1,1,3,55,false,3,3460,true
grill-me,"""grill-me""",2,3,6,15,18,100,true,5,2448,true
skill-vetter,"""skill-vetter""",0,0,0,0,2,0,false,1,0,false
grill-with-docs,"""grill-with-docs""",0,0,1,3,12,18,false,1,270,true
self-improving,"""self-improving""",10,26,323,860,10,100,true,5,5716,true
improve-codebase-architecture,"""improve-codebase-architecture""",0,0,0,0,5,5,false,1,48,false
ontology,"""ontology"" skill",0,0,1,1,4,100,true,5,1827,true
tdd,"""tdd"" skill",3,5,0,2,49,100,true,5,3261,true
github,"""github"" skill",0,213,32,73,864,100,true,5,479,true
frontend-design,"""frontend-design""",0,3,3,39,56,54,false,3,2477,true
gog,"""gog"" skill",0,2,0,0,6,15,false,1,15,true
agent-browser,"""agent-browser""",0,1,7,9,34,100,true,5,3393,true
skillscan,"""skillscan"" skill",0,0,0,0,1,0,false,1,0,false
setup-matt-pocock-skills,"""setup-matt-pocock-skills""",0,0,0,0,17,2,false,1,26,false
proactive-agent,"""proactive-agent""",0,0,1,1,3,26,false,2,362,true
handoff,"""handoff"" skill",0,5,2,4,161,100,true,5,338,true
weather,"""weather"" skill",2,24,2,12,5,100,true,5,1909,true
triage,"""triage"" skill",1,2,0,1,141,100,true,5,1587,true
multi-search-engine,"""multi-search-engine""",0,0,2,2,4,2,false,1,11,true
prototype,"""prototype"" skill",0,10,0,3,34,100,true,5,931,true
agent-browser-clawdbot,"""agent-browser-clawdbot""",0,0,0,0,0,0,false,1,0,false
vercel-react-best-practices,"""vercel-react-best-practices""",0,0,0,0,0,4,false,1,194,false
admapix,"""admapix"" skill",0,0,0,0,0,0,false,1,0,false
grilling,"""grilling"" skill",0,0,1,2,28,46,false,3,1113,true
humanizer,"""humanizer"" skill",0,1,3,3,35,59,false,3,2218,true
lark-doc,"""lark-doc""",0,0,0,0,1,1,false,1,5,false
nano-pdf,"""nano-pdf""",0,0,0,0,0,0,false,1,0,false
lark-base,"""lark-base""",0,0,0,0,0,0,false,1,0,false
obsidian,"""obsidian"" skill",0,3,1,2,27,100,true,5,1155,true
lark-drive,"""lark-drive""",0,0,0,0,0,0,false,1,0,false
nano-banana-pro,"""nano-banana-pro""",0,0,10,15,0,28,false,2,454,true
lark-shared,"""lark-shared""",0,0,0,0,0,0,false,1,0,false
openclaw-tavily-search,"""openclaw-tavily-search""",0,0,0,0,0,0,false,1,0,false
lark-approval,"""lark-approval""",0,0,0,0,0,0,false,1,0,false
notion,"""notion"" skill",0,26,0,6,20,100,true,5,2958,true
lark-im,"""lark-im""",0,0,0,0,0,0,false,1,0,false
pollyreach,"""pollyreach"" skill",0,0,0,0,0,0,false,1,0,false
lark-calendar,"""lark-calendar""",0,0,0,0,0,0,false,1,0,false
skill-creator,"""skill-creator""",0,0,0,1,84,71,false,4,3777,true
lark-sheets,"""lark-sheets""",0,0,0,0,0,0,false,1,0,false
auto-updater,"""auto-updater""",0,0,8,8,0,2,false,1,0,true
lark-wiki,"""lark-wiki""",0,0,0,0,0,0,false,1,0,false
baidu-search,"""baidu-search""",0,0,0,0,0,1,false,1,0,false
lark-contact,"""lark-contact""",0,0,0,0,0,0,false,1,0,false
word-docx,"""word-docx""",0,0,0,0,0,0,false,1,0,false
lark-minutes,"""lark-minutes""",0,0,0,0,0,1,false,1,0,false
sonoscli,"""sonoscli"" skill",0,0,0,0,0,0,false,1,0,false
lark-slides,"""lark-slides""",0,0,0,0,0,0,false,1,0,false
evolver,"""evolver"" skill",0,0,0,0,3,4,false,1,234,false
lark-event,"""lark-event""",0,0,0,0,0,,false,,,false
openai-whisper,"""openai-whisper""",0,0,2,6,0,,false,,,true
lark-mail,"""lark-mail""",0,0,0,0,0,,false,,,false
api-gateway,"""api-gateway""",0,3,33,80,1,,false,,,true
lark-task,"""lark-task""",0,0,0,0,0,,false,,,false
prismfy-search,"""prismfy-search""",0,0,0,0,0,,false,,,false
lark-whiteboard,"""lark-whiteboard""",0,0,0,0,0,,false,,,false
automation-workflows,"""automation-workflows""",0,1,27,36,1,,false,,,true
lark-attendance,"""lark-attendance""",0,0,0,0,0,,false,,,false
excel-xlsx,"""excel-xlsx""",0,0,2,3,0,,false,,,true
lark-openapi-explorer,"""lark-openapi-explorer""",0,0,0,0,0,,false,,,false
feishu-evolver-wrapper,"""feishu-evolver-wrapper""",0,0,0,0,0,,false,,,false
lark-vc,"""lark-vc""",0,0,0,0,0,,false,,,false
browser-use,"""browser-use""",2,6,12,17,1,,false,,,true
lark-skill-maker,"""lark-skill-maker""",0,0,0,0,0,,false,,,false
agent-phone-call,"""agent-phone-call""",0,0,0,0,0,,false,,,false
lark-workflow-meeting-summary,"""lark-workflow-meeting-summary""",0,0,0,0,0,,false,,,false
free-ride,"""free-ride""",0,2,0,150,0,,false,,,true
lark-workflow-standup-report,"""lark-workflow-standup-report""",0,0,0,0,0,,false,,,false
mcporter,"""mcporter"" skill",0,0,0,0,4,,false,,,false
lark-okr,"""lark-okr""",0,0,0,0,0,,false,,,false
elite-longterm-memory,"""elite-longterm-memory""",0,0,0,0,0,,false,,,false
lark-markdown,"""lark-markdown""",0,0,0,0,0,,false,,,false
desktop-control,"""desktop-control""",1,1,2,4,4,,false,,,true
teach,"""teach"" skill",0,30,5,66,128,,false,,,true
brave-search,"""brave-search""",0,5,13,20,2,,false,,,true
lark-vc-agent,"""lark-vc-agent""",0,0,0,0,0,,false,,,false
find-skills-skill,"""find-skills-skill""",0,0,0,0,136,,false,,,false
web-design-guidelines,"""web-design-guidelines""",0,0,0,0,6,,false,,,false
stock-analysis,"""stock-analysis""",0,0,259,282,1,,false,,,true
domain-modeling,"""domain-modeling""",0,0,1,1,10,,false,,,true
video-frames,"""video-frames""",0,4,3,6,0,,false,,,true
codebase-design,"""codebase-design""",0,0,1,1,5,,false,,,true
powerpoint-pptx,"""powerpoint-pptx""",0,0,0,0,0,,false,,,false
diagnosing-bugs,"""diagnosing-bugs""",0,0,0,0,5,,false,,,false
youtube-watcher,"""youtube-watcher""",0,0,0,3,0,,false,,,true
lark-apps,"""lark-apps""",0,0,0,0,1,,false,,,false
