rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,trending_rank_skillssh,weekly_recent,weekly_prev,growth_pct,data_source
1,ai-video-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,174071,1,158346,14114,,skills.sh-trending
2,ai-image-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,173938,2,158213,14124,,skills.sh-trending
3,ai-avatar-video,skills.sh,skills-101,skills-101/superpowers,,single,,,173865,3,158150,14114,,skills.sh-trending
4,twitter-automation,skills.sh,skills-101,skills-101/superpowers,,single,,,173764,4,158049,14114,,skills.sh-trending
5,anti-ui-slop,skills.sh,uizze.com,uizze.com,,single,,,336509,5,119426,106826,11.8,skills.sh-trending
6,video-edit,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,35945,6,30348,0,,skills.sh-trending
7,ai-music,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,35784,7,30205,0,,skills.sh-trending
8,image-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,36118,8,30420,0,,skills.sh-trending
9,ai-video-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,36116,9,30425,0,,skills.sh-trending
10,ai-image-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,36019,10,30291,0,,skills.sh-trending
11,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,2980173,11,93130,96861,-3.9,skills.sh-trending
12,reddit-automation,skills.sh,flowkit-labs,flowkit-labs/skills,,single,,,11228,12,,,,skills.sh-trending
13,ai-research-explore,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,271535,13,50300,32324,55.6,skills.sh-trending
14,paper-context-resolver,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,411286,14,50275,32245,55.9,skills.sh-trending
15,ai-research-reproduction,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,271366,15,50263,32246,55.9,skills.sh-trending
16,analyze-project,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,271439,16,50275,32243,55.9,skills.sh-trending
17,minimal-run-and-audit,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,410521,17,50250,32229,55.9,skills.sh-trending
18,repo-intake-and-plan,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,410596,18,50247,32230,55.9,skills.sh-trending
19,env-and-assets-bootstrap,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,410512,19,50245,32229,55.9,skills.sh-trending
20,explore-code,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,271144,20,50243,32233,55.9,skills.sh-trending
21,safe-debug,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,271061,21,50255,32225,56,skills.sh-trending
22,explore-run,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,271010,22,50237,32222,55.9,skills.sh-trending
23,run-train,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,271019,23,50239,32221,55.9,skills.sh-trending
24,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,876468,24,65802,75922,-13.3,skills.sh-trending
25,grilling,skills.sh,mattpocock,mattpocock/skills,,single,,,459328,25,57496,69023,-16.7,skills.sh-trending
26,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,745549,26,55776,66362,-16,skills.sh-trending
27,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,718883,27,54240,63780,-15,skills.sh-trending
28,handoff,skills.sh,mattpocock,mattpocock/skills,,single,,,603058,28,48859,58162,-16,skills.sh-trending
29,tdd,skills.sh,mattpocock,mattpocock/skills,,single,,,694839,29,52249,63627,-17.9,skills.sh-trending
30,code-review,skills.sh,mattpocock,mattpocock/skills,,single,,,346208,30,50927,61595,-17.3,skills.sh-trending
31,domain-modeling,skills.sh,mattpocock,mattpocock/skills,,single,,,421649,31,52076,60145,-13.4,skills.sh-trending
32,to-spec,skills.sh,mattpocock,mattpocock/skills,,single,,,304861,32,49738,61040,-18.5,skills.sh-trending
33,diagnosing-bugs,skills.sh,mattpocock,mattpocock/skills,,single,,,404206,33,49914,59214,-15.7,skills.sh-trending
34,to-tickets,skills.sh,mattpocock,mattpocock/skills,,single,,,298540,34,47951,57752,-17,skills.sh-trending
35,wayfinder,skills.sh,mattpocock,mattpocock/skills,,single,,,318078,35,48729,60412,-19.3,skills.sh-trending
36,triage,skills.sh,mattpocock,mattpocock/skills,,single,,,599718,36,47409,58240,-18.6,skills.sh-trending
37,codebase-design,skills.sh,mattpocock,mattpocock/skills,,single,,,410134,37,50766,60375,-15.9,skills.sh-trending
