rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
1,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,686729,,,78.8,0.995,0.913,0.84,,0.7,C,
2,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,2980173,,,74.5,1,0.983,0.562,,0.7,C,
3,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,784427,,,73.8,0.998,0.84,0.639,,0.7,C,
4,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,876468,,,69.8,0.999,0.962,0.845,,0.2,C,
5,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,547800,,,67.4,0.971,0.827,0.366,,0.7,C,
6,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,353652,,,65.8,0.907,0.497,0.634,,0.7,C,
7,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,637338,,,65,0.993,0.807,0.232,,0.7,C,
8,remotion-best-practices,skills.sh,remotion-dev,remotion-dev/skills,,single,,,481768,,,64.3,0.955,0.74,,,0.7,C,
9,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,,474657,1107548,64,0.999,,0.641,0.849,0.2,B,
10,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,745549,,,63.9,0.997,0.958,0.557,,0.2,C,
11,azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,single,,,524928,,,63.3,0.959,0.665,,,0.7,C,
12,azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,single,,,514660,,,63.3,0.958,0.672,,,0.7,C,
13,azure-resource-visualizer,skills.sh,microsoft,microsoft/azure-skills,,single,,,524886,,,63.2,0.958,0.662,,,0.7,C,
