skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered,x_raw_7d,x_filtered,judge_model
find-skills,"""find-skills""",0,1,1,1,149,5,false,1,10,true,13,true,typesafe/jev-1.13
self-improving-agent,"""self-improving-agent""",0,0,1,1,2,43,false,3,2674,true,52,true,typesafe/jev-1.13
grill-me,"""grill-me""",5,6,4,13,27,73,false,5,2552,true,91,true,typesafe/jev-1.13
skill-vetter,"""skill-vetter""",0,0,0,0,0,0,false,1,0,false,0,false,
grill-with-docs,"""grill-with-docs""",0,0,1,1,11,15,false,2,518,true,21,true,typesafe/jev-1.13
self-improving,"""self-improving""",1,6,30,149,8,62,true,5,4789,true,100,true,typesafe/jev-1.13
improve-codebase-architecture,"""improve-codebase-architecture""",0,0,0,0,0,2,false,1,1,false,2,true,typesafe/jev-1.13
github,"""github"" skill",0,170,3,80,961,0,true,5,0,true,100,true,typesafe/jev-1.13
tdd,"""tdd"" skill",0,1,3,3,34,48,true,5,479,true,100,true,typesafe/jev-1.13
ontology,"""ontology"" skill",0,1,0,0,3,48,true,5,408,true,100,true,typesafe/jev-1.13
agent-browser,"""agent-browser""",5,6,10,11,29,77,true,5,136,true,100,true,typesafe/jev-1.13
gog,"""gog"" skill",0,0,0,1,1,4,false,1,1,true,12,true,typesafe/jev-1.13
frontend-design,"""frontend-design""",2,3,2,8,55,36,false,4,2090,true,70,true,typesafe/jev-1.13
skillscan,"""skillscan"" skill",0,0,0,0,0,0,false,1,0,false,0,false,
setup-matt-pocock-skills,"""setup-matt-pocock-skills""",0,0,0,0,5,0,false,1,0,false,2,true,typesafe/jev-1.13
proactive-agent,"""proactive-agent""",0,0,0,0,1,37,false,3,137,false,40,true,typesafe/jev-1.13
handoff,"""handoff"" skill",2,6,1,5,168,62,true,5,262,true,100,true,typesafe/jev-1.13
weather,"""weather"" skill",0,13,0,9,7,10,true,5,38,true,100,true,typesafe/jev-1.13
triage,"""triage"" skill",1,7,2,4,160,30,true,5,42,true,100,true,typesafe/jev-1.13
multi-search-engine,"""multi-search-engine""",0,0,0,1,1,0,false,1,0,true,1,true,typesafe/jev-1.13
prototype,"""prototype"" skill",0,10,0,3,39,2,true,5,1,true,100,true,typesafe/jev-1.13
agent-browser-clawdbot,"""agent-browser-clawdbot""",0,0,0,0,0,0,false,1,0,false,0,false,
grilling,"""grilling"" skill",1,2,0,0,31,29,false,3,275,true,43,true,typesafe/jev-1.13
