skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered
find-skills,"""find-skills""",0,0,0,2,96,36,false,2,828,true
self-improving-agent,"""self-improving-agent""",1,1,4,8,0,53,false,3,1280,true
grill-me,"""grill-me""",1,4,5,14,25,100,true,5,3186,true
skill-vetter,"""skill-vetter""",0,0,0,0,2,0,false,1,0,false
frontend-design,"""frontend-design""",0,4,2,38,74,78,false,4,1597,true
self-improving,"""self-improving""",10,19,66,79,1,100,true,5,5879,true
grill-with-docs,"""grill-with-docs""",0,1,1,2,12,23,false,2,652,true
ontology,"""ontology"" skill",0,0,0,0,7,100,true,5,793,false
improve-codebase-architecture,"""improve-codebase-architecture""",0,0,0,1,4,5,false,1,12,true
github,"""github"" skill",0,243,35,79,602,100,true,5,152,true
tdd,"""tdd"" skill",1,3,1,1,24,100,true,5,945,true
gog,"""gog"" skill",0,0,0,0,2,15,false,1,284,false
agent-browser,"""agent-browser""",1,4,18,19,21,100,true,5,948,true
skillscan,"""skillscan"" skill",0,0,0,0,0,0,false,1,0,false
setup-matt-pocock-skills,"""setup-matt-pocock-skills""",0,0,0,1,7,1,false,1,5,true
proactive-agent,"""proactive-agent""",0,1,0,1,1,21,false,2,545,true
vercel-react-best-practices,"""vercel-react-best-practices""",0,0,0,0,2,2,false,1,1,false
weather,"""weather"" skill",0,19,1,11,6,99,true,5,3722,true
handoff,"""handoff"" skill",1,9,0,0,132,100,true,5,417,true
multi-search-engine,"""multi-search-engine""",0,0,0,0,0,0,false,1,0,false
triage,"""triage"" skill",0,5,0,1,124,100,true,5,2428,true
agent-browser-clawdbot,"""agent-browser-clawdbot""",0,0,0,0,0,0,false,1,0,false
prototype,"""prototype"" skill",1,6,1,3,27,100,true,5,1977,true
admapix,"""admapix"" skill",0,0,0,0,0,0,false,1,0,false
lark-doc,"""lark-doc""",0,0,0,0,0,0,false,1,0,false
humanizer,"""humanizer"" skill",0,1,2,4,17,50,false,3,990,true
lark-base,"""lark-base""",0,0,0,0,0,2,false,1,30,false
nano-pdf,"""nano-pdf""",0,0,0,0,0,0,false,1,0,false
lark-approval,"""lark-approval""",0,0,0,0,0,0,false,1,0,false
obsidian,"""obsidian"" skill",0,2,1,1,27,99,true,5,1268,true
lark-drive,"""lark-drive""",0,0,0,0,0,0,false,1,0,false
nano-banana-pro,"""nano-banana-pro""",0,0,7,15,0,34,false,2,881,true
lark-shared,"""lark-shared""",0,0,0,0,0,0,false,1,0,false
openclaw-tavily-search,"""openclaw-tavily-search""",0,0,0,0,0,0,false,1,0,false
lark-calendar,"""lark-calendar""",0,0,0,0,0,0,false,1,0,false
notion,"""notion"" skill",0,13,2,6,22,100,true,5,1827,true
lark-im,"""lark-im""",0,0,0,0,1,0,false,1,0,false
pollyreach,"""pollyreach"" skill",0,0,0,0,0,0,false,1,0,false
lark-contact,"""lark-contact""",0,0,0,0,0,0,false,1,0,false
skill-creator,"""skill-creator""",0,0,1,1,114,65,false,4,2070,true
lark-sheets,"""lark-sheets""",0,0,0,0,0,0,false,1,0,false
auto-updater,"""auto-updater""",0,0,1,14,2,2,false,1,23,true
lark-wiki,"""lark-wiki""",0,0,0,0,0,0,false,1,0,false
baidu-search,"""baidu-search""",0,0,0,0,0,1,false,1,12,false
lark-event,"""lark-event""",0,0,0,0,0,0,false,1,0,false
word-docx,"""word-docx""",0,0,0,1,0,1,false,1,11,true
lark-attendance,"""lark-attendance""",0,0,0,0,0,0,false,1,0,false
sonoscli,"""sonoscli"" skill",0,0,0,0,0,0,false,1,0,false
lark-minutes,"""lark-minutes""",0,0,0,0,0,0,false,1,0,false
openai-whisper,"""openai-whisper""",0,0,1,1,0,2,false,1,94,true
lark-openapi-explorer,"""lark-openapi-explorer""",0,0,0,0,0,,false,,,false
api-gateway,"""api-gateway""",0,6,24,50,3,,false,,,true
lark-whiteboard,"""lark-whiteboard""",0,0,0,0,0,,false,,,false
evolver,"""evolver"" skill",0,0,1,1,1,,false,,,true
lark-mail,"""lark-mail""",0,0,0,0,0,,false,,,false
prismfy-search,"""prismfy-search""",0,0,0,0,0,,false,,,false
