rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,trending_rank_skillssh,weekly_recent,weekly_prev,growth_pct,data_source
1,ai-video-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,237661,1,158346,14114,,skills.sh-trending
2,ai-image-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,237487,2,158213,14124,,skills.sh-trending
3,ai-avatar-video,skills.sh,skills-101,skills-101/superpowers,,single,,,237411,3,158150,14114,,skills.sh-trending
4,twitter-automation,skills.sh,skills-101,skills-101/superpowers,,single,,,237303,4,158049,14114,,skills.sh-trending
5,anti-ui-slop,skills.sh,uizze.com,uizze.com,,single,,,383612,5,119426,106826,11.8,skills.sh-trending
6,video-edit,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,82442,6,30348,0,,skills.sh-trending
7,image-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,82592,7,30420,0,,skills.sh-trending
8,ai-music,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,82186,8,30205,0,,skills.sh-trending
9,ai-video-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,82694,9,30425,0,,skills.sh-trending
10,ai-image-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,82406,10,30291,0,,skills.sh-trending
11,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,3022229,11,93130,96861,-3.9,skills.sh-trending
12,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,908347,12,65802,75922,-13.3,skills.sh-trending
13,grilling,skills.sh,mattpocock,mattpocock/skills,,single,,,487068,13,57496,69023,-16.7,skills.sh-trending
14,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,772902,14,55776,66362,-16,skills.sh-trending
15,reddit-automation,skills.sh,flowkit-labs,flowkit-labs/skills,,single,,,52561,15,19531,0,,skills.sh-trending
16,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,744786,16,54240,63780,-15,skills.sh-trending
17,domain-modeling,skills.sh,mattpocock,mattpocock/skills,,single,,,446587,17,52076,60145,-13.4,skills.sh-trending
18,tdd,skills.sh,mattpocock,mattpocock/skills,,single,,,719681,18,52249,63627,-17.9,skills.sh-trending
19,ai-research-explore,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,298594,19,50300,32324,55.6,skills.sh-trending
20,analyze-project,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,298497,20,50275,32243,55.9,skills.sh-trending
21,ai-research-reproduction,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,298403,21,50263,32246,55.9,skills.sh-trending
22,paper-context-resolver,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,438332,22,50275,32245,55.9,skills.sh-trending
23,safe-debug,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,298109,23,50255,32225,56,skills.sh-trending
24,explore-code,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,298182,24,50243,32233,55.9,skills.sh-trending
25,run-train,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,298050,25,50239,32221,55.9,skills.sh-trending
26,minimal-run-and-audit,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,437557,26,50250,32229,55.9,skills.sh-trending
27,repo-intake-and-plan,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,437631,27,50247,32230,55.9,skills.sh-trending
28,explore-run,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,298041,28,50237,32222,55.9,skills.sh-trending
29,env-and-assets-bootstrap,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,437543,29,50245,32229,55.9,skills.sh-trending
30,codebase-design,skills.sh,mattpocock,mattpocock/skills,,single,,,433712,30,50766,60375,-15.9,skills.sh-trending
31,diagnosing-bugs,skills.sh,mattpocock,mattpocock/skills,,single,,,427923,31,49914,59214,-15.7,skills.sh-trending
32,prototype,skills.sh,mattpocock,mattpocock/skills,,single,,,610032,32,48412,60846,-20.4,skills.sh-trending
33,handoff,skills.sh,mattpocock,mattpocock/skills,,single,,,626068,33,48859,58162,-16,skills.sh-trending
34,wayfinder,skills.sh,mattpocock,mattpocock/skills,,single,,,341078,34,48729,60412,-19.3,skills.sh-trending
35,to-tickets,skills.sh,mattpocock,mattpocock/skills,,single,,,321562,35,47951,57752,-17,skills.sh-trending
36,triage,skills.sh,mattpocock,mattpocock/skills,,single,,,622270,36,47409,58240,-18.6,skills.sh-trending
37,research,skills.sh,mattpocock,mattpocock/skills,,single,,,334444,37,45018,54803,-17.9,skills.sh-trending
38,teach,skills.sh,mattpocock,mattpocock/skills,,single,,,487570,38,44680,53989,-17.2,skills.sh-trending
39,ask-matt,skills.sh,mattpocock,mattpocock/skills,,single,,,396542,39,44321,55243,-19.8,skills.sh-trending
40,resolving-merge-conflicts,skills.sh,mattpocock,mattpocock/skills,,single,,,323768,40,42167,50799,-17,skills.sh-trending
41,writing-for-agents,skills.sh,mattpocock,mattpocock/skills,,single,,,99952,41,42587,36269,17.4,skills.sh-trending
42,code-review,skills.sh,mattpocock,mattpocock/skills,,single,,,367970,42,50927,61595,-17.3,skills.sh-trending
43,implement,skills.sh,mattpocock,mattpocock/skills,,single,,,388364,43,45552,55168,-17.4,skills.sh-trending
44,to-spec,skills.sh,mattpocock,mattpocock/skills,,single,,,327024,44,49738,61040,-18.5,skills.sh-trending
45,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,660733,45,49250,61714,-20.2,skills.sh-trending
46,wizard,skills.sh,mattpocock,mattpocock/skills,,single,,,209295,46,41317,42981,-3.9,skills.sh-trending
47,to-questionnaire,skills.sh,mattpocock,mattpocock/skills,,single,,,157478,47,40766,41844,-2.6,skills.sh-trending
48,wait-what,skills.sh,mattpocock,mattpocock/skills,,single,,,95997,48,42010,34647,,skills.sh-trending
49,prisma-client-api,skills.sh,prisma,prisma/skills,,single,,,206206,49,41584,43897,-5.3,skills.sh-trending
50,prisma-cli,skills.sh,prisma,prisma/skills,,single,,,204182,50,41486,43794,-5.3,skills.sh-trending
51,prisma-database-setup,skills.sh,prisma,prisma/skills,,single,,,206864,51,41540,43800,-5.2,skills.sh-trending
52,prisma-postgres,skills.sh,prisma,prisma/skills,,single,,,200485,52,41345,43650,-5.3,skills.sh-trending
53,prisma-postgres-setup,skills.sh,prisma,prisma/skills,,single,,,194927,53,41296,43568,-5.2,skills.sh-trending
54,prisma-driver-adapter-implementation,skills.sh,prisma,prisma/skills,,single,,,196226,54,41229,43492,-5.2,skills.sh-trending
55,prisma-upgrade-v7,skills.sh,prisma,prisma/skills,,single,,,196101,55,41220,43455,-5.1,skills.sh-trending
56,prisma-compute,skills.sh,prisma,prisma/skills,,single,,,191510,56,41201,43410,-5.1,skills.sh-trending
57,prisma-mongodb-upgrade,skills.sh,prisma,prisma/skills,,single,,,190276,57,41143,43366,-5.1,skills.sh-trending
58,hyperframes-core,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,292162,58,27491,26653,3.1,skills.sh-trending
59,hyperframes-cli,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,407821,59,38236,28363,34.8,skills.sh-trending
60,loop-me,skills.sh,mattpocock,mattpocock/skills,,single,,,180852,60,20131,23986,-16.1,skills.sh-trending
61,claude-handoff,skills.sh,mattpocock,mattpocock/skills,,single,,,157064,61,20366,23625,-13.8,skills.sh-trending
62,git-guardrails-claude-code,skills.sh,mattpocock,mattpocock/skills,,single,,,241548,62,19342,22344,-13.4,skills.sh-trending
63,hyperframes-audio,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,5643,63,,,,skills.sh-trending
64,setup-pre-commit,skills.sh,mattpocock,mattpocock/skills,,single,,,234918,64,19043,22024,-13.5,skills.sh-trending
65,writing-beats,skills.sh,mattpocock,mattpocock/skills,,single,,,228946,65,18862,21833,-13.6,skills.sh-trending
66,setup-ts-deep-modules,skills.sh,mattpocock,mattpocock/skills,,single,,,118215,66,18497,20981,-11.8,skills.sh-trending
67,hyperframes,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,394780,67,34140,27453,24.4,skills.sh-trending
68,scaffold-exercises,skills.sh,mattpocock,mattpocock/skills,,single,,,231221,68,18807,21716,-13.4,skills.sh-trending
69,hyperframes-keyframes,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,205801,69,25398,21733,16.9,skills.sh-trending
70,migrate-to-shoehorn,skills.sh,mattpocock,mattpocock/skills,,single,,,228100,70,18622,21591,-13.8,skills.sh-trending
71,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,701679,71,36656,33224,10.3,skills.sh-trending
72,hyperframes-animation,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,289856,72,28486,27458,3.7,skills.sh-trending
73,hyperframes-creative,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,271258,73,25670,23070,11.3,skills.sh-trending
74,media-use,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,289830,74,36304,33673,7.8,skills.sh-trending
75,hyperframes-registry,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,360507,75,37717,21925,72,skills.sh-trending
76,writing-fragments,skills.sh,mattpocock,mattpocock/skills,,single,,,228348,76,18856,21793,-13.5,skills.sh-trending
77,writing-shape,skills.sh,mattpocock,mattpocock/skills,,single,,,228557,77,18923,21835,-13.3,skills.sh-trending
78,lark-apps,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,502717,78,31176,33728,-7.6,skills.sh-trending
79,lark-shared,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,593624,79,31157,33772,-7.7,skills.sh-trending
80,lark-doc,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,594137,80,31236,33810,-7.6,skills.sh-trending
81,lark-base,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,593995,81,31249,33798,-7.5,skills.sh-trending
82,lark-drive,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,593708,82,31172,33779,-7.7,skills.sh-trending
83,lark-minutes,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,593026,83,31100,33708,-7.7,skills.sh-trending
84,lark-slides,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,592774,84,31074,33681,-7.7,skills.sh-trending
85,lark-vc,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,592648,85,31060,33664,-7.7,skills.sh-trending
86,lark-wiki,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,593156,86,31136,33717,-7.7,skills.sh-trending
87,lark-im,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,593481,87,31136,33753,-7.8,skills.sh-trending
88,lark-approval,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,593921,88,31090,33745,-7.9,skills.sh-trending
89,lark-whiteboard,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,592915,89,31069,33701,-7.8,skills.sh-trending
90,lark-calendar,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,593499,90,31126,33729,-7.7,skills.sh-trending
91,lark-task,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,592853,91,31072,33674,-7.7,skills.sh-trending
92,lark-sheets,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,593194,92,31121,33736,-7.8,skills.sh-trending
93,lark-contact,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,593309,93,31057,33713,-7.9,skills.sh-trending
94,lark-openapi-explorer,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,592903,94,31037,33684,-7.9,skills.sh-trending
95,lark-markdown,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,558692,95,31059,33693,-7.8,skills.sh-trending
96,lark-attendance,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,593009,96,31024,33674,-7.9,skills.sh-trending
97,lark-workflow-standup-report,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,592438,97,31001,33648,-7.9,skills.sh-trending
98,lark-okr,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,573534,98,31014,33627,-7.8,skills.sh-trending
99,lark-event,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,593027,99,31052,33712,-7.9,skills.sh-trending
100,lark-note,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,377105,100,31051,33669,-7.8,skills.sh-trending
