rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,x_mentions_7d,x_truncated,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_engagement_7d,buzz_score,buzz_shared
1,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,100,true,1,6,9,10,25,785,0.939,true
2,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,100,true,1,4,5,18,23,9313,0.923,true
3,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,100,true,8,12,47,62,3,11536,0.918,false
4,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,43,false,1,1,3,6,2,545,0.838,false
5,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,75,false,0,4,2,25,65,1862,0.714,true
6,browser-use,skills.sh,browser-use,browser-use/browser-use,,single,,,,false,1,11,19,22,9,,0.661,true
7,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,22,false,0,1,1,2,12,682,0.613,false
8,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,66,false,0,0,0,0,118,2226,0.587,true
9,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,26,false,0,0,0,2,127,823,0.557,true
10,auto-updater,clawhub,,,auto-updater,upstream,"Automatically update Clawdbot and all installed skills once daily. Runs via cron, checks for updates, applies them, and messages the user with a summary of what changed.",每日自动更新 Clawdbot 及所有已安装技能。运行 cron 检查更新并应用，同时向用户发送变更摘要。,3,false,0,0,2,14,1,36,0.548,false
11,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,1,false,0,0,1,2,7,0,0.517,false
12,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,5,false,0,0,0,1,3,7,0.471,false
13,proactive-agent,clawhub,,,proactive-agent,upstream,"Transform AI agents from task-followers into proactive partners that anticipate needs and continuously improve. Now with WAL Protocol, Working Buffer, Autonomous Crons, and battle-tested patterns. Par",将 AI 代理从任务执行者转变为能够预见需求、持续优化的主动伙伴。现已支持 WAL Protocol、Working Buffer、Autonomous Crons 及经过实战验证的模式。属于 Hal Stack 🦞。,23,false,0,1,0,0,1,381,0.468,false
14,stock-analysis,clawhub,,,stock-analysis,upstream,"Analyze stocks and cryptocurrencies using Yahoo Finance data. Supports portfolio management, watchlists with alerts, dividend analysis, 8-dimension stock scoring, viral trend detection (Hot Scanner), ",利用Yahoo Finance数据深度分析股票和加密货币。支持投资组合管理、关注列表与提醒、股息分析、八维度股票评分、热门趋势扫描（热点扫描器）及谣言/早期信号检测。适用于股票分析、投资组合追踪、财报反应、加密货币监控、热门股票发现及在主流媒体前抢先获取消息。,,false,0,0,290,315,5,,0.468,false
15,nano-banana-pro,clawhub,steipete,,nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,28,false,0,0,8,16,0,46148,0.46,false
16,brave-search,clawhub,steipete,,brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,,false,0,2,3,72,3,,0.437,false
17,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,single,,,,false,0,0,37,46,1,,0.428,false
18,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,,false,0,0,1,1,4,,0.427,false
19,api-gateway,clawhub,,,api-gateway,upstream,"Connect to external services through Maton-managed API routes. Use this skill only after the user names the target app, account, and task. Start with read/list calls when possible and follow the app-s",通过 Maton 管理的 API 路由连接外部服务；仅在用户指定目标应用、账户和任务后使用；以读取/列...,,false,0,4,16,40,1,,0.423,false
20,automation-workflows,clawhub,,,automation-workflows,upstream,"Design and implement automation workflows to save time and scale operations as a solopreneur. Use when identifying repetitive tasks to automate, building workflows across tools, setting up triggers an",设计和实施自动化工作流，帮助个体创业者节省时间并扩展业务。用于识别可自动化的重复性任务、跨工具构建工作流、设置触发器和操作，或优化现有自动化。涵盖自动化机会识别、工作流设计、工具选择（Zapier、Make、n8n）、测试及维护。,,false,0,0,6,14,1,,0.417,false
21,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,2,false,0,0,0,0,2,554,0.417,false
22,excel-xlsx,clawhub,,,excel-xlsx,upstream,"Create, inspect, and edit Microsoft Excel workbooks and XLSX files with reliable formulas, dates, types, formatting, recalculation, and template preservation...",创建、检查和编辑 Microsoft Excel 工作簿及 XLSX 文件，支持可靠的公式、日期、类型、格式、重算及模板保留功能。,,false,0,0,2,2,1,,0.405,false
23,skill-vetter,clawhub,,,skill-vetter,upstream,"Security-first skill vetting for AI agents. Use before installing any skill from ClawdHub, GitHub, or other sources. Checks for red flags, permission scope, and suspicious patterns.",AI智能体技能安全预审工具。安装ClawdHub、GitHub等来源技能前，检查风险信号、权限范围及可疑模式。,2,false,0,0,0,0,1,23,0.399,false
24,openai-whisper,clawhub,steipete,,openai-whisper,upstream,Local speech-to-text with the Whisper CLI (no API key).,使用 Whisper CLI 进行本地语音转文字（无需 API 密钥）,3,false,0,0,1,1,0,114,0.373,false
