rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
1,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,702025,,,80.3,0.994,0.883,0.939,,0.7,C,
2,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,796084,,,75.1,0.998,0.823,0.714,,0.7,C,
3,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,3023443,,,74.4,1,0.983,0.557,,0.7,C,
4,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,909231,,,71.6,0.999,0.982,0.923,,0.2,C,
5,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,646526,,,68.8,0.992,0.817,0.417,,0.7,C,
6,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,557179,,,68.2,0.964,0.818,0.427,,0.7,C,
7,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,,475107,1117178,67.5,0.999,,0.838,0.819,0.2,B,
8,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,single,,,533661,,,67.4,0.96,0.768,0.428,,0.7,C,
9,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,773685,,,65.3,0.997,0.978,0.613,,0.2,C,
10,azure-resource-visualizer,skills.sh,microsoft,microsoft/azure-skills,,single,,,531717,,,64.6,0.95,0.775,,,0.7,C,
11,azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,single,,,531729,,,64.4,0.951,0.757,,,0.7,C,
12,azure-cloud-migrate,skills.sh,microsoft,microsoft/azure-skills,,single,,,465221,,,64.4,0.942,0.773,,,0.7,C,
13,microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,single,,,540032,,,64.3,0.963,0.78,0.262,,0.7,C,
14,azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,single,,,521461,,,64.3,0.949,0.758,,,0.7,C,
15,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,356723,,,64.3,0.883,0.505,0.587,,0.7,C,
16,azure-compute,skills.sh,microsoft,microsoft/azure-skills,,single,,,475531,,,64,0.943,0.75,,,0.7,C,
17,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,single,,,532592,,,63.5,0.956,0.767,0.24,,0.7,C,
18,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,,207421,381876,63.4,0.997,,0.918,0.444,0.2,B,
19,remotion-best-practices,skills.sh,remotion-dev,remotion-dev/skills,,single,,,486474,,,62.9,0.945,0.672,,,0.7,C,
20,azure-quotas,skills.sh,microsoft,microsoft/azure-skills,,single,,,401780,,,62.8,0.902,0.752,,,0.7,C,
21,azure-upgrade,skills.sh,microsoft,microsoft/azure-skills,,single,,,393958,,,62.6,0.899,0.745,,,0.7,C,
22,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,661452,,,62.5,0.993,0.928,0.517,,0.2,C,
23,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,745562,,,62.4,0.996,0.975,0.471,,0.2,C,
24,azure-enterprise-infra-planner,skills.sh,microsoft,microsoft/azure-skills,,single,,,368096,,,62.4,0.89,0.747,,,0.7,C,
25,azure-kubernetes,skills.sh,microsoft,microsoft/azure-skills,,single,,,361253,,,62.4,0.886,0.755,,,0.7,C,
26,prisma-database-setup,skills.sh,prisma,prisma/skills,,single,,,207218,,,62.1,0.794,0.918,,,0.7,C,
27,prisma-client-api,skills.sh,prisma,prisma/skills,,single,,,206559,,,62.1,0.793,0.92,,,0.7,C,
28,tdd,skills.sh,mattpocock,mattpocock/skills,,single,,,720402,,,62,0.995,0.972,0.453,,0.2,C,
29,prisma-cli,skills.sh,prisma,prisma/skills,,single,,,204534,,,61.9,0.789,0.917,,,0.7,C,
30,supabase-postgres-best-practices,skills.sh,supabase,supabase/agent-skills,,single,,,358201,,,61.8,0.884,0.722,,,0.7,C,
31,prisma-postgres,skills.sh,prisma,prisma/skills,,single,,,200834,,,61.8,0.785,0.913,,,0.7,C,
32,triage,skills.sh,mattpocock,mattpocock/skills,,single,,,622929,,,61.7,0.99,0.942,0.471,,0.2,C,
33,azure-cost,skills.sh,microsoft,microsoft/azure-skills,,single,,,336470,,,61.7,0.865,0.748,,,0.7,C,
34,handoff,skills.sh,mattpocock,mattpocock/skills,,single,,,626731,,,61.6,0.991,0.947,0.461,,0.2,C,
35,prisma-driver-adapter-implementation,skills.sh,prisma,prisma/skills,,single,,,196575,,,61.6,0.782,0.912,,,0.7,C,
36,prisma-upgrade-v7,skills.sh,prisma,prisma/skills,,single,,,196449,,,61.6,0.781,0.91,,,0.7,C,
37,prisma-postgres-setup,skills.sh,prisma,prisma/skills,,single,,,195278,,,61.6,0.78,0.915,,,0.7,C,
38,prototype,skills.sh,mattpocock,mattpocock/skills,,single,,,610718,,,61.5,0.989,0.948,0.456,,0.2,C,
39,prisma-compute,skills.sh,prisma,prisma/skills,,single,,,191859,,,61.5,0.778,0.908,,,0.7,C,
40,azure-diagnostics,skills.sh,microsoft,microsoft/azure-skills,,single,,,534004,,,61.4,0.961,0.778,0.12,,0.7,C,
41,prisma-mongodb-upgrade,skills.sh,prisma,prisma/skills,,single,,,190624,,,61.4,0.776,0.907,,,0.7,C,
42,nano-banana-pro,clawhub,steipete,,nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,,106229,129667,61.4,0.981,,0.46,0.285,0.7,B,
43,azure-deploy,skills.sh,microsoft,microsoft/azure-skills,,single,,,533613,,,61.3,0.959,0.772,0.12,,0.7,C,
44,azure-prepare,skills.sh,microsoft,microsoft/azure-skills,,single,,,533441,,,61.3,0.958,0.777,0.12,,0.7,C,
45,azure-validate,skills.sh,microsoft,microsoft/azure-skills,,single,,,533122,,,61.2,0.957,0.77,0.12,,0.7,C,
46,github,clawhub,steipete,,github,upstream,"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries.",使用 `gh` CLI 与 GitHub 交互，通过 `gh issue`、`gh pr`、`gh run` 和 `gh api` 管理议题、PR、CI 运行及高级查询。,,196039,364915,61.1,0.995,,0.474,0.221,0.7,B,
47,entra-app-registration,skills.sh,microsoft,microsoft/azure-skills,,single,,,532329,,,61,0.955,0.76,0.12,,0.7,C,
48,appinsights-instrumentation,skills.sh,microsoft,microsoft/azure-skills,,single,,,532098,,,61,0.955,0.765,0.12,,0.7,C,
49,azure-resource-lookup,skills.sh,microsoft,microsoft/azure-skills,,single,,,532011,,,60.9,0.954,0.762,0.12,,0.7,C,
