rank,skill,platform,vendor,source_skillssh,slug_clawhub,url,match,description,description_zh,installs_skillssh,trending_rank_skillssh,weekly_recent,weekly_prev,growth_pct,data_source
1,google-agents-cli-deploy,skills.sh,google,google/agents-cli,,https://www.skills.sh/google/agents-cli/google-agents-cli-deploy,single,,,215979,1,57889,42963,34.7,skills.sh-trending
2,google-agents-cli-adk-code,skills.sh,google,google/agents-cli,,https://www.skills.sh/google/agents-cli/google-agents-cli-adk-code,single,,,216412,2,57896,42985,34.7,skills.sh-trending
3,google-agents-cli-workflow,skills.sh,google,google/agents-cli,,https://www.skills.sh/google/agents-cli/google-agents-cli-workflow,single,,,216061,3,57887,42955,34.8,skills.sh-trending
4,google-agents-cli-observability,skills.sh,google,google/agents-cli,,https://www.skills.sh/google/agents-cli/google-agents-cli-observability,single,,,215949,4,57876,42960,34.7,skills.sh-trending
5,google-agents-cli-eval,skills.sh,google,google/agents-cli,,https://www.skills.sh/google/agents-cli/google-agents-cli-eval,single,,,216023,5,57873,42966,34.7,skills.sh-trending
6,google-agents-cli-publish,skills.sh,google,google/agents-cli,,https://www.skills.sh/google/agents-cli/google-agents-cli-publish,single,,,215817,6,57869,42952,34.7,skills.sh-trending
7,google-agents-cli-scaffold,skills.sh,google,google/agents-cli,,https://www.skills.sh/google/agents-cli/google-agents-cli-scaffold,single,,,215977,7,57890,42966,34.7,skills.sh-trending
8,seedance-2-5-image-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/seedance-2-5-image-to-video,single,,,143264,8,108725,30815,,skills.sh-trending
9,ai-image-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/ai-image-generation,single,,,475970,9,108359,112485,-3.7,skills.sh-trending
10,image-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/image-to-video,single,,,476493,10,108844,112407,-3.2,skills.sh-trending
11,seedance-2-5-reference-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/seedance-2-5-reference-to-video,single,,,142946,11,108509,30726,,skills.sh-trending
12,ai-video-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/ai-video-generation,single,,,476734,12,108587,112626,-3.6,skills.sh-trending
13,wan-3-0-prime-reference-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/wan-3-0-prime-reference-to-video,single,,,143718,13,108717,31009,,skills.sh-trending
14,reddit-automation,skills.sh,flowkit-labs,flowkit-labs/skills,,https://www.skills.sh/flowkit-labs/skills/reddit-automation,single,,,445389,14,108855,113492,-4.1,skills.sh-trending
15,video-edit,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/video-edit,single,,,477635,15,108975,113373,-3.9,skills.sh-trending
16,ai-music,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/ai-music,single,,,477070,16,108586,113480,-4.3,skills.sh-trending
17,design-mobile-apps,skills.sh,designed-by-ai,designed-by-ai/skills,,https://www.skills.sh/designed-by-ai/skills/design-mobile-apps,single,,,194605,17,140177,53048,,skills.sh-trending
18,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,https://www.skills.sh/vercel-labs/skills/find-skills,single,,,3386334,18,101832,102072,-0.2,skills.sh-trending
19,ai-image-generation,skills.sh,101-skills,101-skills/superpowers,,https://www.skills.sh/101-skills/superpowers/ai-image-generation,single,,,78576,19,63881,13165,,skills.sh-trending
20,ai-avatar-video,skills.sh,101-skills,101-skills/superpowers,,https://www.skills.sh/101-skills/superpowers/ai-avatar-video,single,,,78272,20,63412,13376,,skills.sh-trending
21,twitter-automation,skills.sh,101-skills,101-skills/superpowers,,https://www.skills.sh/101-skills/superpowers/twitter-automation,single,,,78561,21,63653,13446,,skills.sh-trending
