rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
1,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,807215,,,80,0.998,0.885,0.913,,0.7,C,
2,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,714505,,,76.2,0.995,0.883,0.732,,0.7,C,
3,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,3065624,,,74.1,1,0.982,0.545,,0.7,C,
4,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,654595,,,70.6,0.994,0.798,0.517,,0.7,C,
5,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,565846,,,69.3,0.974,0.873,0.423,,0.7,C,
6,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,359489,,,68.3,0.913,0.552,0.705,,0.7,C,
7,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,938154,,,67.7,0.999,0.98,0.727,,0.2,C,
8,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,,475685,1126167,66.9,0.999,,0.829,0.791,0.2,B,
9,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,single,,,539080,,,64.8,0.971,0.585,0.422,,0.7,C,
10,api-gateway,clawhub,,,api-gateway,upstream,"Call third-party APIs through the Maton gateway, which injects the credential for an app the user has already connected. Use this skill when the user names a connected app and a concrete action in it ",通过 Maton 管理的 API 路由连接外部服务；仅在用户指定目标应用、账户和任务后使用；以读取/列...,,85921,116850,64.7,0.971,,0.633,0.958,0.2,B,
11,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,single,,,538011,,,64.4,0.968,0.583,0.404,,0.7,C,
12,remotion-best-practices,skills.sh,remotion-dev,remotion-dev/skills,,single,,,490561,,,64.3,0.959,0.737,,,0.7,C,
13,prisma-database-setup,skills.sh,prisma,prisma/skills,,single,,,223644,,,64.1,0.852,0.938,,,0.7,C,
14,prisma-client-api,skills.sh,prisma,prisma/skills,,single,,,223034,,,64.1,0.851,0.94,,,0.7,C,
15,prisma-cli,skills.sh,prisma,prisma/skills,,single,,,220963,,,64,0.849,0.937,,,0.7,C,
16,prisma-postgres,skills.sh,prisma,prisma/skills,,single,,,217205,,,63.9,0.847,0.935,,,0.7,C,
17,prisma-driver-adapter-implementation,skills.sh,prisma,prisma/skills,,single,,,212869,,,63.8,0.846,0.928,,,0.7,C,
18,prisma-upgrade-v7,skills.sh,prisma,prisma/skills,,single,,,212740,,,63.8,0.845,0.93,,,0.7,C,
19,prisma-postgres-setup,skills.sh,prisma,prisma/skills,,single,,,211620,,,63.8,0.844,0.932,,,0.7,C,
20,supabase-postgres-best-practices,skills.sh,supabase,supabase/agent-skills,,single,,,363784,,,63.7,0.914,0.782,,,0.7,C,
21,prisma-compute,skills.sh,prisma,prisma/skills,,single,,,208135,,,63.7,0.842,0.927,,,0.7,C,
22,prisma-mongodb-upgrade,skills.sh,prisma,prisma/skills,,single,,,206886,,,63.6,0.84,0.925,,,0.7,C,
23,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,,207640,383946,63.5,0.996,,0.927,0.439,0.2,B,
24,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,798964,,,63.1,0.997,0.977,0.503,,0.2,C,
25,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,684131,,,62.6,0.995,0.965,0.491,,0.2,C,
26,supabase,skills.sh,supabase,supabase/agent-skills,,single,,,232871,,,62.2,0.859,0.793,,,0.7,C,
