rank,skill,platform,vendor,source_skillssh,slug_clawhub,url,match,description,description_zh,x_mentions_7d,x_truncated,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_engagement_7d,buzz_score,buzz_shared
1,grill-me,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-me,single,,,100,true,1,4,12,20,26,8023,0.932,false
2,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,https://www.skills.sh/vercel-labs/agent-browser/agent-browser,single,,,100,true,1,1,7,7,23,3375,0.923,true
3,frontend-design,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/frontend-design,single,,,71,false,2,6,4,31,61,10978,0.908,true
4,self-improving,clawhub,,,self-improving,https://clawhub.ai/ivangdavila/skills/self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,100,true,1,6,29,50,3,4414,0.905,false
5,skill-creator,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/skill-creator,single,,,74,false,0,0,1,3,119,10911,0.71,true
6,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,https://www.skills.sh/vercel-labs/skills/find-skills,single,,,27,false,0,0,1,1,151,2874,0.659,true
7,browser-use,skills.sh,browser-use,browser-use/browser-use,,https://www.skills.sh/browser-use/browser-use/browser-use,single,,,,false,1,2,25,31,9,,0.651,true
8,word-docx,clawhub,,,word-docx,https://clawhub.ai/ivangdavila/skills/word-docx,upstream,"Create, inspect, and edit Microsoft Word documents and DOCX files with reliable styles, numbering, tracked changes, tables, sections, and compatibility check...",创建、检查和编辑 Microsoft Word 文档及 DOCX 文件，支持样式、编号、修订记录、表格、分节符及兼容性检查等功能。,4,false,0,0,1,4,2,4,0.551,false
9,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-with-docs,single,,,14,false,0,0,0,0,10,180,0.498,false
10,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/improve-codebase-architecture,single,,,8,false,0,0,0,0,3,15,0.471,false
11,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-ai,single,,,,false,0,0,40,46,5,,0.458,false
12,nano-banana-pro,clawhub,steipete,,nano-banana-pro,https://clawhub.ai/steipete/skills/nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,37,false,0,0,4,5,0,633,0.453,false
13,self-improving-agent,clawhub,,,self-improving-agent,https://clawhub.ai/pskoett/skills/self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,47,false,0,0,1,1,0,1821,0.451,false
14,stock-analysis,clawhub,,,stock-analysis,https://clawhub.ai/udiedrichsen/skills/stock-analysis,upstream,"Analyze stocks and cryptocurrencies using Yahoo Finance data. Supports portfolio management, watchlists with alerts, dividend analysis, 8-dimension stock scoring, viral trend detection (Hot Scanner), ",利用Yahoo Finance数据深度分析股票和加密货币。支持投资组合管理、关注列表与提醒、股息分析、八维度股票评分、热门趋势扫描（热点扫描器）及谣言/早期信号检测。适用于股票分析、投资组合追踪、财报反应、加密货币监控、热门股票发现及在主流媒体前抢先获取消息。,,false,0,1,315,328,2,,0.449,false
15,lark-drive,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-drive,single,,,1,false,0,0,1,3,1,0,0.447,true
