skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered
find-skills,"""find-skills""",2,7,2,2,116,20,false,2,941,true
self-improving-agent,"""self-improving-agent""",1,1,6,7,0,42,false,3,891,true
grill-me,"""grill-me""",0,3,5,16,21,100,true,5,2434,true
skill-vetter,"""skill-vetter""",0,0,0,0,0,2,false,1,19,false
grill-with-docs,"""grill-with-docs""",0,0,1,1,6,25,false,2,1676,true
self-improving,"""self-improving""",2,8,54,75,2,100,true,5,8910,true
improve-codebase-architecture,"""improve-codebase-architecture""",0,0,1,1,0,5,false,1,10,true
ontology,"""ontology"" skill",0,0,0,0,12,100,true,5,1872,false
frontend-design,"""frontend-design""",0,0,0,44,79,82,false,5,2033,true
github,"""github"" skill",0,218,57,84,690,100,true,5,635,true
tdd,"""tdd"" skill",2,4,3,3,43,100,true,5,9274,true
gog,"""gog"" skill",0,3,0,0,9,12,false,1,22,true
agent-browser,"""agent-browser""",0,1,6,7,28,100,true,5,4115,true
skillscan,"""skillscan"" skill",0,0,0,0,1,0,false,1,0,false
setup-matt-pocock-skills,"""setup-matt-pocock-skills""",0,0,0,0,6,6,false,1,715,false
proactive-agent,"""proactive-agent""",0,0,2,2,0,26,false,2,42,true
handoff,"""handoff"" skill",0,3,0,0,166,100,true,5,707,true
weather,"""weather"" skill",0,19,0,14,3,100,true,5,1928,true
triage,"""triage"" skill",1,4,3,4,148,100,true,5,622,true
multi-search-engine,"""multi-search-engine""",0,0,0,0,0,0,false,1,0,false
prototype,"""prototype"" skill",1,11,0,0,29,100,true,5,1002,true
agent-browser-clawdbot,"""agent-browser-clawdbot""",0,0,0,0,0,0,false,1,0,false
vercel-react-best-practices,"""vercel-react-best-practices""",0,0,0,0,5,0,false,1,0,false
admapix,"""admapix"" skill",0,0,0,0,0,0,false,1,0,false
lark-doc,"""lark-doc""",0,0,0,0,3,0,false,1,0,false
humanizer,"""humanizer"" skill",0,1,6,7,30,100,true,5,5212,true
lark-base,"""lark-base""",0,0,0,0,2,1,false,1,8,false
nano-pdf,"""nano-pdf""",0,0,0,0,0,0,false,1,0,false
lark-drive,"""lark-drive""",0,0,0,0,0,0,false,1,0,false
obsidian,"""obsidian"" skill",0,2,1,4,30,100,true,5,894,true
lark-approval,"""lark-approval""",0,0,0,0,0,0,false,1,0,false
nano-banana-pro,"""nano-banana-pro""",0,1,7,8,1,35,false,2,612,true
lark-shared,"""lark-shared""",0,0,0,1,0,0,false,1,0,true
openclaw-tavily-search,"""openclaw-tavily-search""",0,0,0,0,0,0,false,1,0,false
lark-im,"""lark-im""",0,0,0,0,0,1,false,1,3,false
notion,"""notion"" skill",0,10,0,2,14,20,false,2,218,true
lark-calendar,"""lark-calendar""",0,0,0,0,0,0,false,1,0,false
pollyreach,"""pollyreach"" skill",0,0,0,0,0,0,false,1,0,false
lark-sheets,"""lark-sheets""",0,0,0,0,0,0,false,1,0,false
skill-creator,"""skill-creator""",0,1,1,1,124,87,false,5,12352,true
lark-contact,"""lark-contact""",0,0,0,0,0,0,false,1,0,false
auto-updater,"""auto-updater""",0,0,0,18,0,3,false,1,302,true
lark-wiki,"""lark-wiki""",0,0,0,0,0,0,false,1,0,false
baidu-search,"""baidu-search""",0,0,0,0,0,0,false,1,0,false
lark-minutes,"""lark-minutes""",0,0,0,0,0,1,false,1,0,false
word-docx,"""word-docx""",0,0,2,2,1,3,false,1,2,true
lark-event,"""lark-event""",0,0,0,0,0,1,false,1,3,false
sonoscli,"""sonoscli"" skill",0,0,0,0,0,0,false,1,0,false
lark-task,"""lark-task""",0,0,0,0,0,0,false,1,0,false
evolver,"""evolver"" skill",0,0,0,0,0,5,false,1,36,false
