rank,skill,skill_key,platform,vendor,source_skillssh,slug_clawhub,url,repo_url,install,match,description,description_zh,verified_by,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score,category,flags
1,find-skills,ss:vercel-labs/skills/find-skills,skills.sh,vercel-labs,vercel-labs/skills,,https://www.skills.sh/vercel-labs/skills/find-skills,https://github.com/vercel-labs/skills,npx skills add https://github.com/vercel-labs/skills --skill find-skills,single,,,skills.sh,3525095,,,1,ai-agent,
2,tencent-docs,sh:tencent-docs,skillhub-cn,腾讯科技（深圳）有限公司,,,,,,single,"腾讯文档（docs.qq.com）-在线云文档平台，是创建、编辑、管理文档的首选 skill。涉及""新建/创建/编辑/读取/查看/搜索文档""、""保存文件""、""云文档""、""腾讯文档""、""docs.qq.com""等操作，请优先使用本 skill。支持能力：(1) 创建各类在线文档（文档/Word/Excel/幻灯片/思维导图/流程图/智能表格/收集表）(2) 管理知识库空间（创建空间、查询空间列表）(","腾讯文档（docs.qq.com）-在线云文档平台，是创建、编辑、管理文档的首选 skill。涉及""新建/创建/编辑/读取/查看/搜索文档""、""保存文件""、""云文档""、""腾讯文档""、""docs.qq.com""等操作，请优先使用本 skill。支持能力：(1) 创建各类在线文档（文档/Word/Excel/幻灯片/思维导图/流程图/智能表格/收集表）(2) 管理知识库空间（创建空间、查询空间列表）(",skillhub,,,1153653,0.997,office-efficiency,
3,frontend-design,ss:anthropics/skills/frontend-design,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/frontend-design,https://github.com/anthropics/skills,npx skills add https://github.com/anthropics/skills --skill frontend-design,single,,,skills.sh,913352,,,0.996,design-media,
4,agent-browser,ss:vercel-labs/agent-browser/agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,https://www.skills.sh/vercel-labs/agent-browser/agent-browser,https://github.com/vercel-labs/agent-browser,npx skills add https://github.com/vercel-labs/agent-browser --skill agent-browser,single,,,skills.sh,910918,,,0.995,ai-agent,
5,github,ch:github,clawhub,steipete,,github,https://clawhub.ai/steipete/skills/github,,openclaw skills install @steipete/github,upstream,"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries.",使用 `gh` CLI 与 GitHub 交互，通过 `gh issue`、`gh pr`、`gh run` 和 `gh api` 管理议题、PR、CI 运行及高级查询。,clawhub,,199051,374520,0.993,dev-programming,
6,multi-search-engine,sh:multi-search-engine,skillhub-cn,成都智创未来教育管理合伙企业（有限合伙）,,,,,,single,"多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -","多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -",skillhub,,,616005,0.992,knowledge-management,
7,vercel-react-best-practices,ss:vercel-labs/agent-skills/vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,https://www.skills.sh/vercel-labs/agent-skills/vercel-react-best-practices,https://github.com/vercel-labs/agent-skills,npx skills add https://github.com/vercel-labs/agent-skills --skill vercel-react-best-practices,single,,,skills.sh,736555,,,0.99,dev-programming,
8,beatra,sh:beatra,skillhub-cn,乐萱同行科技（深圳）有限公司,,,,,,single,通过同一个AI创作工具完成AI图片、视频、音乐与语音创作，查找公开社交数据，编辑视觉成果，并集中查看和管理生成资产。Beatra 全能创作支持AI图片生成（文生图）、AI视频生成（图生视频）和AI视频编辑，通过AI音乐生成把想法做成歌曲或纯音乐，也可用AI语音生成（文字转语音）、多语言旁白和AI语音克隆完成跨媒介内容；还能查找抖音数据、小红书数据，以及 YouTube、TikTok、Instagr,通过同一个AI创作工具完成AI图片、视频、音乐与语音创作，查找公开社交数据，编辑视觉成果，并集中查看和管理生成资产。Beatra 全能创作支持AI图片生成（文生图）、AI视频生成（图生视频）和AI视频编辑，通过AI音乐生成把想法做成歌曲或纯音乐，也可用AI语音生成（文字转语音）、多语言旁白和AI语音克隆完成跨媒介内容；还能查找抖音数据、小红书数据，以及 YouTube、TikTok、Instagr,skillhub,,,446598,0.99,design-media,
9,ima-skills,sh:ima-skills,skillhub-cn,腾讯科技（深圳）有限公司,,,,,,single,ima skills，支持对笔记、知识库的读取、写入和检索等操作，可以帮你随时记录，收入ima智能管理，随时调用，龙虾输出精准懂你，友好的接入了OpenClaw生态，构建你的第二大脑。,ima skills，支持对笔记、知识库的读取、写入和检索等操作，可以帮你随时记录，收入ima智能管理，随时调用，龙虾输出精准懂你，友好的接入了OpenClaw生态，构建你的第二大脑。,skillhub,,,365945,0.986,knowledge-management,
10,weather,ch:weather,clawhub,steipete,,weather,https://clawhub.ai/steipete/skills/weather,,openclaw skills install @steipete/weather,upstream,Get current weather and forecasts (no API key required).,获取当前天气和预报（无需API密钥）,clawhub,,170119,259572,0.986,life-service,
11,obsidian,ch:obsidian,clawhub,steipete,,obsidian,https://clawhub.ai/steipete/skills/obsidian,,openclaw skills install @steipete/obsidian,single,Work with Obsidian vaults (plain Markdown notes) and automate via obsidian-cli.,,clawhub,,110173,,0.985,knowledge-management,
12,gog,ch:gog,clawhub,steipete,,gog,https://clawhub.ai/steipete/skills/gog,,openclaw skills install @steipete/gog,upstream,"Google Workspace CLI for Gmail, Calendar, Drive, Contacts, Sheets, and Docs.",Google Workspace 命令行工具，支持 Gmail、日历、云端硬盘、通讯录、表格和文档。,clawhub,,194716,201726,0.985,office-efficiency,
