skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered
find-skills,"""find-skills""",0,0,1,1,151,27,false,2,2874,true
self-improving-agent,"""self-improving-agent""",0,0,1,1,0,47,false,3,1821,true
grill-me,"""grill-me""",1,4,12,20,26,100,true,5,8023,true
skill-vetter,"""skill-vetter""",0,0,0,0,1,0,false,1,0,false
grill-with-docs,"""grill-with-docs""",0,0,0,0,10,14,false,1,180,false
self-improving,"""self-improving""",1,6,29,50,3,100,true,5,4414,true
frontend-design,"""frontend-design""",2,6,4,31,61,71,false,4,10978,true
ontology,"""ontology"" skill",1,1,0,0,7,100,true,5,2333,true
improve-codebase-architecture,"""improve-codebase-architecture""",0,0,0,0,3,8,false,1,15,false
github,"""github"" skill",6,170,56,74,733,99,true,5,425,true
tdd,"""tdd"" skill",0,0,0,1,47,99,true,5,3380,true
gog,"""gog"" skill",0,2,0,1,0,13,false,1,59,true
agent-browser,"""agent-browser""",1,1,7,7,23,100,true,5,3375,true
skillscan,"""skillscan"" skill",0,0,0,0,2,0,false,1,0,false
setup-matt-pocock-skills,"""setup-matt-pocock-skills""",0,0,0,0,11,1,false,1,156,false
proactive-agent,"""proactive-agent""",0,0,1,2,0,30,false,2,820,true
handoff,"""handoff"" skill",1,3,1,3,216,100,true,5,535,true
weather,"""weather"" skill",0,14,1,5,8,99,true,5,1110,true
triage,"""triage"" skill",0,0,6,8,139,100,true,5,1330,true
multi-search-engine,"""multi-search-engine""",0,0,0,0,0,1,false,1,20,false
prototype,"""prototype"" skill",0,17,2,4,43,100,true,5,812,true
agent-browser-clawdbot,"""agent-browser-clawdbot""",0,0,0,0,0,0,false,1,0,false
vercel-react-best-practices,"""vercel-react-best-practices""",0,0,0,0,1,3,false,1,2,false
admapix,"""admapix"" skill",0,0,0,0,0,0,false,1,0,false
lark-doc,"""lark-doc""",0,0,0,0,3,1,false,1,0,false
humanizer,"""humanizer"" skill",1,2,0,0,24,73,false,4,11036,true
lark-base,"""lark-base""",0,0,0,0,0,2,false,1,355,false
nano-pdf,"""nano-pdf""",0,0,0,0,0,0,false,1,0,false
lark-drive,"""lark-drive""",0,0,1,3,1,1,false,1,0,true
obsidian,"""obsidian"" skill",0,10,2,4,27,100,true,5,433,true
lark-approval,"""lark-approval""",0,0,0,0,1,1,false,2,355,false
nano-banana-pro,"""nano-banana-pro""",0,0,4,5,0,37,false,2,633,true
lark-shared,"""lark-shared""",0,0,0,0,0,1,false,1,0,false
openclaw-tavily-search,"""openclaw-tavily-search""",0,0,0,0,0,0,false,1,0,false
lark-im,"""lark-im""",0,0,0,0,1,1,false,1,0,false
notion,"""notion"" skill",0,23,0,0,23,100,true,5,1000,true
lark-calendar,"""lark-calendar""",0,0,0,0,1,1,false,1,0,false
pollyreach,"""pollyreach"" skill",0,0,0,0,0,0,false,1,0,false
lark-contact,"""lark-contact""",0,0,0,0,0,0,false,1,0,false
skill-creator,"""skill-creator""",0,0,1,3,119,74,false,4,10911,true
lark-sheets,"""lark-sheets""",0,0,0,0,1,0,false,1,0,false
auto-updater,"""auto-updater""",0,0,0,6,1,1,false,1,5,true
lark-minutes,"""lark-minutes""",0,0,0,0,0,0,false,1,0,false
baidu-search,"""baidu-search""",0,0,0,0,0,0,false,1,0,false
