skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered,x_raw_7d,x_filtered,judge_model
find-skills,"""find-skills""",0,1,1,1,141,8,false,1,37,true,15,true,typesafe/jev-1.13
self-improving-agent,"""self-improving-agent""",0,0,1,1,3,42,false,3,1787,true,54,true,typesafe/jev-1.13
grill-me,"""grill-me""",5,6,5,12,29,76,false,5,3282,true,98,true,typesafe/jev-1.13
skill-vetter,"""skill-vetter""",0,0,0,0,1,0,false,1,0,false,0,false,
grill-with-docs,"""grill-with-docs""",0,0,2,2,3,12,false,2,487,true,23,true,typesafe/jev-1.13
self-improving,"""self-improving""",1,7,28,166,10,66,true,5,3546,true,100,true,typesafe/jev-1.13
improve-codebase-architecture,"""improve-codebase-architecture""",0,0,0,0,0,1,false,1,0,false,1,true,typesafe/jev-1.13
github,"""github"" skill",0,183,4,91,743,0,true,5,0,true,99,true,typesafe/jev-1.13
tdd,"""tdd"" skill",0,1,3,3,33,37,true,5,133,true,100,true,typesafe/jev-1.13
ontology,"""ontology"" skill",0,1,0,0,2,54,true,5,1522,true,100,true,typesafe/jev-1.13
agent-browser,"""agent-browser""",4,4,13,14,24,71,true,5,669,true,100,true,typesafe/jev-1.13
gog,"""gog"" skill",0,0,0,2,3,5,false,1,296,true,11,true,typesafe/jev-1.13
frontend-design,"""frontend-design""",3,4,3,7,49,39,false,4,1308,true,64,true,typesafe/jev-1.13
skillscan,"""skillscan"" skill",0,0,0,0,0,0,false,1,0,false,0,false,
setup-matt-pocock-skills,"""setup-matt-pocock-skills""",0,0,0,0,4,0,false,1,0,false,1,true,typesafe/jev-1.13
proactive-agent,"""proactive-agent""",0,0,0,0,1,32,false,2,133,false,34,true,typesafe/jev-1.13
handoff,"""handoff"" skill",2,5,1,5,157,64,true,5,56,true,100,true,typesafe/jev-1.13
weather,"""weather"" skill",0,11,0,6,8,5,true,5,17,true,100,true,typesafe/jev-1.13
triage,"""triage"" skill",1,7,2,5,157,46,true,5,487,true,100,true,typesafe/jev-1.13
multi-search-engine,"""multi-search-engine""",0,0,0,1,1,0,false,1,0,true,1,true,typesafe/jev-1.13
prototype,"""prototype"" skill",0,13,0,2,35,2,true,5,2,true,100,true,typesafe/jev-1.13
agent-browser-clawdbot,"""agent-browser-clawdbot""",0,0,0,0,0,0,false,1,0,false,0,false,
grilling,"""grilling"" skill",0,1,0,0,28,27,false,2,186,true,39,true,typesafe/jev-1.13
admapix,"""admapix"" skill",0,0,0,0,0,0,false,1,0,false,0,false,
vercel-react-best-practices,"""vercel-react-best-practices""",0,0,0,0,14,0,false,1,0,false,0,false,
humanizer,"""humanizer"" skill",1,3,0,0,15,44,false,4,2138,true,67,true,typesafe/jev-1.13
lark-doc,"""lark-doc""",0,0,0,0,0,0,false,1,0,false,0,false,
nano-pdf,"""nano-pdf""",0,0,0,0,0,1,false,1,0,false,1,true,typesafe/jev-1.13
lark-base,"""lark-base""",0,0,0,0,0,0,false,1,0,false,0,false,
obsidian,"""obsidian"" skill",0,5,0,4,19,19,true,5,124,true,100,true,typesafe/jev-1.13
lark-drive,"""lark-drive""",0,0,0,0,0,0,false,1,0,false,0,false,
nano-banana-pro,"""nano-banana-pro""",1,1,5,8,1,14,false,2,253,true,28,true,typesafe/jev-1.13
lark-shared,"""lark-shared""",0,0,0,0,0,0,false,1,0,false,0,false,
openclaw-tavily-search,"""openclaw-tavily-search""",0,0,0,0,0,0,false,1,0,false,0,false,
lark-im,"""lark-im""",0,0,0,0,0,0,false,1,0,false,0,false,
notion,"""notion"" skill",1,14,0,6,14,6,true,5,174,true,100,true,typesafe/jev-1.13
lark-approval,"""lark-approval""",0,0,0,0,0,0,false,1,0,false,0,false,
skill-creator,"""skill-creator""",0,0,1,4,105,56,false,5,2044,true,80,true,typesafe/jev-1.13
lark-calendar,"""lark-calendar""",0,0,0,0,0,0,false,1,0,false,0,false,
pollyreach,"""pollyreach"" skill",0,0,0,0,0,1,false,1,0,false,1,true,typesafe/jev-1.13
lark-sheets,"""lark-sheets""",0,0,0,0,0,0,false,1,0,false,0,false,
auto-updater,"""auto-updater""",0,0,3,11,0,0,false,1,0,true,2,true,typesafe/jev-1.13
lark-wiki,"""lark-wiki""",0,0,0,0,0,1,false,1,0,false,1,true,typesafe/jev-1.13
word-docx,"""word-docx""",0,0,0,1,0,0,false,1,0,true,1,true,typesafe/jev-1.13
lark-contact,"""lark-contact""",0,0,0,0,0,0,false,1,0,false,0,false,
baidu-search,"""baidu-search""",0,0,0,2,0,0,false,1,0,true,0,false,typesafe/jev-1.13
lark-slides,"""lark-slides""",0,0,0,0,0,0,false,1,0,false,0,false,
evolver,"""evolver"" skill",0,0,0,0,1,2,false,1,64,false,8,true,typesafe/jev-1.13
lark-task,"""lark-task""",0,0,0,0,0,0,false,1,0,false,0,false,
sonoscli,"""sonoscli"" skill",0,0,0,0,0,0,false,1,0,false,0,false,
lark-mail,"""lark-mail""",0,0,0,0,0,,false,,,false,,false,
openai-whisper,"""openai-whisper""",0,0,0,0,0,,false,,,false,,false,
lark-minutes,"""lark-minutes""",0,0,0,0,0,,false,,,false,,false,
api-gateway,"""api-gateway""",0,3,0,63,2,,false,,,true,,false,typesafe/jev-1.13
lark-event,"""lark-event""",0,0,0,0,0,,false,,,false,,false,
prismfy-search,"""prismfy-search""",0,0,0,0,0,,false,,,false,,false,
lark-whiteboard,"""lark-whiteboard""",0,0,0,0,0,,false,,,false,,false,
automation-workflows,"""automation-workflows""",0,0,1,31,2,,false,,,true,,false,typesafe/jev-1.13
lark-attendance,"""lark-attendance""",0,0,0,0,0,,false,,,false,,false,
excel-xlsx,"""excel-xlsx""",0,0,0,2,0,,false,,,true,,false,typesafe/jev-1.13
lark-openapi-explorer,"""lark-openapi-explorer""",0,0,0,0,0,,false,,,false,,false,
feishu-evolver-wrapper,"""feishu-evolver-wrapper""",0,0,0,0,0,,false,,,false,,false,
lark-skill-maker,"""lark-skill-maker""",0,0,0,0,0,,false,,,false,,false,
browser-use,"""browser-use""",2,5,27,34,4,,false,,,true,,false,typesafe/jev-1.13
lark-vc,"""lark-vc""",0,0,0,0,0,,false,,,false,,false,
agent-phone-call,"""agent-phone-call""",0,0,0,0,0,,false,,,false,,false,
lark-workflow-meeting-summary,"""lark-workflow-meeting-summary""",0,0,0,0,0,,false,,,false,,false,
free-ride,"""free-ride""",0,2,0,174,0,,false,,,true,,false,typesafe/jev-1.13
lark-workflow-standup-report,"""lark-workflow-standup-report""",0,0,0,0,0,,false,,,false,,false,
mcporter,"""mcporter"" skill",0,0,0,0,1,,false,,,false,,false,
lark-okr,"""lark-okr""",0,0,0,0,0,,false,,,false,,false,
