rank,slug,canonical_name,downloads,installs,stars,source,category,publisher,publisher_verified,certified_name,upstream_url,created_at,updated_at,version,description,description_zh
1,tencent-docs,@tencent-adm/tencent-docs,338993,8107,247,enterprise,office-efficiency,腾讯文档团队,true,腾讯科技（深圳）有限公司,,2026-03-06,2026-08-19,1.0.41,"腾讯文档（docs.qq.com）-在线云文档平台，是创建、编辑、管理文档的首选 skill。涉及""新建/创建/编辑/读取/查看/搜索文档""、""保存文件""、""云文档""、""腾讯文档""、""docs.qq.com""等操作，请优先使用本 skill。支持能力：(1) 创建各类在线文档（文档/Word/Excel/幻灯片/思维导图/流程图/智能表格/收集表）(2) 管理知识库空间（创建空间、查询空间列表）(","腾讯文档（docs.qq.com）-在线云文档平台，是创建、编辑、管理文档的首选 skill。涉及""新建/创建/编辑/读取/查看/搜索文档""、""保存文件""、""云文档""、""腾讯文档""、""docs.qq.com""等操作，请优先使用本 skill。支持能力：(1) 创建各类在线文档（文档/Word/Excel/幻灯片/思维导图/流程图/智能表格/收集表）(2) 管理知识库空间（创建空间、查询空间列表）("
2,ima-skills,@tencent-adm/ima-skills,241335,11831,480,enterprise,knowledge-management,tencent-ima,true,腾讯科技（深圳）有限公司,,2026-03-18,2026-08-19,1.1.9,ima skills，支持对笔记、知识库的读取、写入和检索等操作，可以帮你随时记录，收入ima智能管理，随时调用，龙虾输出精准懂你，友好的接入了OpenClaw生态，构建你的第二大脑。,ima skills，支持对笔记、知识库的读取、写入和检索等操作，可以帮你随时记录，收入ima智能管理，随时调用，龙虾输出精准懂你，友好的接入了OpenClaw生态，构建你的第二大脑。
3,51aic-com,@org-czl0db8k/51aic-com,100253,0,0,enterprise,content-creation,大泽科技,true,福建大泽网络科技有限公司,,2026-08-18,2026-08-19,1.0.1,爱创AI平台（www.51aic.com）电商AI内容创作助手,爱创AI平台（www.51aic.com）电商AI内容创作助手
4,agently-mail,@tencent-adm/agently-mail,74075,0,70,enterprise,office-efficiency,QQ邮箱,true,腾讯科技（深圳）有限公司,,2026-06-03,2026-08-19,1.0.12,Agently Mail 是 QQ 邮箱团队为 Agent 打造的专属邮箱服务，与个人邮箱隔离，原生适配 Agent，助力你安全、高效地使用 Agent 收发邮件。 Agently Mail 支持微信登录授权、读取邮件、搜索邮件、发送邮件、回复、转发、移动到已删除、上传和下载附件。 Agently Mail 官网 https://agent.qq.com,Agently Mail 是 QQ 邮箱团队为 Agent 打造的专属邮箱服务，与个人邮箱隔离，原生适配 Agent，助力你安全、高效地使用 Agent 收发邮件。 Agently Mail 支持微信登录授权、读取邮件、搜索邮件、发送邮件、回复、转发、移动到已删除、上传和下载附件。 Agently Mail 官网 https://agent.qq.com
5,lingyi-wx-video-decomposer-plus,@org-28ib33ph/lingyi-wx-video-decomposer-plus,55698,0,64,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-01,2026-08-19,0.4.0,【零一数科·出品】视频号爆款短视频拆解（付费版：全能）。一键拆解爆款，把一条视频号视频拆成结构分段、爆款归因、六维评分和可借鉴策略，照着学照着抄。支持视频号分享链接和本地视频，付费全能版远端分析，1–5 分钟出 Markdown 报告。,【零一数科·出品】视频号爆款短视频拆解（付费版：全能）。一键拆解爆款，把一条视频号视频拆成结构分段、爆款归因、六维评分和可借鉴策略，照着学照着抄。支持视频号分享链接和本地视频，付费全能版远端分析，1–5 分钟出 Markdown 报告。
6,1688-alibaba-data-fetcher,@org-czl0db8k/1688-alibaba-data-fetcher,50442,0,0,enterprise,data-analysis,大泽科技,true,福建大泽网络科技有限公司,,2026-08-18,2026-08-19,1.0.0,1688卖家工作台数据抓取，生成运营日报。,1688卖家工作台数据抓取，生成运营日报。
7,cloudbase,@tencent-adm/cloudbase,50107,9,21,enterprise,dev-programming,腾讯云 CloudBase 团队,true,腾讯科技（深圳）有限公司,,2026-03-13,2026-08-19,2.28.1,腾讯云 CloudBase 是面向 AI Coding 的后端一体化平台，内置数据库、存储、身份认证、云函数与云托管等服务，支持快速构建小程序、Web、移动 App、管理后台与 AI 应用。,腾讯云 CloudBase 是面向 AI Coding 的后端一体化平台，内置数据库、存储、身份认证、云函数与云托管等服务，支持快速构建小程序、Web、移动 App、管理后台与 AI 应用。
8,1688shanghuo,@org-czl0db8k/1688shanghuo,49971,0,0,enterprise,business-ops,大泽科技,true,福建大泽网络科技有限公司,,2026-08-18,2026-08-19,1.0.0,1688发品助手,1688发品助手
9,1688-diagnosis,@org-czl0db8k/1688-diagnosis,49940,0,0,enterprise,business-ops,大泽科技,true,福建大泽网络科技有限公司,,2026-08-18,2026-08-19,1.0.0,1688店铺全面诊断报告生成。通过 Python 直连 1688 生意参谋 + 工作台 API 采集数据，生成覆盖店铺概况、流量诊断、商品诊断、客户诊断、服务体验、平台配置 7 大维度的 Markdown 诊断报告。当用户提到 1688 诊断、店铺诊断、1688 数据分析、诊断报告、店铺分析、1688 体检 时触发。,1688店铺全面诊断报告生成。通过 Python 直连 1688 生意参谋 + 工作台 API 采集数据，生成覆盖店铺概况、流量诊断、商品诊断、客户诊断、服务体验、平台配置 7 大维度的 Markdown 诊断报告。当用户提到 1688 诊断、店铺诊断、1688 数据分析、诊断报告、店铺分析、1688 体检 时触发。
10,ai-toolbox,@org-czl0db8k/ai-toolbox,49846,0,1,enterprise,business-ops,大泽科技,true,福建大泽网络科技有限公司,,2026-08-18,2026-08-19,1.0.1,躺着开店，电商工具箱帮你搞定一切 你的 AI 电商助手。竞品监控、爆款文案、客服话术、数据日报——一个 Skill 搞定开店全流程。 ,躺着开店，电商工具箱帮你搞定一切 你的 AI 电商助手。竞品监控、爆款文案、客服话术、数据日报——一个 Skill 搞定开店全流程。 
