view,rank,source,name,installs,is_official,installs_yesterday,change,weekly_installs
all-time,1,vercel-labs/skills,find-skills,2980173,true,,,113781|109199|109085|115475|107969|101120|96861|93130
all-time,2,mattpocock/skills,grill-me,876468,false,,,47001|49104|70968|69550|67971|64738|75922|65802
all-time,3,anthropics/skills,frontend-design,784427,true,,,27857|26134|28120|26218|24780|26152|25773|24760
all-time,4,mattpocock/skills,grill-with-docs,745549,false,,,41746|42976|65694|62173|58257|55615|66362|55776
all-time,5,mattpocock/skills,improve-codebase-architecture,718883,false,,,39159|39485|61006|57135|53247|50835|63780|54240
all-time,6,mattpocock/skills,tdd,694839,false,,,37176|40327|61196|55148|52117|49935|63627|52249
all-time,7,vercel-labs/agent-browser,agent-browser,686729,true,,,21902|20807|24138|22802|20921|33671|33224|36656
all-time,8,mattpocock/skills,setup-matt-pocock-skills,639283,false,,,35407|37202|59451|53087|50039|48211|61714|49250
all-time,9,vercel-labs/agent-skills,vercel-react-best-practices,637338,true,,,16815|17535|19037|17378|17502|18943|18816|17464
all-time,10,mattpocock/skills,handoff,603058,false,,,37303|38551|59444|55388|51795|48113|58162|48859
all-time,11,mattpocock/skills,triage,599718,false,,,33465|34205|54797|50072|47121|45268|58240|47409
all-time,12,mattpocock/skills,prototype,587460,false,,,33997|36047|57724|51902|48526|47077|60846|48412
all-time,13,open.feishu.cn,lark-doc,581742,false,,,44134|46563|39893|43803|42324|37271|33810|31236
all-time,14,open.feishu.cn,lark-base,581604,false,,,44110|46552|39863|43796|42297|37239|33798|31249
all-time,15,open.feishu.cn,lark-approval,581602,false,,,44133|46544|39875|43769|42291|37232|33745|31090
all-time,16,open.feishu.cn,lark-drive,581361,false,,,44097|46526|39854|43770|42305|37238|33779|31172
all-time,17,open.feishu.cn,lark-shared,581241,false,,,44094|46514|39819|43772|42295|37234|33772|31157
all-time,18,open.feishu.cn,lark-calendar,581163,false,,,44088|46529|39836|43746|42258|37203|33729|31126
all-time,19,open.feishu.cn,lark-im,581139,false,,,44076|46512|39833|43748|42267|37208|33753|31136
all-time,20,open.feishu.cn,lark-contact,580994,false,,,44091|46518|39842|43728|42247|37196|33713|31057
all-time,21,open.feishu.cn,lark-sheets,580874,false,,,44051|46500|39812|43725|42248|37202|33736|31121
all-time,22,open.feishu.cn,lark-wiki,580822,false,,,44063|46481|39803|43720|42276|37223|33717|31136
all-time,23,open.feishu.cn,lark-event,580714,false,,,44061|46479|39798|43706|42220|37168|33712|31052
all-time,24,open.feishu.cn,lark-attendance,580708,false,,,44056|46480|39815|43721|42218|37142|33674|31024
all-time,25,open.feishu.cn,lark-minutes,580681,false,,,44050|46467|39796|43714|42216|37154|33708|31100
all-time,26,open.feishu.cn,lark-openapi-explorer,580601,false,,,44050|46459|39794|43716|42231|37180|33684|31037
all-time,27,open.feishu.cn,lark-whiteboard,580597,false,,,44055|46471|39800|43723|42232|37159|33701|31069
all-time,28,open.feishu.cn,lark-mail,580540,false,,,44049|46461|39793|43698|42213|37131|33671|31034
all-time,29,open.feishu.cn,lark-task,580538,false,,,44041|46446|39778|43690|42222|37170|33674|31072
all-time,30,open.feishu.cn,lark-slides,580429,false,,,44026|46439|39774|43688|42218|37157|33681|31074
all-time,31,open.feishu.cn,lark-skill-maker,580362,false,,,44031|46445|39775|43690|42200|37151|33673|31012
all-time,32,open.feishu.cn,lark-vc,580310,false,,,44023|46440|39764|43673|42196|37145|33664|31060
all-time,33,open.feishu.cn,lark-workflow-meeting-summary,580160,false,,,44006|46434|39755|43669|42216|37127|33631|30994
all-time,34,open.feishu.cn,lark-workflow-standup-report,580149,false,,,44010|46418|39754|43667|42210|37137|33648|31001
all-time,35,open.feishu.cn,lark-okr,561236,false,,,44039|46440|39773|43691|42183|37119|33627|31014
all-time,36,vercel-labs/agent-skills,web-design-guidelines,547800,true,,,15940|17172|18625|16615|16429|18456|18715|18063
all-time,37,open.feishu.cn,lark-markdown,546380,false,,,44062|46476|39818|43726|42236|37191|33693|31059
all-time,38,microsoft/azure-skills,microsoft-foundry,532966,true,,,13388|12104|16172|16805|17545|16759|16823|16117
all-time,39,microsoft/azure-skills,azure-diagnostics,527119,true,,,13189|11865|15912|16576|17293|16428|16308|15389
all-time,40,microsoft/azure-skills,azure-ai,526841,true,,,13214|11849|15888|16560|17111|16417|16165|15011
all-time,41,microsoft/azure-skills,azure-deploy,526764,true,,,13203|11882|15923|16592|17119|16395|16139|15267
all-time,42,microsoft/azure-skills,azure-prepare,526568,true,,,13174|11842|15872|16531|17273|16404|16114|15245
all-time,43,microsoft/azure-skills,azure-validate,526279,true,,,13168|11832|15867|16527|17299|16527|16330|15239
all-time,44,microsoft/azure-skills,azure-storage,525779,true,,,13168|11827|15867|16526|17092|16350|16132|14994
all-time,45,microsoft/azure-skills,entra-app-registration,525522,true,,,13172|11827|15874|16529|17252|16403|16119|14985
all-time,46,microsoft/azure-skills,appinsights-instrumentation,525291,true,,,13159|11819|15867|16528|17111|16383|16130|14987
all-time,47,microsoft/azure-skills,azure-resource-lookup,525204,true,,,13153|11822|15861|16517|17142|16362|16117|14989
all-time,48,microsoft/azure-skills,azure-compliance,525149,true,,,13154|11822|15864|16521|17071|16376|16120|14978
all-time,49,microsoft/azure-skills,azure-aigateway,525007,true,,,13149|11817|15861|16521|17064|16365|16103|14973
all-time,50,open.feishu.cn,lark-vc-agent,525005,false,,,43993|46393|39749|43660|42186|37116|33626|31027
all-time,51,microsoft/azure-skills,azure-kusto,524928,true,,,13147|11814|15857|16512|17067|16353|16100|14974
all-time,52,microsoft/azure-skills,azure-resource-visualizer,524886,true,,,13147|11820|15858|16512|17065|16315|16102|14980
all-time,53,microsoft/azure-skills,azure-messaging,514660,true,,,13132|11813|15851|16511|17067|16345|16100|14969
all-time,54,open.feishu.cn,lark-apps,490320,false,,,44042|46460|39806|43726|42220|37125|33728|31176
all-time,55,microsoft/azure-skills,azure-rbac,482029,true,,,13150|11820|15863|15682|9640|5611|4296|3111
all-time,56,remotion-dev/skills,remotion-best-practices,481768,true,,,13206|12578|12520|11899|12908|12943|11512|9965
all-time,57,microsoft/azure-skills,azure-compute,468737,true,,,13083|11781|15822|16474|17210|16370|16074|14941
all-time,58,mattpocock/skills,teach,467343,false,,,36461|36713|54849|51641|48523|44668|53989|44680
all-time,59,mattpocock/skills,grilling,459328,false,,,37017|39688|61842|58599|55459|53982|69023|57496
all-time,60,microsoft/azure-skills,azure-cloud-migrate,458401,true,,,13064|11759|15802|16457|17019|16328|16060|14929
all-time,61,juliusbrussee/caveman,caveman,438437,false,,,21190|25867|24617|20979|20098|19330|19856|14854
all-time,62,microsoft/azure-skills,azure-hosted-copilot-sdk,434942,true,,,13114|11801|12958|7749|4839|3499|2952|2233
all-time,63,mattpocock/skills,domain-modeling,421649,false,,,35158|36870|57201|54357|51253|49730|60145|52076
all-time,64,larksuite/cli,lark-doc,415857,false,,,28624|29279|30930|30616|13050|9977|8764|8078
all-time,65,larksuite/cli,lark-base,414142,false,,,28472|29149|30718|30598|12935|9954|8660|7977
all-time,66,larksuite/cli,lark-shared,412986,false,,,28399|29173|30739|30569|12836|9865|8580|7907
all-time,67,larksuite/cli,lark-drive,412673,false,,,28458|29100|30742|30551|12855|9820|8428|7697
all-time,68,larksuite/cli,lark-im,412574,false,,,28431|29082|30648|30467|12789|9698|8385|7641
all-time,69,larksuite/cli,lark-wiki,411450,false,,,28298|28976|30712|30459|12836|9738|8410|7771
all-time,70,lllllllama/rigorpilot-skills,paper-context-resolver,411286,false,,,18900|20543|22298|26744|25118|11191|32245|50275
all-time,71,larksuite/cli,lark-sheets,411213,false,,,28355|29041|30612|30454|12719|9740|8467|7781
all-time,72,larksuite/cli,lark-whiteboard,410823,false,,,28337|28999|30629|30417|12771|9668|8299|7586
all-time,73,lllllllama/rigorpilot-skills,repo-intake-and-plan,410596,false,,,18858|20520|22259|26714|25102|11173|32230|50247
all-time,74,lllllllama/rigorpilot-skills,minimal-run-and-audit,410521,false,,,18847|20520|22254|26708|25092|11172|32229|50250
all-time,75,lllllllama/rigorpilot-skills,env-and-assets-bootstrap,410512,false,,,18852|20514|22250|26715|25092|11166|32229|50245
all-time,76,larksuite/cli,lark-task,410464,false,,,28320|28969|30612|30416|12731|9686|8262|7598
all-time,77,mattpocock/skills,codebase-design,410134,false,,,34335|35367|55119|52647|49482|47700|60375|50766
all-time,78,larksuite/cli,lark-calendar,409884,false,,,28199|28897|30549|30393|12563|9428|8078|7410
all-time,79,larksuite/cli,lark-mail,408713,false,,,28185|28833|30504|30252|12454|9266|8059|7288
all-time,80,larksuite/cli,lark-minutes,408558,false,,,28146|28871|30514|30277|12468|9271|8027|7348
all-time,81,larksuite/cli,lark-vc,408471,false,,,28140|28836|30482|30217|12509|9279|7976|7367
all-time,82,larksuite/cli,lark-event,408319,false,,,28169|28865|30446|30248|12524|9289|8031|7308
all-time,83,larksuite/cli,lark-contact,407999,false,,,28120|28909|30467|30230|12440|9313|8022|7296
all-time,84,larksuite/cli,lark-workflow-meeting-summary,407513,false,,,28138|28836|30433|30202|12424|9253|7936|7228
all-time,85,larksuite/cli,lark-workflow-standup-report,406957,false,,,28092|28802|30399|30176|12409|9236|7922|7220
all-time,86,larksuite/cli,lark-openapi-explorer,406741,false,,,28074|28783|30373|30159|12391|9229|7891|7212
all-time,87,larksuite/cli,lark-skill-maker,406520,false,,,28060|28773|30353|30146|12384|9227|7878|7206
all-time,88,prime-skills/runcomfy-agent-skills,video-edit,404374,false,,,40833|41126|32902|3365|3015|3035|2944|3867
all-time,89,mattpocock/skills,diagnosing-bugs,404206,false,,,34098|35003|54567|51571|48632|46765|59214|49914
all-time,90,prime-skills/runcomfy-agent-skills,image-to-video,402916,false,,,40433|40824|32737|3341|2999|3022|2940|3789
all-time,91,prime-skills/runcomfy-agent-skills,nano-banana-2,402653,false,,,40798|40823|33174|3201|2995|3028|2932|3748
all-time,92,prime-skills/runcomfy-agent-skills,nano-banana-edit,402361,false,,,40726|40914|32925|3194|2997|3020|2930|3708
all-time,93,prime-skills/runcomfy-agent-skills,image-edit,402256,false,,,40468|40540|32887|3198|2999|3021|2936|3778
all-time,94,prime-skills/runcomfy-agent-skills,flux-kontext,402155,false,,,40642|40531|33109|3168|2994|3020|2933|3704
all-time,95,prime-skills/runcomfy-agent-skills,wan-2-7,401619,false,,,40412|40767|32715|3352|2994|3021|2931|3704
all-time,96,prime-skills/runcomfy-agent-skills,gpt-image-edit,401449,false,,,40578|40798|32787|3185|2993|3019|2932|3705
all-time,97,prime-skills/runcomfy-agent-skills,seedance-v2,401439,false,,,40194|40781|32828|3364|2995|3022|2932|3707
all-time,98,prime-skills/runcomfy-agent-skills,happyhorse-1-0,401410,false,,,40171|40740|32782|3326|2994|3020|2931|3701
all-time,99,prime-skills/runcomfy-agent-skills,flux-2-klein,401239,false,,,40718|40603|32890|3210|2994|3023|2932|3704
all-time,100,microsoft/azure-skills,azure-quotas,394989,true,,,13002|11700|15764|16405|17003|16256|16011|15155
all-time,101,heygen-com/hyperframes,hyperframes-cli,391917,false,,,31091|27892|30378|49284|39233|42582|28363|38236
all-time,102,microsoft/azure-skills,azure-upgrade,387201,true,,,13002|11702|15762|16398|17016|16246|16006|14887
all-time,103,larksuite/cli,lark-approval,381651,false,,,28153|28866|30452|30238|12478|9286|7972|7262
all-time,104,heygen-com/hyperframes,hyperframes,380962,false,,,31617|28260|31048|43568|37026|39553|27453|34140
all-time,105,prime-skills/runcomfy-agent-skills,kling-3-0,378336,false,,,40324|40654|32803|3353|2996|3022|2933|3735
all-time,106,mattpocock/skills,ask-matt,376766,false,,,32003|33691|52427|48409|45660|42586|55243|44321
all-time,107,mattpocock/skills,implement,368571,false,,,21009|29791|55947|51986|48810|45430|55168|45552
all-time,108,leonxlnx/taste-skill,design-taste-frontend,367142,false,,,23159|26204|28201|22203|21764|22212|26808|24487
all-time,109,prime-skills/runcomfy-agent-skills,codex-pet,366722,false,,,40684|40661|32841|3208|3001|3026|2938|3725
all-time,110,open.feishu.cn,lark-note,364803,false,,,44087|46473|39780|43705|42189|37151|33669|31051
all-time,111,mattpocock/skills,to-prd,364468,false,,,36489|37819|20213|2268|1392|1347|2031|1235
all-time,112,larksuite/cli,lark-slides,361928,false,,,28176|28854|30475|30269|12543|9387|8067|7365
all-time,113,microsoft/azure-skills,azure-enterprise-infra-planner,361330,true,,,13004|11699|15756|16402|17041|16276|16011|14897
all-time,114,larksuite/cli,lark-attendance,359653,false,,,28043|28771|30358|30138|12385|9221|7876|7198
all-time,115,microsoft/azure-skills,azure-kubernetes,354458,true,,,13002|11702|15763|16406|17012|16273|16009|15162
all-time,116,anthropics/skills,skill-creator,353652,true,,,10775|10292|9599|8985|8677|8627|8460|7468
all-time,117,mattpocock/skills,to-issues,351545,false,,,35364|36743|20807|2184|1324|1287|1968|1205
all-time,118,supabase/agent-skills,supabase-postgres-best-practices,351479,true,,,11919|12353|14539|12589|12100|14155|15410|13399
