rank,platform,vendor,skills_count,tracked_skills,total_installs_or_downloads,featured_skill
1,skills.sh,microsoft,582,582,7098914,
2,skills.sh,vercel-labs,252,252,3192303,
3,skills.sh,github,406,406,2002122,
4,skills.sh,anthropics,605,605,1942412,
5,skills.sh,firebase,55,55,685617,
6,skills.sh,firecrawl,286,286,482310,
7,skills.sh,nvidia,1055,1055,427452,
8,skills.sh,remotion-dev,19,19,305359,
9,skills.sh,flutter,88,88,286211,
10,skills.sh,expo,18,18,283306,
11,skills.sh,google-labs-code,30,30,260907,
12,skills.sh,supabase,17,17,250512,
13,skills.sh,better-auth,13,13,133782,
14,skills.sh,aws,99,99,113497,
15,skills.sh,vercel,131,131,112417,
16,skills.sh,langchain-ai,86,86,94506,
17,skills.sh,cloudflare,138,138,93513,
18,skills.sh,tavily-ai,20,20,93057,
19,skills.sh,getsentry,302,302,88331,
20,skills.sh,clerk,31,31,82192,
21,skills.sh,browser-use,11,11,79585,
22,skills.sh,openai,278,278,73063,
23,skills.sh,shopify,37,37,70113,
24,skills.sh,parallel-web,16,16,67261,
25,skills.sh,apify,38,38,54042,
26,skills.sh,prisma,95,95,40464,
27,skills.sh,callstackincubator,21,21,39322,
28,skills.sh,rivet-dev,11,11,37606,
29,skills.sh,neondatabase,22,22,37006,
30,skills.sh,google-gemini,29,29,35404,
31,skills.sh,mcp-use,6,6,30083,
32,skills.sh,resend,13,13,28119,
33,skills.sh,apollographql,15,15,24832,
34,skills.sh,hashicorp,74,74,24470,
35,skills.sh,figma,25,25,23396,
36,skills.sh,launchdarkly,68,68,22672,
37,skills.sh,coinbase,29,29,22509,
38,skills.sh,mongodb,9,9,21712,
39,skills.sh,mastra-ai,19,19,21356,
40,skills.sh,elevenlabs,12,12,20074,
41,clawhub,steipete,60,45,2266447,
42,clawhub,mvanhorn,11,3,26707,
43,clawhub,heygen-com,23,1,10125,
44,clawhub,sdk-team,300,1,8224,
45,skillhub-cn,腾讯科技（深圳）有限公司,109,109,2569270,tencent-docs
46,skillhub-cn,乐萱同行科技（深圳）有限公司,119,119,1835953,beatra
47,skillhub-cn,零一裂变（深圳）科技有限公司,43,43,1772920,lingyi-wx-video-decomposer-plus
48,skillhub-cn,成都智创未来教育管理合伙企业（有限合伙）,51,51,1171960,multi-search-engine
49,skillhub-cn,精英量界（武汉）工程管理有限公司,34,34,999809,bid-data-radar-ai-query
50,skillhub-cn,武汉览山科技有限公司,27,27,869561,lskj-recommend
51,skillhub-cn,昆明秀派科技有限公司,77,77,517140,handwritten-newspaper-template-generator-showapi
52,skillhub-cn,北京达维时代科技有限公司,21,21,447977,gongwenxiezuo
53,skillhub-cn,上海钢联电子商务股份有限公司,6,6,360677,mysteel-datasearch
54,skillhub-cn,上海劳希科技有限公司,16,16,354450,ppt-craft-master
55,skillhub-cn,重庆维普朗润数据科技有限公司,2,2,303444,luhe-paper-free-pro
56,skillhub-cn,北京百炼智能科技有限公司,12,12,189158,biaoshu-bailian
57,skillhub-cn,世舶科技（武汉）有限公司,12,12,153081,sbkj
58,skillhub-cn,四川省熵衍震乾信息技术咨询服务有限公司,2,2,125332,gongwen-writting-2
59,skillhub-cn,昆仑增长（深圳）技术有限公司,66,66,111254,excel
60,skillhub-cn,上海智雨千泽科技有限公司,51,51,109519,corporate-legal
61,skillhub-cn,江苏天好富兴数据技术有限公司,2,2,102113,telehot-bid-compliance-check
62,skillhub-cn,北京喜鹊云智科技有限公司,1,1,55008,xique-ai
63,skillhub-cn,惠州顺视智能科技有限公司,4,4,52549,cad-design-and-drafting
64,skillhub-cn,上海逢俞网络科技有限公司,1,1,38479,fengyupentest
65,skillhub-cn,深圳市聚星瀚贸易有限公司,1,1,32231,omni-viral-video-deconstruction
66,skillhub-cn,万得信息技术股份有限公司,21,21,31081,alice-financial-copilot
67,skillhub-cn,莆田市星华智联科技有限公司,11,11,30598,ixhlink-skills-image-edit
68,skillhub-cn,红狐数据,17,17,25574,douyin-account-diagnosis-redfox
69,skillhub-cn,泛微网络科技股份有限公司,19,19,25297,weaver-e9-builder
70,skillhub-cn,湖南天创数智科技有限公司,3,3,25268,qingxi-skill-01
71,skillhub-cn,北京极睿科技有限责任公司,7,7,22888,video-generation
72,skillhub-cn,上海恒生聚源数据服务有限公司,17,17,20874,jy-newspublicopinion-risk-warning
73,skillhub-cn,南京罗斯蒙德信息科技有限公司,7,7,20699,rosemond-contract-compliance
74,skillhub-cn,浙江同花顺网络科技有限公司,1,1,20484,hithink-finance
