rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,trending_rank_skillssh,weekly_recent,weekly_prev,growth_pct,data_source
1,ai-video-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,216340,1,158346,14114,,skills.sh-trending
2,ai-image-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,216182,2,158213,14124,,skills.sh-trending
3,ai-avatar-video,skills.sh,skills-101,skills-101/superpowers,,single,,,216108,3,158150,14114,,skills.sh-trending
4,twitter-automation,skills.sh,skills-101,skills-101/superpowers,,single,,,216003,4,158049,14114,,skills.sh-trending
5,ai-music,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,65436,5,30205,0,,skills.sh-trending
6,video-edit,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,65631,6,30348,0,,skills.sh-trending
7,ai-video-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,66002,7,30425,0,,skills.sh-trending
8,ai-image-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,65732,8,30291,0,,skills.sh-trending
9,anti-ui-slop,skills.sh,uizze.com,uizze.com,,single,,,366302,9,119426,106826,11.8,skills.sh-trending
10,image-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,65820,10,30420,0,,skills.sh-trending
11,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,3006129,11,93130,96861,-3.9,skills.sh-trending
12,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,895875,12,65802,75922,-13.3,skills.sh-trending
13,reddit-automation,skills.sh,flowkit-labs,flowkit-labs/skills,,single,,,41995,13,19531,0,,skills.sh-trending
14,grilling,skills.sh,mattpocock,mattpocock/skills,,single,,,476172,14,57496,69023,-16.7,skills.sh-trending
15,analyze-project,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,288820,15,50275,32243,55.9,skills.sh-trending
16,safe-debug,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,288437,16,50255,32225,56,skills.sh-trending
17,paper-context-resolver,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,428659,17,50275,32245,55.9,skills.sh-trending
18,ai-research-explore,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,288912,18,50300,32324,55.6,skills.sh-trending
19,ai-research-reproduction,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,288730,19,50263,32246,55.9,skills.sh-trending
20,minimal-run-and-audit,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,427887,20,50250,32229,55.9,skills.sh-trending
21,explore-code,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,288510,21,50243,32233,55.9,skills.sh-trending
22,repo-intake-and-plan,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,427961,22,50247,32230,55.9,skills.sh-trending
23,run-train,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,288380,23,50239,32221,55.9,skills.sh-trending
24,env-and-assets-bootstrap,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,427873,24,50245,32229,55.9,skills.sh-trending
25,explore-run,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,288371,25,50237,32222,55.9,skills.sh-trending
