rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,x_mentions_7d,x_truncated,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_engagement_7d,buzz_score,buzz_shared
1,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,,false,1,6,14,15,21,,0.665,true
2,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,,false,1,4,5,13,22,,0.661,true
3,browser-use,skills.sh,browser-use,browser-use/browser-use,,single,,,,false,1,12,13,19,13,,0.658,true
4,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,,false,7,12,58,72,2,,0.645,false
5,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,,false,1,1,4,7,1,,0.604,false
6,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,,false,0,0,1,1,119,,0.477,true
7,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,,false,0,4,3,36,72,,0.477,true
8,stock-analysis,clawhub,,,stock-analysis,upstream,"Analyze stocks and cryptocurrencies using Yahoo Finance data. Supports portfolio management, watchlists with alerts, dividend analysis, 8-dimension stock scoring, viral trend detection (Hot Scanner), ",利用Yahoo Finance数据深度分析股票和加密货币。支持投资组合管理、关注列表与提醒、股息分析、八维度股票评分、热门趋势扫描（热点扫描器）及谣言/早期信号检测。适用于股票分析、投资组合追踪、财报反应、加密货币监控、热门股票发现及在主流媒体前抢先获取消息。,,false,0,0,233,243,5,,0.469,false
9,brave-search,clawhub,steipete,,brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,,false,0,2,37,39,3,,0.456,false
10,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,,false,0,1,1,2,11,,0.442,true
11,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,,false,0,0,1,1,5,,0.433,false
12,api-gateway,clawhub,,,api-gateway,upstream,"Connect to external services through Maton-managed API routes. Use this skill only after the user names the target app, account, and task. Start with read/list calls when possible and follow the app-s",通过 Maton 管理的 API 路由连接外部服务；仅在用户指定目标应用、账户和任务后使用；以读取/列...,,false,0,6,24,42,1,,0.424,false
13,auto-updater,clawhub,,,auto-updater,upstream,"Automatically update Clawdbot and all installed skills once daily. Runs via cron, checks for updates, applies them, and messages the user with a summary of what changed.",每日自动更新 Clawdbot 及所有已安装技能。运行 cron 检查更新并应用，同时向用户发送变更摘要。,,false,0,0,2,13,2,,0.421,false
