rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
1,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,696674,,,75.1,0.995,0.893,0.665,,0.7,C,
2,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,791731,,,70.6,0.998,0.843,0.477,,0.7,C,
3,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,3006129,,,70.4,1,0.983,0.358,,0.7,C,
4,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,553988,,,68.9,0.973,0.835,0.433,,0.7,C,
5,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,643423,,,66.8,0.994,0.833,0.301,,0.7,C,
6,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,895875,,,66.4,0.999,0.982,0.661,,0.2,C,
7,azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,single,,,519020,,,64.9,0.961,0.77,,,0.7,C,
8,azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,single,,,529288,,,64.8,0.963,0.763,,,0.7,C,
9,azure-resource-visualizer,skills.sh,microsoft,microsoft/azure-skills,,single,,,529245,,,64.8,0.962,0.762,,,0.7,C,
10,microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,single,,,537527,,,64.7,0.972,0.788,0.26,,0.7,C,
11,azure-compute,skills.sh,microsoft,microsoft/azure-skills,,single,,,473092,,,64.7,0.957,0.768,,,0.7,C,
12,azure-cloud-migrate,skills.sh,microsoft,microsoft/azure-skills,,single,,,462751,,,64.6,0.956,0.758,,,0.7,C,
13,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,single,,,531213,,,64.5,0.97,0.777,0.262,,0.7,C,
14,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,single,,,530147,,,63.9,0.967,0.775,0.24,,0.7,C,
15,supabase-postgres-best-practices,skills.sh,supabase,supabase/agent-skills,,single,,,355946,,,63.9,0.914,0.798,,,0.7,C,
16,remotion-best-practices,skills.sh,remotion-dev,remotion-dev/skills,,single,,,484741,,,63.6,0.96,0.685,,,0.7,C,
17,azure-quotas,skills.sh,microsoft,microsoft/azure-skills,,single,,,399340,,,63.6,0.926,0.755,,,0.7,C,
18,prisma-database-setup,skills.sh,prisma,prisma/skills,,single,,,200854,,,63.5,0.842,0.92,,,0.7,C,
19,prisma-client-api,skills.sh,prisma,prisma/skills,,single,,,200186,,,63.5,0.839,0.922,,,0.7,C,
20,prisma-cli,skills.sh,prisma,prisma/skills,,single,,,198171,,,63.4,0.839,0.918,,,0.7,C,
21,azure-upgrade,skills.sh,microsoft,microsoft/azure-skills,,single,,,391530,,,63.3,0.925,0.738,,,0.7,C,
22,azure-enterprise-infra-planner,skills.sh,microsoft,microsoft/azure-skills,,single,,,365664,,,63.3,0.918,0.75,,,0.7,C,
23,azure-kubernetes,skills.sh,microsoft,microsoft/azure-skills,,single,,,358812,,,63.3,0.914,0.757,,,0.7,C,
24,prisma-postgres,skills.sh,prisma,prisma/skills,,single,,,194501,,,63.3,0.837,0.915,,,0.7,C,
25,prisma-driver-adapter-implementation,skills.sh,prisma,prisma/skills,,single,,,190262,,,63.3,0.837,0.912,,,0.7,C,
26,prisma-upgrade-v7,skills.sh,prisma,prisma/skills,,single,,,190141,,,63.2,0.836,0.91,,,0.7,C,
27,prisma-postgres-setup,skills.sh,prisma,prisma/skills,,single,,,188945,,,63.2,0.834,0.913,,,0.7,C,
28,prisma-compute,skills.sh,prisma,prisma/skills,,single,,,185553,,,63.1,0.831,0.908,,,0.7,C,
29,prisma-mongodb-upgrade,skills.sh,prisma,prisma/skills,,single,,,184327,,,63,0.83,0.907,,,0.7,C,
30,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,,474940,1113623,63,0.999,,0.604,0.829,0.2,B,
31,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,355529,,,62.8,0.912,0.493,0.477,,0.7,C,
32,azure-cost,skills.sh,microsoft,microsoft/azure-skills,,single,,,334037,,,62.7,0.898,0.753,,,0.7,C,
33,airunway-aks-setup,skills.sh,microsoft,microsoft/azure-skills,,single,,,278172,,,61.9,0.878,0.737,,,0.7,C,
34,handoff,skills.sh,mattpocock,mattpocock/skills,,single,,,616850,,,61.8,0.993,0.945,0.466,,0.2,C,
35,triage,skills.sh,mattpocock,mattpocock/skills,,single,,,613305,,,61.8,0.992,0.938,0.471,,0.2,C,
36,azure-diagnostics,skills.sh,microsoft,microsoft/azure-skills,,single,,,531516,,,61.8,0.971,0.785,0.12,,0.7,C,
37,tdd,skills.sh,mattpocock,mattpocock/skills,,single,,,709784,,,61.7,0.996,0.953,0.451,,0.2,C,
38,azure-deploy,skills.sh,microsoft,microsoft/azure-skills,,single,,,531157,,,61.7,0.97,0.783,0.12,,0.7,C,
39,azure-validate,skills.sh,microsoft,microsoft/azure-skills,,single,,,530669,,,61.7,0.968,0.782,0.12,,0.7,C,
