rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,first_seen_days,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score
1,anti-fraud,skillhub-cn,,,,single,"防骗大师.Skill:你身边的生活类防骗专家。 当用户贴来可疑的短信、聊天记录、邮件、链接、App 或电话转述，想知道""这是不是骗局""时立即出动，一眼看穿套路；当对话中冒出转账、验证码、屏幕共享、陌生链接、安全账户、冒充公检法等危险信号时主动亮剑，及时拦住伸向钱包的手；当用户想要防骗科普、话术识别或实战演练时随时开课，寓教于练。覆盖刷单返利、杀猪盘、冒充公检法、冒充客服、虚假投资、钓鱼链接、冒充老","防骗大师.Skill:你身边的生活类防骗专家。 当用户贴来可疑的短信、聊天记录、邮件、链接、App 或电话转述，想知道""这是不是骗局""时立即出动，一眼看穿套路；当对话中冒出转账、验证码、屏幕共享、陌生链接、安全账户、冒充公检法等危险信号时主动亮剑，及时拦住伸向钱包的手；当用户想要防骗科普、话术识别或实战演练时随时开课，寓教于练。覆盖刷单返利、杀猪盘、冒充公检法、冒充客服、虚假投资、钓鱼链接、冒充老",2,,,112878,0.967
2,51aic-com,skillhub-cn,福建大泽网络科技有限公司,,,single,爱创AI平台（www.51aic.com）电商AI内容创作助手,爱创AI平台（www.51aic.com）电商AI内容创作助手,1,,,100173,0.961
3,paperless-business-system-from-files,skillhub-cn,,,,single,将纸质表单对应的 Excel、CSV、Word、PDF、JSON、TXT、ZIP、电子表单或已有 Python/Web 源码，转换或升级为可填写、可查询、可导入导出、可本地/局域网部署的中文电子化业务系统。用于“根据报表或附件生成系统”“把 Excel 做成系统”“生成可运行 ZIP/完整部署包”“做成类似 V1.5.11 的局域网包”“生成服务端和 Windows 填写客户端”，以及诊断、修复、,读取用户提示词和上传的业务附件，自动识别业务类型、字段、公式、流程、权限和报表规则，生成对应的完整本地部署 Python Web 系统。支持能源、点工、生产、质量、设备、库存、审批及组合业务，并交付完整源码、SQLite 数据库、导入导出、权限审计、备份恢复和 Windows EXE 打包代码。 生产日报与班报系统 质量问题与整改闭环系统 设备点检、保养与维修系统 库存管理与采购预警系统 考勤与交,19,,,75151,0.947
4,ai-toolbox,skillhub-cn,,,,single,,你的 AI 电商助手。竞品监控、爆款文案、客服话术、数据日报——一个 Skill 搞定开店全流程。,28,,,67701,0.939
5,1688-diagnosis,skillhub-cn,,,,single,1688店铺全面诊断报告生成。通过 Python 直连 1688 生意参谋 + 工作台 API 采集数据，生成覆盖店铺概况、流量诊断、商品诊断、客户诊断、服务体验、平台配置 7 大维度的 Markdown 诊断报告。当用户提到 1688 诊断、店铺诊断、1688 数据分析、诊断报告、店铺分析、1688 体检 时触发。,AI一键生成1688店铺多维度专业诊断报告，精准定位问题并给出可执行的优化建议。,21,,,67395,0.937
6,heilongjiang-bid-analysis-shibo,skillhub-cn,,,,single,,黑龙江省招投标分析AI Agent【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含黑龙江、黑龙江省、黑、哈尔滨、齐齐哈尔、鸡西、鹤岗、双鸭山、大庆、哈尔滨新区、哈大齐工业走廊、自贸试验区黑龙江片区、对俄合作区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖黑龙江省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园,6,,,60797,0.925
7,hubei-bid-analysis-shibo,skillhub-cn,,,,single,,湖北省招投标分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含湖北、湖北省、鄂、武汉、黄石、十堰、宜昌、襄阳、鄂州、武汉都市圈、光谷、东湖高新区、长江中游城市群、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖湖北省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业采购和拟在建项目信息，分析采购方,6,,,51624,0.902
8,forestry-bid-analysis-shibo-aliyun,skillhub-cn,,,,single,【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含林业、森林、造林、苗木、绿化、林场、林草、防火、湿地、生态修复 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析林业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,林业招标采购分析【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含林业、森林、造林、苗木、绿化、林场、林草、防火、湿地、生态修复 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析林业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。#小程序://世舶API/4nhwLMLrrOR4TIq,6,,,51618,0.901
9,hong-kong-bid-analysis-shibo,skillhub-cn,,,,single,,香港特别行政区招投标分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含香港、香港特别行政区、港、Hong Kong、中西区、湾仔、东区、南区、油尖旺、深水埗、粤港澳大湾区、香港国际机场、港珠澳大桥香港口岸、北部都会区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖香港特别行政区范围内政府采购、公共资源交易、央国企招采、事业单位采购、,6,,,51209,0.9
10,catering-bid-analysis-shibo,skillhub-cn,,,,single,,餐饮业招标采购分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含餐饮、食堂、餐厅、膳食、配餐、厨房、餐厨、食品配送等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析餐饮业客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,7,,,51196,0.899
11,henan-bid-analysis-shibo,skillhub-cn,,,,single,,河南省招投标分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含河南、河南省、豫、中原、郑州、开封、洛阳、平顶山、安阳、鹤壁、郑州航空港区、中原城市群、郑洛新国家自主创新示范区、洛阳都市圈、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖河南省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业采购和,6,,,51155,0.898
12,hainan-bid-analysis-shibo,skillhub-cn,,,,single,,海南省招投标数据分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含海南、海南省、琼、自贸港、海口、三亚、三沙、儋州、五指山、琼海、海南自由贸易港、海口江东新区、三亚崖州湾科技城、洋浦经济开发区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖海南省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业,6,,,51080,0.896
13,hebei-bid-analysis-shibo,skillhub-cn,,,,single,,河北省招投标分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含河北、河北省、冀、京津冀、石家庄、唐山、秦皇岛、邯郸、邢台、保定、雄安新区、京津冀协同发展区、曹妃甸区、北戴河新区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖河北省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业采购和拟在建项目,6,,,50980,0.895
14,gansu-bid-analysis-shibo,skillhub-cn,,,,single,,甘肃省招投标分析AI Agent【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含甘肃、甘肃省、陇、兰州、嘉峪关、金昌、白银、天水、武威、兰州新区、河西走廊、丝绸之路经济带甘肃段、兰白科技创新改革试验区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖甘肃省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购,6,,,50801,0.894
