rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,trending_rank_skillssh,weekly_recent,weekly_prev,growth_pct,data_source
1,ai-video-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,195015,1,158346,14114,,skills.sh-trending
2,ai-image-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,194872,2,158213,14124,,skills.sh-trending
3,ai-avatar-video,skills.sh,skills-101,skills-101/superpowers,,single,,,194798,3,158150,14114,,skills.sh-trending
4,twitter-automation,skills.sh,skills-101,skills-101/superpowers,,single,,,194696,4,158049,14114,,skills.sh-trending
5,anti-ui-slop,skills.sh,uizze.com,uizze.com,,single,,,349558,5,119426,106826,11.8,skills.sh-trending
6,video-edit,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,48766,6,30348,0,,skills.sh-trending
7,ai-music,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,48489,7,30205,0,,skills.sh-trending
8,ai-video-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,48935,8,30425,0,,skills.sh-trending
9,image-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,48831,9,30420,0,,skills.sh-trending
10,ai-image-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,single,,,48711,10,30291,0,,skills.sh-trending
11,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,2990746,11,93130,96861,-3.9,skills.sh-trending
12,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,884624,12,65802,75922,-13.3,skills.sh-trending
13,reddit-automation,skills.sh,flowkit-labs,flowkit-labs/skills,,single,,,11051,13,,,,skills.sh-trending
14,grilling,skills.sh,mattpocock,mattpocock/skills,,single,,,466372,14,57496,69023,-16.7,skills.sh-trending
15,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,752541,15,55776,66362,-16,skills.sh-trending
16,ai-research-explore,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,279024,16,50300,32324,55.6,skills.sh-trending
17,analyze-project,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,278924,17,50275,32243,55.9,skills.sh-trending
18,safe-debug,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,278547,18,50255,32225,56,skills.sh-trending
19,paper-context-resolver,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,418770,19,50275,32245,55.9,skills.sh-trending
20,explore-code,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,278626,20,50243,32233,55.9,skills.sh-trending
21,repo-intake-and-plan,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,418077,21,50247,32230,55.9,skills.sh-trending
22,minimal-run-and-audit,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,418003,22,50250,32229,55.9,skills.sh-trending
23,env-and-assets-bootstrap,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,417991,23,50245,32229,55.9,skills.sh-trending
24,ai-research-reproduction,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,278845,24,50263,32246,55.9,skills.sh-trending
25,explore-run,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,278489,25,50237,32222,55.9,skills.sh-trending
26,run-train,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,278498,26,50239,32221,55.9,skills.sh-trending
