rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
1,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,690948,,,80.4,0.995,0.907,0.924,,0.7,C,
2,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,787412,,,75.3,0.998,0.843,0.709,,0.7,C,
3,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,2990746,,,74.5,1,0.983,0.563,,0.7,C,
4,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,884624,,,71.7,0.999,0.982,0.924,,0.2,C,
5,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,639910,,,69.5,0.994,0.837,0.43,,0.7,C,
6,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,550387,,,68.8,0.974,0.838,0.426,,0.7,C,
7,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,354409,,,67.3,0.916,0.493,0.699,,0.7,C,
8,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,752541,,,65.5,0.997,0.977,0.62,,0.2,C,
9,microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,single,,,535218,,,65.3,0.973,0.83,0.26,,0.7,C,
10,azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,single,,,527052,,,65.1,0.963,0.782,,,0.7,C,
11,azure-resource-visualizer,skills.sh,microsoft,microsoft/azure-skills,,single,,,527011,,,65.1,0.962,0.783,,,0.7,C,
12,azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,single,,,516784,,,65,0.962,0.78,,,0.7,C,
13,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,single,,,528972,,,64.9,0.971,0.8,0.262,,0.7,C,
14,azure-compute,skills.sh,microsoft,microsoft/azure-skills,,single,,,470858,,,64.9,0.958,0.778,,,0.7,C,
15,azure-cloud-migrate,skills.sh,microsoft,microsoft/azure-skills,,single,,,460520,,,64.8,0.957,0.777,,,0.7,C,
16,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,single,,,527908,,,64.3,0.968,0.797,0.241,,0.7,C,
17,azure-quotas,skills.sh,microsoft,microsoft/azure-skills,,single,,,397111,,,64.1,0.927,0.787,,,0.7,C,
