rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,x_mentions_7d,x_truncated,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_engagement_7d,buzz_score,buzz_shared
1,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,100,true,1,4,18,19,21,948,0.924,true
2,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,100,true,1,4,5,14,25,3186,0.924,false
3,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,100,true,10,19,66,79,1,5879,0.893,false
4,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,78,false,0,4,2,38,74,1597,0.709,true
5,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,65,false,0,0,1,1,114,2070,0.699,true
6,browser-use,skills.sh,browser-use,browser-use/browser-use,,single,,,,false,6,10,15,21,13,,0.66,true
7,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,53,false,1,1,4,8,0,1280,0.648,false
8,browser-automation,clawhub,,,browser-automation,upstream,"Automate web browser interactions using natural language via CLI commands. Use when the user asks to browse websites, navigate web pages, extract data from websites, take screenshots, fill forms, clic",使用自然语言通过 CLI 命令自动化网页浏览器交互。适用于浏览网站、导航网页、提取数据、截屏、填表、点击按钮或与网页应用交互的场景。,,false,1,8,19,30,4,,0.638,false
9,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,23,false,0,1,1,2,12,652,0.62,false
10,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,36,false,0,0,0,2,96,828,0.563,true
11,auto-updater,clawhub,,,auto-updater,upstream,"Automatically update Clawdbot and all installed skills once daily. Runs via cron, checks for updates, applies them, and messages the user with a summary of what changed.",每日自动更新 Clawdbot 及所有已安装技能。运行 cron 检查更新并应用，同时向用户发送变更摘要。,2,false,0,0,1,14,2,23,0.539,false
12,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,5,false,0,0,0,1,4,12,0.473,false
13,stock-analysis,clawhub,,,stock-analysis,upstream,"Analyze stocks and cryptocurrencies using Yahoo Finance data. Supports portfolio management, watchlists with alerts, dividend analysis, 8-dimension stock scoring, viral trend detection (Hot Scanner), ",利用Yahoo Finance数据深度分析股票和加密货币。支持投资组合管理、关注列表与提醒、股息分析、八维度股票评分、热门趋势扫描（热点扫描器）及谣言/早期信号检测。适用于股票分析、投资组合追踪、财报反应、加密货币监控、热门股票发现及在主流媒体前抢先获取消息。,,false,0,0,156,186,5,,0.467,true
14,proactive-agent,clawhub,,,proactive-agent,upstream,"Transform AI agents from task-followers into proactive partners that anticipate needs and continuously improve. Now with WAL Protocol, Working Buffer, Autonomous Crons, and battle-tested patterns. Par",将 AI 代理从任务执行者转变为能够预见需求、持续优化的主动伙伴。现已支持 WAL Protocol、Working Buffer、Autonomous Crons 及经过实战验证的模式。属于 Hal Stack 🦞。,21,false,0,1,0,1,1,545,0.459,false
15,brave-search,clawhub,steipete,,brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,,false,0,6,136,170,3,,0.455,false
16,api-gateway,clawhub,,,api-gateway,upstream,"Connect to external services through Maton-managed API routes. Use this skill only after the user names the target app, account, and task. Start with read/list calls when possible and follow the app-s",通过 Maton 管理的 API 路由连接外部服务；仅在用户指定目标应用、账户和任务后使用；以读取/列...,,false,0,6,24,50,3,,0.445,false
17,nano-banana-pro,clawhub,steipete,,nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,34,false,0,0,7,15,0,881,0.441,false
18,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,2,false,0,0,0,0,2,1,0.43,false
19,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,,false,0,0,1,1,5,,0.426,false
20,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,1,false,0,0,0,1,7,5,0.416,false
21,desktop-control,clawhub,,,desktop-control,single,"Advanced desktop automation with mouse, keyboard, and screen control",,,false,0,1,3,3,2,,0.416,false
22,openai-whisper,clawhub,steipete,,openai-whisper,upstream,Local speech-to-text with the Whisper CLI (no API key).,使用 Whisper CLI 进行本地语音转文字（无需 API 密钥）,2,false,0,0,1,1,0,94,0.36,false
