skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered,x_raw_7d,x_filtered,judge_model
find-skills,"""find-skills""",0,1,1,1,130,9,false,1,79,true,18,true,typesafe/jev-1.13
self-improving-agent,"""self-improving-agent""",0,0,1,1,2,36,false,3,1125,true,48,true,typesafe/jev-1.13
grill-me,"""grill-me""",2,3,5,12,33,66,false,5,3349,true,89,true,typesafe/jev-1.13
skill-vetter,"""skill-vetter""",0,0,0,0,1,0,false,1,0,false,0,false,
grill-with-docs,"""grill-with-docs""",0,0,2,2,4,15,false,2,2854,true,24,true,typesafe/jev-1.13
self-improving,"""self-improving""",1,7,41,190,9,63,true,5,4939,true,100,true,typesafe/jev-1.13
improve-codebase-architecture,"""improve-codebase-architecture""",0,0,0,0,0,1,false,1,0,false,1,true,typesafe/jev-1.13
github,"""github"" skill",0,162,0,99,702,0,true,5,0,true,100,true,typesafe/jev-1.13
tdd,"""tdd"" skill",0,1,3,3,42,33,true,5,317,true,100,true,typesafe/jev-1.13
ontology,"""ontology"" skill",0,2,0,0,2,46,true,5,1564,true,100,true,typesafe/jev-1.13
frontend-design,"""frontend-design""",3,5,3,6,47,41,false,4,880,true,69,true,typesafe/jev-1.13
gog,"""gog"" skill",0,0,0,1,4,5,false,1,296,true,12,true,typesafe/jev-1.13
agent-browser,"""agent-browser""",3,3,12,13,21,87,true,5,1191,true,100,true,typesafe/jev-1.13
skillscan,"""skillscan"" skill",0,0,0,0,0,0,false,1,0,false,0,false,
setup-matt-pocock-skills,"""setup-matt-pocock-skills""",0,0,0,0,4,0,false,1,0,false,1,true,typesafe/jev-1.13
proactive-agent,"""proactive-agent""",0,0,0,0,0,42,false,3,638,false,44,true,typesafe/jev-1.13
handoff,"""handoff"" skill",2,5,1,3,170,40,true,5,12,true,100,true,typesafe/jev-1.13
weather,"""weather"" skill",0,11,0,5,10,4,true,5,2,true,100,true,typesafe/jev-1.13
triage,"""triage"" skill",1,5,2,5,145,34,true,5,279,true,100,true,typesafe/jev-1.13
multi-search-engine,"""multi-search-engine""",0,0,0,1,1,0,false,1,0,true,0,false,typesafe/jev-1.13
prototype,"""prototype"" skill",0,10,0,2,37,0,true,5,0,true,100,true,typesafe/jev-1.13
agent-browser-clawdbot,"""agent-browser-clawdbot""",0,0,0,0,0,0,false,1,0,false,0,false,
grilling,"""grilling"" skill",0,1,0,0,26,20,false,2,182,true,29,true,typesafe/jev-1.13
admapix,"""admapix"" skill",0,0,0,0,0,0,false,1,0,false,0,false,
vercel-react-best-practices,"""vercel-react-best-practices""",0,0,0,0,4,1,false,1,0,false,1,true,typesafe/jev-1.13
humanizer,"""humanizer"" skill",2,4,1,1,19,37,false,4,1320,true,62,true,typesafe/jev-1.13
lark-doc,"""lark-doc""",0,0,0,0,0,0,false,1,0,false,0,false,
nano-pdf,"""nano-pdf""",0,0,0,0,0,1,false,1,0,false,1,true,typesafe/jev-1.13
lark-base,"""lark-base""",0,0,0,0,0,0,false,1,0,false,0,false,
obsidian,"""obsidian"" skill",0,7,0,4,20,56,true,5,1835,true,100,true,typesafe/jev-1.13
lark-drive,"""lark-drive""",0,0,0,0,0,0,false,1,0,false,0,false,
nano-banana-pro,"""nano-banana-pro""",1,1,5,7,3,16,false,2,247,true,29,true,typesafe/jev-1.13
lark-shared,"""lark-shared""",0,0,0,0,0,0,false,1,0,false,0,false,
openclaw-tavily-search,"""openclaw-tavily-search""",0,0,0,0,0,0,false,1,0,false,0,false,
lark-im,"""lark-im""",0,0,0,0,0,0,false,1,0,false,0,false,
notion,"""notion"" skill",0,15,0,5,16,0,false,1,0,true,0,false,typesafe/jev-1.13
lark-approval,"""lark-approval""",0,0,0,0,0,0,false,1,0,false,0,false,
skill-creator,"""skill-creator""",0,0,1,3,93,50,false,4,2913,true,74,true,typesafe/jev-1.13
lark-calendar,"""lark-calendar""",0,0,0,0,0,0,false,1,0,false,0,false,
pollyreach,"""pollyreach"" skill",0,0,0,0,0,6,false,1,1,false,6,true,typesafe/jev-1.13
lark-sheets,"""lark-sheets""",0,0,0,0,0,0,false,1,0,false,0,false,
auto-updater,"""auto-updater""",0,0,3,13,1,0,false,1,0,true,2,true,typesafe/jev-1.13
lark-wiki,"""lark-wiki""",0,0,0,0,0,1,false,1,0,false,1,true,typesafe/jev-1.13
word-docx,"""word-docx""",0,0,0,1,0,0,false,1,0,true,1,true,typesafe/jev-1.13
lark-contact,"""lark-contact""",0,0,0,0,0,0,false,1,0,false,0,false,
baidu-search,"""baidu-search""",0,0,0,0,0,0,false,1,0,false,0,false,
lark-slides,"""lark-slides""",0,0,0,0,0,0,false,1,0,false,0,false,
evolver,"""evolver"" skill",0,0,0,0,1,2,false,1,64,false,8,true,typesafe/jev-1.13
lark-mail,"""lark-mail""",0,0,0,0,0,0,false,1,0,false,0,false,
sonoscli,"""sonoscli"" skill",0,0,0,0,0,0,false,1,0,false,0,false,
lark-task,"""lark-task""",0,0,0,0,0,,false,,,false,,false,
openai-whisper,"""openai-whisper""",0,0,0,0,0,,false,,,false,,false,
lark-minutes,"""lark-minutes""",0,0,0,0,0,,false,,,false,,false,
api-gateway,"""api-gateway""",0,2,0,67,2,,false,,,true,,false,typesafe/jev-1.13
lark-event,"""lark-event""",0,0,0,0,0,,false,,,false,,false,
prismfy-search,"""prismfy-search""",0,0,0,0,0,,false,,,false,,false,
lark-whiteboard,"""lark-whiteboard""",0,0,0,0,0,,false,,,false,,false,
automation-workflows,"""automation-workflows""",0,0,0,27,2,,false,,,true,,false,typesafe/jev-1.13
lark-attendance,"""lark-attendance""",0,0,0,0,0,,false,,,false,,false,
excel-xlsx,"""excel-xlsx""",0,0,0,2,0,,false,,,true,,false,typesafe/jev-1.13
lark-openapi-explorer,"""lark-openapi-explorer""",0,0,0,0,0,,false,,,false,,false,
feishu-evolver-wrapper,"""feishu-evolver-wrapper""",0,0,0,0,0,,false,,,false,,false,
lark-skill-maker,"""lark-skill-maker""",0,0,0,0,0,,false,,,false,,false,
browser-use,"""browser-use""",2,6,29,36,6,,false,,,true,,false,typesafe/jev-1.13
lark-vc,"""lark-vc""",0,0,0,0,0,,false,,,false,,false,
agent-phone-call,"""agent-phone-call""",0,0,0,0,0,,false,,,false,,false,
lark-workflow-meeting-summary,"""lark-workflow-meeting-summary""",0,0,0,0,0,,false,,,false,,false,
free-ride,"""free-ride""",0,1,0,162,0,,false,,,true,,false,typesafe/jev-1.13
lark-workflow-standup-report,"""lark-workflow-standup-report""",0,0,0,0,0,,false,,,false,,false,
mcporter,"""mcporter"" skill",0,0,0,0,2,,false,,,false,,false,
lark-okr,"""lark-okr""",0,0,0,0,0,,false,,,false,,false,
elite-longterm-memory,"""elite-longterm-memory""",0,0,0,0,0,,false,,,false,,false,
teach,"""teach"" skill",0,27,2,51,108,,false,,,true,,false,typesafe/jev-1.13
desktop-control,"""desktop-control""",0,0,0,1,0,,false,,,true,,false,typesafe/jev-1.13
lark-markdown,"""lark-markdown""",0,0,0,0,0,,false,,,false,,false,
brave-search,"""brave-search""",0,2,0,21,0,,false,,,true,,false,typesafe/jev-1.13
domain-modeling,"""domain-modeling""",0,1,0,2,4,,false,,,true,,false,typesafe/jev-1.13
find-skills-skill,"""find-skills-skill""",0,0,0,0,127,,false,,,false,,false,
lark-vc-agent,"""lark-vc-agent""",0,0,0,0,0,,false,,,false,,false,
stock-analysis,"""stock-analysis""",0,0,0,310,1,,false,,,true,,false,typesafe/jev-1.13
codebase-design,"""codebase-design""",0,0,0,1,4,,false,,,true,,false,typesafe/jev-1.13
video-frames,"""video-frames""",0,1,0,11,0,,false,,,true,,false,typesafe/jev-1.13
web-design-guidelines,"""web-design-guidelines""",0,0,0,0,1,,false,,,false,,false,
powerpoint-pptx,"""powerpoint-pptx""",0,0,0,0,0,,false,,,false,,false,
diagnosing-bugs,"""diagnosing-bugs""",1,1,0,0,4,,false,,,true,,false,typesafe/jev-1.13
youtube-watcher,"""youtube-watcher""",0,0,0,1,0,,false,,,true,,false,typesafe/jev-1.13
hyperframes-cli,"""hyperframes-cli""",0,0,0,0,0,,false,,,false,,false,
slack,"""slack"" skill",1,8,0,3,17,,false,,,true,,false,typesafe/jev-1.13
lark-apps,"""lark-apps""",0,0,0,0,0,,false,,,false,,false,
himalaya,"""himalaya"" skill",0,0,0,0,1,,false,,,false,,false,
video-edit,"""video-edit""",0,0,0,39,5,,false,,,true,,false,typesafe/jev-1.13
imap-smtp-email,"""imap-smtp-email""",0,0,0,0,0,,false,,,false,,false,
ai-music,"""ai-music""",0,8,0,387,0,,false,,,true,,false,typesafe/jev-1.13
news-summary,"""news-summary""",0,0,0,72,0,,false,,,true,,false,typesafe/jev-1.13
ai-video-generation,"""ai-video-generation""",0,0,34,78,0,,false,,,true,,false,typesafe/jev-1.13
xiucheng-self-improving-agent,"""xiucheng-self-improving-agent""",0,0,0,0,0,,false,,,false,,false,
image-to-video,"""image-to-video""",0,0,12,19,1,,false,,,true,,false,typesafe/jev-1.13
pdf,"""pdf"" skill",3,26,1,23,66,,false,,,true,,false,typesafe/jev-1.13
ai-image-generation,"""ai-image-generation""",0,1,39,45,0,,false,,,true,,false,typesafe/jev-1.13
markdown-converter,"""markdown-converter""",0,1,0,5,0,,false,,,true,,false,typesafe/jev-1.13
